run_id,algorithm,instance,seed,known_best,max_iter,kmax,max_no_improve,shake_max_tries,generation_max_tries,vnd_mode,vnd_max_rounds,vnd_max_no_improve,time_limit_seconds,termination_reason,initial_cost,initial_solution_signature,initial_solution_shared_p,initial_solution_source,best_cost,final_cost,gap_percent,iterations,accepted_improvements,invalid_neighbors,no_improvement_neighbors,timeout_neighbors,neighbors_evaluated,generation_tries,elapsed_time_seconds,best_iteration,stagnation_iterations,feasible,status,error,ivns_string_length_avg,ivns_complexity_avg,ivns_max_neighborhood_seconds,ivns_reset_strings_on_improvement,ivns_candidates_per_iteration,ivns_candidate_selection_mode,ivns_exploration_rate,ivns_candidates_generated,ivns_candidates_valid,ivns_candidates_timeout,ivns_candidates_invalid,ivns_candidates_no_improvement,ivns_candidates_selected,ivns_candidate_success_rate,ivns_strings_generated_total,ivns_strings_valid_total,ivns_strings_invalid_total,ivns_strings_evaluated_total,ivns_strings_selected_total,ivns_strings_accepted_total,ivns_unique_strings_total,ivns_reject_too_many_r,ivns_reject_too_short,ivns_reject_too_long,ivns_reject_unbalanced,ivns_reject_missing_required_symbol,ivns_reject_forbidden_expensive_pattern,ivns_reject_semantic_invalid,ivns_reject_duplicated_string,ivns_reject_generation_limit_reached,ivns_reject_unknown,source_path,ivns_profile,variant,ivns_time,configuration,experiment_group
ivns_A-n33-k5_1,ivns,A-n33-k5,1,661,10,2,5,5,50,best,3,2,300,max_iter,1607,"32,11,14,29,26,4,5,25,19,31|22,24,7,13,2|10,8,18,20,21,12,1,6|3,27,17,30,15|16,23,9,28",false,generated_inside_algorithm,1047,1047,58.39637,10,10,0,0,0,10,17,0.581893,10,0,true,ok,,3.7,11.4,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,17,10,7,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_2,ivns,A-n33-k5,2,661,10,2,5,5,50,best,3,2,300,max_iter,1826,"32,11,14,15,17,5,26,6,18|8,4,21,25,9,10,19|20,24,22,29,12,1,28,2|31,7,16,23,27|30,3,13",false,generated_inside_algorithm,1110,1110,67.927383,10,10,0,0,0,10,22,0.438918,10,0,true,ok,,3.7,11.2,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,22,10,12,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_3,ivns,A-n33-k5,3,661,10,2,5,5,50,best,3,2,300,max_iter,1667,"32,26,20,13,7,17,30|5,11,2,29,21,23,10,14|1,16,24,18,8,25,28,4|19,9,27,3,12,22|31,6,15",false,generated_inside_algorithm,976,976,47.655067,10,10,0,0,0,10,18,0.240956,10,0,true,ok,,3.8,10.6,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,18,10,8,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_4,ivns,A-n33-k5,4,661,10,2,5,5,50,best,3,2,300,max_iter,1930,"2,8,19,29,10,31|20,11,7,14,3,24,13,5|26,12,1,16,30,4,27,15|6,32,9,23,25,28,21|22,17,18",false,generated_inside_algorithm,1044,1044,57.942509,10,10,0,0,0,10,23,0.340937,10,0,true,ok,,3.6,9.7,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,23,10,13,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_5,ivns,A-n33-k5,5,661,10,2,5,5,50,best,3,2,300,max_iter,1865,"32,25,22,9,14,26,17,8|29,24,1,11,20,2,10,6|28,23,5,21,13,31|18,16,19,12,7,27|15,3,4,30",false,generated_inside_algorithm,1059,1059,60.2118,10,10,0,0,0,10,11,0.253952,10,0,true,ok,,4.3,12.1,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,11,10,1,10,10,10,4,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_6,ivns,A-n33-k5,6,661,10,2,5,5,50,best,3,2,300,max_iter,1776,"26,24,16,22,23,3,21,14,12|20,18,29,10,15,13,8|32,25,19,1,11,9,2,6|7,28,4,30,17,5|27,31",false,generated_inside_algorithm,1149,1149,73.827538,10,10,0,0,0,10,17,0.282948,10,0,true,ok,,3.5,10.1,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,17,10,7,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_7,ivns,A-n33-k5,7,661,10,2,5,5,50,best,3,2,300,max_iter,1715,"14,16,24,2,18,12,23,5|32,20,9,3,22,27,19|4,30,17,1,28,29,25|8,10,7,26,11,21,13|15,6,31",false,generated_inside_algorithm,997,997,50.832073,10,10,0,0,0,10,16,0.226958,10,0,true,ok,,4.0,11.0,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,16,10,6,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_8,ivns,A-n33-k5,8,661,10,2,5,5,50,best,3,2,300,max_iter,1863,"26,11,19,9,15,30,23,14|5,31,17,10,13|32,28,18,29,4,22,12,7|24,20,2,3,6,25,8|1,16,27,21",false,generated_inside_algorithm,1024,1024,54.916794,10,10,0,0,0,10,22,0.300943,10,0,true,ok,,4.1,11.3,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,22,10,12,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_9,ivns,A-n33-k5,9,661,10,2,5,5,50,best,3,2,300,max_iter,1855,"32,26,29,19,9,11,15,7,4|16,28,18,12,8,21,22,3|30,14,2,25,24,6|20,5,23,13,10,17|27,1,31",false,generated_inside_algorithm,1084,1084,63.99395,10,9,0,0,1,9,12,0.610888,10,0,true,ok,,4.4,12.4,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,12,10,2,9,10,9,7,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_10,ivns,A-n33-k5,10,661,10,2,5,5,50,best,3,2,300,max_iter,1528,"8,15,20,19,14,26,4,30,32|1,16,21,28,23,17,7|18,11,29,24,2,3,22|5,13,12,25,10,27|9,31,6",false,generated_inside_algorithm,951,951,43.872921,10,10,0,0,0,10,18,0.293945,10,0,true,ok,,4.0,11.2,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,18,10,8,10,10,10,7,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
