run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,experiment_group
vns_A-n33-k5_31,vns,A-n33-k5,31,1,1,1690,1690,-73,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.075,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,2,1,1504,1504,-186,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.116,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,3,1,1456,1456,-48,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.149,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,4,1,1276,1276,-180,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.182001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,5,1,1248,1248,-28,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.217001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,6,1,1212,1212,-36,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.258001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,7,1,1163,1163,-49,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.293001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,8,1,1150,1150,-13,True,True,1.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.341001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,9,1,1143,1143,-7,True,True,1.0,0.0,3.0,1.0,3,,0,0,0,0,0,0,0,0,0,0,,0.378001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
vns_A-n33-k5_31,vns,A-n33-k5,31,10,1,1113,1113,-30,True,True,1.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.415001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
ivns_A-n33-k5_31,ivns,A-n33-k5,31,1,1,1618,1618,-145,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,1,,0.009,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
ivns_A-n33-k5_31,ivns,A-n33-k5,31,2,1,1479,1479,-139,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,2,,0.029,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
ivns_A-n33-k5_31,ivns,A-n33-k5,31,3,1,1359,1359,-120,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,2,,0.055001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
ivns_A-n33-k5_31,ivns,A-n33-k5,31,4,1,1254,1254,-105,True,False,,,,,1,rffe,4,14,2,2,1,1,1,1,1,3,Cadena desbalanceada por frecuencia de símbolos.,0.115001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
ivns_A-n33-k5_31,ivns,A-n33-k5,31,5,1,1204,1204,-50,True,False,,,,,1,rab,3,7,5,5,1,4,1,1,1,3,Cadena desbalanceada por frecuencia de símbolos.,0.126001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
ivns_A-n33-k5_31,ivns,A-n33-k5,31,6,1,1170,1170,-34,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,4,,0.139001,ok,,/home/olivia3/Proyectos Uni/vrp/results/confirmatorios/a-vns-vs-ivns-baseline-first-t1.00/trace-vns-ivns-baseline-first-t1.00.csv,confirmatory_a
