run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,ivns_profile,vnd_mode,variant,configuration,ivns_time,experiment_group
ivns_F-n135-k7_1,ivns,F-n135-k7,1,1,1,6589,6589,0,False,False,,,,,0,rffrgrg,7,21,2,2,1,1,0,1,0,1,Cadena desbalanceada por frecuencia de símbolos.,0.072,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,2,1,6589,6589,0,False,False,,,,,0,rffrfeg,7,23,1,1,1,0,0,1,0,2,,0.16,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,3,1,6589,6589,0,False,False,,,,,0,rfrfrfrge,9,29,3,3,1,2,0,1,0,3,Complejidad excesiva: 44 > 36.,0.242001,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,4,1,6589,6589,0,False,False,,,,,0,rfrfe,5,17,1,1,1,0,0,1,0,4,,0.310002,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,5,1,6589,6589,0,False,False,,,,,0,rffarace,8,25,1,1,1,0,0,1,0,5,,0.408002,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,6,1,6589,6589,0,False,False,,,,,0,rfrfrfrfee,10,34,1,1,1,0,0,1,0,6,,0.493003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,7,1,6589,6589,0,False,False,,,,,0,rfg,3,9,1,1,1,0,0,1,0,7,,0.552003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,8,1,6589,6589,0,False,False,,,,,0,rfrffrge,8,26,4,4,1,3,0,1,0,8,duplicated-string,0.633003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,9,1,6589,6589,0,False,False,,,,,0,rfrg,4,12,2,2,1,1,0,1,0,9,Cadena desbalanceada por frecuencia de símbolos.,0.692003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_1,ivns,F-n135-k7,1,10,1,6589,6589,0,False,False,,,,,0,rfffrge,7,23,2,2,1,1,0,1,0,10,Cadena desbalanceada por frecuencia de símbolos.,0.767004,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,1,1,6530,6530,0,False,False,,,,,0,raarabc,7,18,2,2,1,1,0,1,0,1,Complejidad excesiva: 45 > 36.,0.072,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,2,1,6530,6530,0,False,False,,,,,0,rffe,4,14,1,1,1,0,0,1,0,2,,0.149999,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,3,1,6530,6530,0,False,False,,,,,0,rfrg,4,12,1,1,1,0,0,1,0,3,,0.214,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,4,1,6530,6530,0,False,False,,,,,0,rfrffrfee,9,31,4,4,1,3,0,1,0,4,Complejidad excesiva: 56 > 36.,0.305,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,5,1,6530,6530,0,False,False,,,,,0,rfaffrfrgebg,12,36,3,3,1,2,0,1,0,5,Complejidad excesiva: 42 > 36.,0.465,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,6,1,6530,6530,0,False,False,,,,,0,rfrfrfrfee,10,34,1,1,1,0,0,1,0,6,,0.554002,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,7,1,6530,6530,0,False,False,,,,,0,raraaracc,9,25,1,1,1,0,0,1,0,7,,0.623002,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,8,1,6530,6530,0,False,False,,,,,0,rfg,3,9,2,2,1,1,0,1,0,8,duplicated-string,0.681002,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,9,1,6530,6530,0,False,False,,,,,0,rfrfarbe,8,24,3,3,1,2,0,1,0,9,duplicated-string,0.764003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_2,ivns,F-n135-k7,2,10,1,6530,6530,0,False,False,,,,,0,rffrfeg,7,23,2,2,1,1,0,1,0,10,Complejidad excesiva: 46 > 36.,0.838003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_3,ivns,F-n135-k7,3,1,1,7198,7198,0,False,False,,,,,0,rffferg,7,23,2,2,1,1,0,1,0,1,Complejidad excesiva: 37 > 36.,0.08,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_3,ivns,F-n135-k7,3,2,1,7198,7198,0,False,False,,,,,0,rfg,3,9,2,2,1,1,0,1,0,2,Cadena desbalanceada por frecuencia de símbolos.,0.144,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_3,ivns,F-n135-k7,3,3,1,7198,7198,0,False,False,,,,,0,rfffrge,7,23,1,1,1,0,0,1,0,3,,0.219001,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_3,ivns,F-n135-k7,3,4,1,7198,7198,0,False,False,,,,,0,rararabc,8,21,2,2,1,1,0,1,0,4,Complejidad excesiva: 42 > 36.,0.294,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_3,ivns,F-n135-k7,3,5,1,7198,7198,0,False,False,,,,,0,rfrg,4,12,1,1,1,0,0,1,0,5,,0.353,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
ivns_F-n135-k7_3,ivns,F-n135-k7,3,6,1,7198,7198,0,False,False,,,,,0,rffe,4,14,1,1,1,0,0,1,0,6,,0.416,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-high-times/time-0.05/best/trace-f-n135-k7-efg-high-best-time-0.05.csv,efg-high,best,efg-high-best,efg-high-best-t0.05,0.05,f_high_exploratory
