run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,ivns_profile,vnd_mode,variant,configuration,ivns_time,experiment_group
ivns_F-n135-k7_1,ivns,F-n135-k7,1,1,1,6675,6675,0,False,False,,,,,0,raac,4,11,2,2,1,1,0,1,0,1,Complejidad excesiva: 16 > 14.,0.077001,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,2,1,6675,6675,0,False,False,,,,,0,rab,3,7,1,1,1,0,0,1,0,2,,0.149002,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,3,1,6675,6675,0,False,False,,,,,0,rfg,3,9,1,1,1,0,0,1,0,3,,0.219004,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,4,1,6675,6675,0,False,False,,,,,0,rffe,4,14,2,2,1,1,0,1,0,4,duplicated-string,0.293006,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,5,1,6675,6675,0,False,False,,,,,0,rfrg,4,12,2,2,1,1,0,1,0,5,Complejidad excesiva: 18 > 14.,0.360007,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,6,1,6675,6675,0,False,False,,,,,0,rarac,5,14,5,5,1,4,0,1,0,6,duplicated-string,0.444009,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,7,1,6675,6675,0,False,False,,,,,0,raabb,5,11,24,24,1,23,0,1,0,7,duplicated-string,0.52301,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,8,1,6675,6675,0,False,False,,,,,0,rarb,4,10,7,7,1,6,0,1,0,8,duplicated-string,0.590012,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,9,2,6675,6675,0,False,False,,,,,0,,0,0,50,50,0,50,0,0,0,8,duplicated-string,0.592012,none_valid,duplicated-string,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_1,ivns,F-n135-k7,1,10,1,6675,6675,0,False,False,,,,,0,,0,0,50,50,0,50,0,0,0,8,duplicated-string,0.595012,none_valid,duplicated-string,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
ivns_F-n135-k7_2,ivns,F-n135-k7,2,1,1,7644,7644,0,False,False,,,,,0,rab,3,7,1,1,1,0,0,1,0,1,,0.065001,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/f-n135-k7-piloto-time-0.05/baseline-best/trace-f-n135-k7-baseline-best-time-0.05.csv,baseline,best,baseline-best,baseline-best-t0.05,0.05,f_pilot
