run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,ivns_profile,vnd_mode,variant,experiment_group
ivns_A-n33-k5_1,ivns,A-n33-k5,1,1,1,1653,1653,-163,True,False,,,,,1,rfg,3,9,1,1,1,0,1,1,1,1,,0.042002,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,2,1,1509,1509,-144,True,False,,,,,1,rfrg,4,12,4,4,1,3,1,1,1,2,Complejidad excesiva: 31 > 14.,0.100004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,3,1,1382,1382,-127,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,3,,0.106005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,4,1,1382,1382,0,False,False,,,,,0,rfrg,4,12,2,2,1,1,0,1,0,3,Complejidad excesiva: 21 > 14.,0.163006,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,5,1,1382,1382,0,False,False,,,,,0,raarbb,6,14,1,1,1,0,0,1,0,4,,0.226009,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,6,1,1341,1341,-41,True,False,,,,,1,raac,4,11,2,2,1,1,1,1,1,5,Cadena desbalanceada por frecuencia de símbolos.,0.23701,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,7,1,1281,1281,-60,True,False,,,,,1,rarb,4,10,1,1,1,0,1,1,1,6,,0.250011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,8,1,1245,1245,-36,True,False,,,,,1,raac,4,11,2,2,1,1,1,1,1,6,Complejidad excesiva: 18 > 14.,0.258011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,9,1,1195,1195,-50,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,6,,0.264011,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_1,ivns,A-n33-k5,1,10,1,1156,1156,-39,True,False,,,,,1,rarac,5,14,2,2,1,1,1,1,1,7,Complejidad excesiva: 25 > 14.,0.278012,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,1,1,1845,1845,0,False,False,,,,,0,raarbb,6,14,3,3,1,2,0,1,0,1,Complejidad excesiva: 16 > 14.,0.062003,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,2,1,1741,1741,-104,True,False,,,,,1,rarac,5,14,2,2,1,1,1,1,1,2,Complejidad excesiva: 18 > 14.,0.077004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,3,1,1641,1641,-100,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,3,,0.085004,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,4,1,1526,1526,-115,True,False,,,,,1,rarac,5,14,2,2,1,1,1,1,1,3,Complejidad excesiva: 17 > 14.,0.101005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,5,1,1468,1468,-58,True,False,,,,,1,raac,4,11,1,1,1,0,1,1,1,3,,0.109005,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,6,1,1379,1379,-89,True,False,,,,,1,rffe,4,14,3,3,1,2,1,1,1,4,Complejidad excesiva: 27 > 14.,0.160008,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,7,1,1308,1308,-71,True,False,,,,,1,rffe,4,14,2,2,1,1,1,1,1,4,Complejidad excesiva: 21 > 14.,0.20901,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,8,1,1221,1221,-87,True,False,,,,,1,rfrg,4,12,2,2,1,1,1,1,1,5,Complejidad excesiva: 18 > 14.,0.263013,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,9,1,1174,1174,-47,True,False,,,,,1,rffe,4,14,2,2,1,1,1,1,1,5,Complejidad excesiva: 16 > 14.,0.308015,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_2,ivns,A-n33-k5,2,10,1,1136,1136,-38,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,5,,0.326016,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,1,1,1548,1548,-184,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,1,,0.015001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
ivns_A-n33-k5_3,ivns,A-n33-k5,3,2,1,1439,1439,-109,True,False,,,,,1,rab,3,7,1,1,1,0,1,1,1,2,,0.021001,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-ivns-variants/trace-ivns-baseline-best.csv,baseline,best,baseline-best,official_variants
