run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,experiment_group
vns_A-n33-k5_1,vns,A-n33-k5,1,1,1,1619,1619,-89,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.080992,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,2,1,1468,1468,-151,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.119989,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,3,1,1337,1337,-131,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.153985,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,4,1,1248,1248,-89,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.184982,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,5,1,1223,1223,-25,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.22298,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,6,1,1063,1063,-160,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.250978,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,7,1,999,999,-64,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.277976,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,8,1,930,930,-69,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.307975,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,9,1,890,890,-40,True,True,1.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.336974,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_1,vns,A-n33-k5,1,10,1,872,872,-18,True,True,2.0,0.0,3.0,2.0,3,,0,0,0,0,0,0,0,0,0,0,,0.373972,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
