ivns_time,instance,metric,groups,statistic,p_value,decision
0.2,A-n33-k5,gap_percent,9,154.831998511965,1.9228045303765998e-29,significativo
0.2,A-n33-k5,elapsed_time_seconds,9,210.01349143954616,4.944423739971072e-41,significativo
0.2,A-n65-k9,gap_percent,9,168.08179335963885,3.253989075616095e-32,significativo
0.2,A-n65-k9,elapsed_time_seconds,9,209.3789842920987,6.729654821216596e-41,significativo
0.2,A-n80-k10,gap_percent,9,163.69100894099446,2.7026882072838473e-31,significativo
0.2,A-n80-k10,elapsed_time_seconds,9,214.63760557605565,5.2252630895369236e-42,significativo
0.5,A-n33-k5,gap_percent,9,104.95773386222221,4.1264254756596177e-19,significativo
0.5,A-n33-k5,elapsed_time_seconds,9,206.97793767458853,2.1601905136191355e-40,significativo
0.5,A-n65-k9,gap_percent,9,182.1729163605579,3.599520261319523e-35,significativo
0.5,A-n65-k9,elapsed_time_seconds,9,198.4750639189983,1.3389298727490146e-38,significativo
0.5,A-n80-k10,gap_percent,9,157.12812274832277,6.37189686134708e-30,significativo
0.5,A-n80-k10,elapsed_time_seconds,9,191.5810960776273,3.786004901198455e-37,significativo
1.0,A-n33-k5,gap_percent,9,85.81487735809182,3.2785721572776177e-15,significativo
1.0,A-n33-k5,elapsed_time_seconds,9,219.55444573254576,4.7826085595733956e-43,significativo
1.0,A-n65-k9,gap_percent,9,188.40271007542847,1.765201122692534e-36,significativo
1.0,A-n65-k9,elapsed_time_seconds,9,213.93219078857442,7.36272199018644e-42,significativo
1.0,A-n80-k10,gap_percent,9,171.61532529698337,5.9142916259105016e-33,significativo
1.0,A-n80-k10,elapsed_time_seconds,9,204.92162361623616,5.86318638421429e-40,significativo
1.5,A-n33-k5,gap_percent,9,81.57333294109573,2.356650319481816e-14,significativo
1.5,A-n33-k5,elapsed_time_seconds,9,223.91908387134416,5.718853308212549e-44,significativo
1.5,A-n65-k9,gap_percent,9,182.38166696439214,3.2537978594565186e-35,significativo
1.5,A-n65-k9,elapsed_time_seconds,9,209.5499357660243,6.19333014063325e-41,significativo
1.5,A-n80-k10,gap_percent,9,191.87045333603197,3.290740728801819e-37,significativo
1.5,A-n80-k10,elapsed_time_seconds,9,225.51319939866062,2.63215080939744e-44,significativo
