instance,seed,initial_solution_signature_vns,initial_solution_signature_ivns,initial_cost_vns,initial_cost_ivns,initial_solution_shared_p_vns,initial_solution_shared_p_ivns,initial_solution_source_vns,initial_solution_source_ivns,gap_percent_vns,gap_percent_ivns,elapsed_time_seconds_vns,elapsed_time_seconds_ivns,best_cost_vns,best_cost_ivns,same_initial_signature,same_initial_cost,shared_initial_solution,shared_initial_source,paired_valid,delta_gap_ivns_minus_vns,delta_time_ivns_minus_vns
A-n33-k5,31,"26,5,27,15,6,17,11|32,8,14,10,16,13,28,1|25,7,21,4,12,3,19|20,23,24,31,9,30|22,18,2,29","26,5,27,15,6,17,11|32,8,14,10,16,13,28,1|25,7,21,4,12,3,19|20,23,24,31,9,30|22,18,2,29",1763,1763,True,True,shared_by_seed,shared_by_seed,68.381241,69.440239,0.415001,0.279002,1113,1120,True,True,True,True,True,1.0589980000000023,-0.135999
A-n33-k5,32,"26,32,21,19,13,18,31,16|11,5,17,28,8,20,25,3|12,10,22,29,1,23,6|9,14,27,24,2,4|7,30,15","26,32,21,19,13,18,31,16|11,5,17,28,8,20,25,3|12,10,22,29,1,23,6|9,14,27,24,2,4|7,30,15",1743,1743,True,True,shared_by_seed,shared_by_seed,50.075645,49.773071,0.376001,0.319001,992,990,True,True,True,True,True,-0.3025739999999999,-0.0569999999999999
A-n33-k5,33,"24,30,10,16,11,15,19|26,22,28,17,5,12,2|32,29,21,13,9,6,1,4|27,20,14,18,8,23,25|31,7,3","24,30,10,16,11,15,19|26,22,28,17,5,12,2|32,29,21,13,9,6,1,4|27,20,14,18,8,23,25|31,7,3",1914,1914,True,True,shared_by_seed,shared_by_seed,67.927383,68.683815,0.440003,0.306,1110,1115,True,True,True,True,True,0.7564319999999896,-0.1340029999999999
A-n33-k5,34,"26,32,3,7,13,4,12,28|11,1,10,19,14,27,2|24,17,30,20,6,8|31,29,9,16,5,22,21|18,25,15,23","26,32,3,7,13,4,12,28|11,1,10,19,14,27,2|24,17,30,20,6,8|31,29,9,16,5,22,21|18,25,15,23",1658,1658,True,True,shared_by_seed,shared_by_seed,58.0938,43.116489,0.394001,0.236002,1045,946,True,True,True,True,True,-14.977311,-0.157999
A-n33-k5,35,"18,16,19,7,10,2|1,8,9,3,28,25,17|32,24,12,14,4,26,22,13,5|31,23,21,20,15,11,29|6,30,27","18,16,19,7,10,2|1,8,9,3,28,25,17|32,24,12,14,4,26,22,13,5|31,23,21,20,15,11,29|6,30,27",1791,1791,True,True,shared_by_seed,shared_by_seed,50.680786,52.042358,0.402001,0.842003,996,1005,True,True,True,True,True,1.3615720000000024,0.4400019999999999
A-n33-k5,36,"32,14,31,7,10,1,26,12,29|9,24,15,18,23,21,8|20,22,3,16,5,4,11,27|13,28,2,19,25|6,30,17","32,14,31,7,10,1,26,12,29|9,24,15,18,23,21,8|20,22,3,16,5,4,11,27|13,28,2,19,25|6,30,17",1968,1968,True,True,shared_by_seed,shared_by_seed,106.354012,69.137665,0.372001,0.669002,1364,1118,True,True,True,True,True,-37.216347,0.2970009999999999
A-n33-k5,37,"26,8,23,31,5,19,24,28|1,4,22,29,20,6,3,25|32,30,11,21,14,16,2,12|27,10,18,15,9|17,7,13","26,8,23,31,5,19,24,28|1,4,22,29,20,6,3,25|32,30,11,21,14,16,2,12|27,10,18,15,9|17,7,13",1766,1766,True,True,shared_by_seed,shared_by_seed,67.019669,50.529499,0.350002,0.360002,1104,995,True,True,True,True,True,-16.490169999999992,0.01
A-n33-k5,38,"21,4,11,10,24,22,1,25|8,23,28,2,3,27|32,12,9,13,15,16,6|14,19,17,20,5,18,26,7|29,31,30","21,4,11,10,24,22,1,25|8,23,28,2,3,27|32,12,9,13,15,16,6|14,19,17,20,5,18,26,7|29,31,30",1924,1924,True,True,shared_by_seed,shared_by_seed,69.59153,77.004539,0.335,0.319001,1121,1170,True,True,True,True,True,7.413008999999988,-0.015999
A-n33-k5,39,"32,2,3,6,26,13,4|12,21,11,9,30,22,1,19|16,28,24,15,14,27,29|20,25,5,8,10,17,23|31,7,18","32,2,3,6,26,13,4|12,21,11,9,30,22,1,19|16,28,24,15,14,27,29|20,25,5,8,10,17,23|31,7,18",1655,1655,True,True,shared_by_seed,shared_by_seed,65.355522,54.462933,0.382003,0.676001,1093,1021,True,True,True,True,True,-10.892588999999994,0.293998
A-n33-k5,40,"8,12,11,30,18,26,5,3,7|32,21,20,14,28,29,1,22,2|16,15,9,17,13|6,27,19,4,25,24|23,31,10","8,12,11,30,18,26,5,3,7|32,21,20,14,28,29,1,22,2|16,15,9,17,13|6,27,19,4,25,24|23,31,10",1830,1830,True,True,shared_by_seed,shared_by_seed,51.134647,48.108925,0.408002,0.290001,999,979,True,True,True,True,True,-3.025722000000002,-0.1180009999999999
A-n33-k5,41,"32,1,26,27,13,7,17|11,15,10,9,18,16,3|29,6,5,22,19,31,14|20,25,23,24,28,2,4|8,30,12,21","32,1,26,27,13,7,17|11,15,10,9,18,16,3|29,6,5,22,19,31,14|20,25,23,24,28,2,4|8,30,12,21",1584,1584,True,True,shared_by_seed,shared_by_seed,52.647503,38.426624,0.407001,0.348002,1009,915,True,True,True,True,True,-14.220879000000004,-0.058999
A-n33-k5,42,"26,1,12,27,7,31,5,14|32,29,20,9,11,25,15,10|18,28,6,4,22,24|19,8,17,3,13,21|23,30,2,16","26,1,12,27,7,31,5,14|32,29,20,9,11,25,15,10|18,28,6,4,22,24|19,8,17,3,13,21|23,30,2,16",2008,2008,True,True,shared_by_seed,shared_by_seed,85.627838,58.245079,0.406001,0.475003,1227,1046,True,True,True,True,True,-27.382759,0.069002
A-n33-k5,43,"5,30,26,13,1,6,3,8|25,11,29,17,14,24,15,12|22,16,9,28,27,4|23,10,7,31,21,18|32,19,20,2","5,30,26,13,1,6,3,8|25,11,29,17,14,24,15,12|22,16,9,28,27,4|23,10,7,31,21,18|32,19,20,2",1673,1673,True,True,shared_by_seed,shared_by_seed,47.50378,48.714069,0.4,0.377003,975,983,True,True,True,True,True,1.210289000000003,-0.022997
A-n33-k5,44,"32,17,30,26,8,7,5,19|1,15,28,12,22,16,27|29,21,6,13,24,11,2|23,18,9,10,4,25,20|31,3,14","32,17,30,26,8,7,5,19|1,15,28,12,22,16,27|29,21,6,13,24,11,2|23,18,9,10,4,25,20|31,3,14",1425,1425,True,True,shared_by_seed,shared_by_seed,45.537067,41.9062,0.395,0.332002,962,938,True,True,True,True,True,-3.630867000000002,-0.062998
A-n33-k5,45,"28,1,14,19,27,10,3|29,5,15,24,7,23,20,26,16|11,32,13,25,2,12,18,8|6,22,9,17,4|31,21,30","28,1,14,19,27,10,3|29,5,15,24,7,23,20,26,16|11,32,13,25,2,12,18,8|6,22,9,17,4|31,21,30",1662,1662,True,True,shared_by_seed,shared_by_seed,69.59153,51.285927,0.374002,0.28,1121,1000,True,True,True,True,True,-18.305603000000005,-0.0940019999999999
A-n33-k5,46,"26,27,14,29,11,18,3,5,4,1|8,21,20,6,22,30,19|32,15,28,12,25,23,7|17,31,16,24,9|2,10,13","26,27,14,29,11,18,3,5,4,1|8,21,20,6,22,30,19|32,15,28,12,25,23,7|17,31,16,24,9|2,10,13",1974,1974,True,True,shared_by_seed,shared_by_seed,89.409981,77.760971,0.382001,0.145001,1252,1175,True,True,True,True,True,-11.649010000000004,-0.237
A-n33-k5,47,"32,11,29,20,4,25,16,21,8,1,18|26,13,28,10,17,23|12,22,27,19,15,3|14,2,5,6,24,9|7,30,31","32,11,29,20,4,25,16,21,8,1,18|26,13,28,10,17,23|12,22,27,19,15,3|14,2,5,6,24,9|7,30,31",1876,1876,True,True,shared_by_seed,shared_by_seed,85.930405,63.388805,0.337001,0.257001,1229,1080,True,True,True,True,True,-22.541599999999995,-0.08
A-n33-k5,48,"16,31,21,15,8,17,26|20,9,18,23,28,6,25|27,29,4,7,11,32,14,10|5,24,1,2,22,3,12|30,13,19","16,31,21,15,8,17,26|20,9,18,23,28,6,25|27,29,4,7,11,32,14,10|5,24,1,2,22,3,12|30,13,19",1941,1941,True,True,shared_by_seed,shared_by_seed,96.21785,73.524963,0.420002,0.237001,1297,1147,True,True,True,True,True,-22.692887,-0.183001
A-n33-k5,49,"26,3,1,10,20,17,12,9|13,15,18,21,29,4,24|23,22,28,25,19,31|16,32,5,7,14,6,8,27|30,2,11","26,3,1,10,20,17,12,9|13,15,18,21,29,4,24|23,22,28,25,19,31|16,32,5,7,14,6,8,27|30,2,11",1773,1773,True,True,shared_by_seed,shared_by_seed,62.934948,45.385777,0.415001,0.349001,1077,961,True,True,True,True,True,-17.549171,-0.066
A-n33-k5,50,"11,3,26,25,22,27,13|1,14,20,28,24,5,31,9|12,10,29,8,30,6,23|32,16,15,2,19,18,21|4,17,7","11,3,26,25,22,27,13|1,14,20,28,24,5,31,9|12,10,29,8,30,6,23|32,16,15,2,19,18,21|4,17,7",1730,1730,True,True,shared_by_seed,shared_by_seed,79.273827,55.824505,0.357002,0.272001,1185,1030,True,True,True,True,True,-23.449321999999995,-0.085001
A-n33-k5,51,"32,1,18,24,6,25,19,22|26,4,12,14,10,17,27|11,2,21,16,13,3,29|8,9,30,15,28,20,5|31,7,23","32,1,18,24,6,25,19,22|26,4,12,14,10,17,27|11,2,21,16,13,3,29|8,9,30,15,28,20,5|31,7,23",1782,1782,True,True,shared_by_seed,shared_by_seed,89.258698,64.145241,0.367001,0.249002,1251,1085,True,True,True,True,True,-25.113457,-0.117999
A-n33-k5,52,"1,12,29,22,5,19,24,25,21|26,11,30,7,16,14,10,3|32,4,20,31,6,28,18|8,13,9,17,2|27,15,23","1,12,29,22,5,19,24,25,21|26,11,30,7,16,14,10,3|32,4,20,31,6,28,18|8,13,9,17,2|27,15,23",1784,1784,True,True,shared_by_seed,shared_by_seed,73.071106,44.629349,0.373,0.294001,1144,956,True,True,True,True,True,-28.441757000000003,-0.0789989999999999
A-n33-k5,53,"11,32,12,19,18,23,20,4,26,22|1,16,27,6,7,17|14,21,13,3,5,9,15|29,30,28,2,10,8|24,25,31","11,32,12,19,18,23,20,4,26,22|1,16,27,6,7,17|14,21,13,3,5,9,15|29,30,28,2,10,8|24,25,31",1799,1799,True,True,shared_by_seed,shared_by_seed,66.565811,72.617249,0.368003,0.618001,1101,1141,True,True,True,True,True,6.0514380000000045,0.249998
A-n33-k5,54,"1,9,16,17,13,10|32,26,24,6,29,22,7,23|20,14,27,18,28,12,5,11,8|19,4,21,30,2,25|3,15,31","1,9,16,17,13,10|32,26,24,6,29,22,7,23|20,14,27,18,28,12,5,11,8|19,4,21,30,2,25|3,15,31",1928,1928,True,True,shared_by_seed,shared_by_seed,58.39637,59.757942,0.368002,0.379001,1047,1056,True,True,True,True,True,1.3615720000000024,0.0109989999999999
A-n33-k5,55,"25,10,18,5,13,1,19,26|20,12,14,15,17,29,2|4,30,23,27,31,11|28,8,6,32,3,22,9|24,16,21,7","25,10,18,5,13,1,19,26|20,12,14,15,17,29,2|4,30,23,27,31,11|28,8,6,32,3,22,9|24,16,21,7",1989,1989,True,True,shared_by_seed,shared_by_seed,73.222389,73.222389,0.369001,0.313001,1145,1145,True,True,True,True,True,0.0,-0.056
A-n33-k5,56,"26,32,30,9,16,13,27|11,1,6,29,18,22,17,5|10,21,28,15,2,3|14,12,25,23,19,20,24,7|4,8,31","26,32,30,9,16,13,27|11,1,6,29,18,22,17,5|10,21,28,15,2,3|14,12,25,23,19,20,24,7|4,8,31",1736,1736,True,True,shared_by_seed,shared_by_seed,60.665657,53.706505,0.385002,0.821003,1062,1016,True,True,True,True,True,-6.959152000000003,0.436001
A-n33-k5,57,"26,20,4,3,16,7,30,25|32,27,21,1,9,24,12,6|22,17,11,15,2,8|10,28,23,14,18,29,5|19,31,13","26,20,4,3,16,7,30,25|32,27,21,1,9,24,12,6|22,17,11,15,2,8|10,28,23,14,18,29,5|19,31,13",1710,1710,True,True,shared_by_seed,shared_by_seed,72.919815,61.422085,0.371001,0.203002,1143,1067,True,True,True,True,True,-11.497729999999995,-0.167999
A-n33-k5,58,"10,30,20,12,6,3,8|26,23,31,25,27,13|32,17,24,4,16,2,14,1|29,28,5,9,21,7,15|11,22,19,18","10,30,20,12,6,3,8|26,23,31,25,27,13|32,17,24,4,16,2,14,1|29,28,5,9,21,7,15|11,22,19,18",1772,1772,True,True,shared_by_seed,shared_by_seed,56.127079,65.960663,0.368,0.247001,1032,1097,True,True,True,True,True,9.833583999999997,-0.120999
A-n33-k5,59,"1,9,22,5,21,26,13,28|3,7,10,14,24,27|11,25,30,29,17,4,19|32,2,18,16,23,31,20|15,6,8,12","1,9,22,5,21,26,13,28|3,7,10,14,24,27|11,25,30,29,17,4,19|32,2,18,16,23,31,20|15,6,8,12",1865,1865,True,True,shared_by_seed,shared_by_seed,66.41452,73.978821,0.368002,0.300001,1100,1150,True,True,True,True,True,7.564301,-0.0680009999999999
A-n33-k5,60,"11,23,26,20,18,25,17,15|21,32,2,8,27,4,9|22,14,6,19,24,1,28|16,13,29,30,12,7,5|31,3,10","11,23,26,20,18,25,17,15|21,32,2,8,27,4,9|22,14,6,19,24,1,28|16,13,29,30,12,7,5|31,3,10",1533,1533,True,True,shared_by_seed,shared_by_seed,42.208775,42.360062,0.359001,0.218001,940,941,True,True,True,True,True,0.1512869999999964,-0.141
