rank,configuration,ivns_profile,vnd_mode,ivns_time,runs,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_min,gap_max,time_mean,time_median
1,efg-high-first-t1.50,efg-high,first,1.5,5,443.9586916,18.135440295028012,440.963837,432.185883,459.036163,422.117035,465.49054,14.1994526,14.074052
2,efg-high-best-t1.50,efg-high,best,1.5,5,446.36832880000003,42.458151012480684,447.762482,442.857117,457.831329,382.444061,500.946655,14.626254,15.028057
3,efg-high-first-t1.00,efg-high,first,1.0,5,452.685022,11.411330213066178,455.249542,443.889862,462.908783,437.951813,463.42511,8.9252332,8.784034
4,efg-high-first-t0.25,efg-high,first,0.25,5,462.7022338,23.463824372475912,461.617889,458.777954,474.354553,427.538727,491.222046,2.6026098,2.58801
5,efg-high-best-t1.00,efg-high,best,1.0,5,457.26332999999994,35.286860012689715,466.006897,424.010315,476.764191,418.502563,501.032684,9.8260366,10.274038
6,efg-high-best-t0.05,efg-high,best,0.05,5,477.108429,26.440910388875142,467.039581,461.962128,484.767639,452.323578,519.449219,0.812803,0.807002
7,efg-high-random-t1.00,efg-high,random,1.0,5,455.92083160000004,57.56730764709033,472.375214,445.094666,484.165253,363.166962,514.802063,9.628835599999999,9.554035
8,efg-high-random-t0.25,efg-high,random,0.25,5,474.93976439999994,14.411591183073677,474.870911,462.650574,488.46817,458.605865,490.103302,2.6728099999999997,2.73501
9,efg-high-first-t0.50,efg-high,first,0.5,5,483.0636902,39.218857089863036,475.989685,447.848572,505.85199,447.246124,538.38208,5.0386186,5.218018
10,efg-high-random-t0.05,efg-high,random,0.05,5,483.32185680000003,21.65818080801249,484.079163,468.502563,487.005188,460.326996,516.695374,0.776203,0.789003
11,efg-high-random-t1.50,efg-high,random,1.5,5,483.21859759999995,21.75110693627144,489.414795,473.321869,493.889862,451.290894,508.175568,15.0602556,15.344056
12,efg-high-random-t0.50,efg-high,random,0.5,5,474.6471558,43.05414066303451,489.931152,476.678131,494.578308,400.860596,511.187592,4.886818,4.902018
13,efg-high-best-t0.50,efg-high,best,0.5,5,485.55938720000006,37.55333143754375,493.545624,464.888153,516.179016,431.583496,521.600647,5.2090194,5.262019
14,efg-high-first-t0.05,efg-high,first,0.05,5,489.77625120000005,15.491186569292262,493.975922,476.247833,497.074036,472.030975,509.55249,0.834403,0.796003
15,efg-high-best-t0.25,efg-high,best,0.25,5,496.36832880000003,20.85107399451416,507.228912,490.44751,509.982788,462.306366,511.876068,2.7744102,2.82701
