instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n33-k5,gap_percent,baseline-best,baseline-first,64.9016645,73.676247,200.0,0.00022489138802795483,0.5555555555555556,0.004048044984503187,significativo
A-n33-k5,gap_percent,baseline-best,baseline-random,64.9016645,73.7518925,211.0,0.00042136090789933483,0.5311111111111111,0.0063773948685416125,significativo
A-n33-k5,gap_percent,baseline-best,efg-high-best,64.9016645,138.729202,17.0,1.6104139063548058e-10,0.9622222222222222,5.153324500335379e-09,significativo
A-n33-k5,gap_percent,baseline-best,efg-high-first,64.9016645,129.198189,5.0,4.972116029572513e-11,0.9888888888888889,1.7899617706461047e-09,significativo
A-n33-k5,gap_percent,baseline-best,efg-high-random,64.9016645,142.2087785,16.0,1.4625976465818308e-10,0.9644444444444444,4.972831998378225e-09,significativo
A-n33-k5,gap_percent,baseline-best,efg-medium-best,64.9016645,110.59001950000001,25.0,3.470304200455973e-10,0.9444444444444444,1.0410912601367918e-08,significativo
A-n33-k5,gap_percent,baseline-best,efg-medium-first,64.9016645,115.3555185,26.5,3.998849291599056e-10,0.9411111111111111,1.1196778016477356e-08,significativo
A-n33-k5,gap_percent,baseline-best,efg-medium-random,64.9016645,107.488659,10.0,8.142968754841099e-11,0.9777777777777777,2.850039064194385e-09,significativo
A-n33-k5,gap_percent,baseline-first,baseline-random,73.676247,73.7518925,451.5,0.9882028538045338,-0.0033333333333333335,1.0,no_significativo
A-n33-k5,gap_percent,baseline-first,efg-high-best,73.676247,138.729202,49.0,3.188752853204079e-09,0.8911111111111111,7.971882133010197e-08,significativo
A-n33-k5,gap_percent,baseline-first,efg-high-first,73.676247,129.198189,18.0,1.7738254986155067e-10,0.96,5.498859045708071e-09,significativo
A-n33-k5,gap_percent,baseline-first,efg-high-random,73.676247,142.2087785,50.0,3.4901536215139254e-09,0.8888888888888888,8.027353329482028e-08,significativo
A-n33-k5,gap_percent,baseline-first,efg-medium-best,73.676247,110.59001950000001,75.5,3.206705919622526e-08,0.8322222222222222,6.413411839245052e-07,significativo
A-n33-k5,gap_percent,baseline-first,efg-medium-first,73.676247,115.3555185,88.5,9.421178169697825e-08,0.8033333333333333,1.7900238522425868e-06,significativo
A-n33-k5,gap_percent,baseline-first,efg-medium-random,73.676247,107.488659,49.0,3.190348904150622e-09,0.8911111111111111,7.971882133010197e-08,significativo
A-n33-k5,gap_percent,baseline-random,efg-high-best,73.7518925,138.729202,44.0,2.0306715216769016e-09,0.9022222222222223,5.279745956359944e-08,significativo
A-n33-k5,gap_percent,baseline-random,efg-high-first,73.7518925,129.198189,16.5,1.5352144562973925e-10,0.9633333333333334,5.066207705781395e-09,significativo
A-n33-k5,gap_percent,baseline-random,efg-high-random,73.7518925,142.2087785,40.0,1.4095036932412312e-09,0.9111111111111111,3.805659971751324e-08,significativo
A-n33-k5,gap_percent,baseline-random,efg-medium-best,73.7518925,110.59001950000001,59.0,7.765149673436245e-09,0.8688888888888889,1.708332928155974e-07,significativo
A-n33-k5,gap_percent,baseline-random,efg-medium-first,73.7518925,115.3555185,73.0,2.5968991710793643e-08,0.8377777777777777,5.453488259266665e-07,significativo
A-n33-k5,gap_percent,baseline-random,efg-medium-random,73.7518925,107.488659,26.0,3.8116433834594416e-10,0.9422222222222222,1.105376581203238e-08,significativo
A-n33-k5,gap_percent,efg-high-best,efg-high-first,138.729202,129.198189,493.5,0.524934954583961,-0.09666666666666666,1.0,no_significativo
A-n33-k5,gap_percent,efg-high-best,efg-high-random,138.729202,142.2087785,446.5,0.9646208402930089,0.0077777777777777776,1.0,no_significativo
A-n33-k5,gap_percent,efg-high-best,efg-medium-best,138.729202,110.59001950000001,690.0,0.0003985871792838508,-0.5333333333333333,0.0063773948685416125,significativo
A-n33-k5,gap_percent,efg-high-best,efg-medium-first,138.729202,115.3555185,630.0,0.007956387203461925,-0.4,0.07956387203461925,no_significativo
A-n33-k5,gap_percent,efg-high-best,efg-medium-random,138.729202,107.488659,688.0,0.0004456736646046317,-0.5288888888888889,0.0063773948685416125,significativo
A-n33-k5,gap_percent,efg-high-first,efg-high-random,129.198189,142.2087785,417.5,0.6361313074213891,0.07222222222222222,1.0,no_significativo
A-n33-k5,gap_percent,efg-high-first,efg-medium-best,129.198189,110.59001950000001,695.5,0.0002920122796626143,-0.5455555555555556,0.004964208754264444,significativo
