instance,algorithm,metric,n,mean,std,median,q1,q3,iqr,min,max
A-n33-k5,ivns,gap_percent,30,67.3575388,11.709642202301051,67.17095599999999,63.46444775,71.36913725,7.904689499999996,43.570347,97.730705
A-n33-k5,ivns,elapsed_time_seconds,30,0.23166573333333332,0.05322741367710837,0.232071,0.195308,0.26282325,0.06751525,0.133037,0.350986
A-n33-k5,vns,gap_percent,30,56.55068033333334,14.57743981795726,54.0847205,46.8229945,69.17549149999999,22.352496999999993,29.34947,80.332825
A-n33-k5,vns,elapsed_time_seconds,30,0.3114204,0.03127202678345021,0.3145905,0.28876100000000005,0.33485875000000004,0.04609774999999999,0.264079,0.373972
A-n65-k9,ivns,gap_percent,30,150.01135720000002,16.582008728751877,148.1686555,140.05536999999998,159.56132925,19.505959250000018,120.613289,189.267456
A-n65-k9,ivns,elapsed_time_seconds,30,0.3393435,0.05544799276597723,0.328076,0.31307575,0.37257375000000004,0.05949800000000005,0.216053,0.468121
A-n65-k9,vns,gap_percent,30,136.79727486666664,15.419560141268777,136.839859,126.2563915,141.92931025,15.67291874999998,111.925041,178.194214
A-n65-k9,vns,elapsed_time_seconds,30,0.2965012666666667,0.017110606101708267,0.29857599999999995,0.28306224999999996,0.30906900000000004,0.02600675000000008,0.263059,0.33308
A-n80-k10,ivns,gap_percent,30,135.19946846666667,13.596382623297867,135.59274299999998,128.17639524999998,142.56947300000002,14.393077750000032,113.840042,179.239929
A-n80-k10,ivns,elapsed_time_seconds,30,0.4215331333333333,0.059751199075969104,0.415068,0.39430575,0.46757424999999997,0.07326849999999996,0.309057,0.525067
A-n80-k10,vns,gap_percent,30,127.46643976666665,10.950310160443095,124.9858165,120.47646725,133.806015,13.329547750000003,103.743622,157.175262
A-n80-k10,vns,elapsed_time_seconds,30,0.3017146333333333,0.020669330113568706,0.3015485,0.287041,0.3127995,0.025758500000000017,0.267038,0.346055
