instance,seed,initial_solution_signature_vns,initial_solution_signature_ivns,initial_cost_vns,initial_cost_ivns,initial_solution_shared_p_vns,initial_solution_shared_p_ivns,initial_solution_source_vns,initial_solution_source_ivns,gap_percent_vns,gap_percent_ivns,elapsed_time_seconds_vns,elapsed_time_seconds_ivns,best_cost_vns,best_cost_ivns,same_initial_signature,same_initial_cost,shared_initial_solution,shared_initial_source,paired_valid,delta_gap_ivns_minus_vns,delta_time_ivns_minus_vns
A-n33-k5,1,"24,26,14,19,29,18,20,27,21|17,7,23,16,9,3|32,11,31,28,12,8,22,25|15,6,2,4,10,5|1,30,13","24,26,14,19,29,18,20,27,21|17,7,23,16,9,3|32,11,31,28,12,8,22,25|15,6,2,4,10,5|1,30,13",1708,1708,True,True,shared_by_seed,shared_by_seed,31.921329,46.142208,0.373972,0.350986,872,966,True,True,True,True,True,14.220878999999996,-0.022986
A-n33-k5,2,"26,1,17,10,24,6,15|32,9,14,28,11,25,27,12|30,23,20,18,3,19,8|5,22,2,4,13,29|16,21,7,31","26,1,17,10,24,6,15|32,9,14,28,11,25,27,12|30,23,20,18,3,19,8|5,22,2,4,13,29|16,21,7,31",1956,1956,True,True,shared_by_seed,shared_by_seed,70.650528,80.332825,0.287988,0.144014,1128,1192,True,True,True,True,True,9.682297000000004,-0.143974
A-n33-k5,3,"26,32,5,14,13,6,27,25|11,1,17,3,28,18,2|19,30,10,7,8,16|21,4,22,15,20,12,29,24|31,9,23","26,32,5,14,13,6,27,25|11,1,17,3,28,18,2|19,30,10,7,8,16|21,4,22,15,20,12,29,24|31,9,23",1649,1649,True,True,shared_by_seed,shared_by_seed,29.34947,56.429653,0.372129,0.251086,855,1034,True,True,True,True,True,27.080183,-0.121043
A-n33-k5,4,"29,11,16,2,24,15,26,10|32,25,31,5,20,17,6|12,21,4,9,18,22,1,8|19,27,28,23,3,14|30,7,13","29,11,16,2,24,15,26,10|32,25,31,5,20,17,6|12,21,4,9,18,22,1,8|19,27,28,23,3,14|30,7,13",1905,1905,True,True,shared_by_seed,shared_by_seed,71.255669,65.506813,0.267092,0.2961,1132,1094,True,True,True,True,True,-5.748856000000004,0.0290079999999999
A-n33-k5,5,"32,31,13,6,17,29|12,18,25,19,1,24,23,26,28|14,8,27,10,20,16,7|11,5,4,15,22,30,3|21,2,9","32,31,13,6,17,29|12,18,25,19,1,24,23,26,28|14,8,27,10,20,16,7|11,5,4,15,22,30,3|21,2,9",1947,1947,True,True,shared_by_seed,shared_by_seed,52.647503,70.196671,0.336114,0.247084,1009,1125,True,True,True,True,True,17.549167999999995,-0.08903
A-n33-k5,6,"26,9,4,11,25,20,18,15,5|32,21,17,14,8,23,12,22|29,1,27,24,2,19,3|6,31,13,28,30|16,7,10","26,9,4,11,25,20,18,15,5|32,21,17,14,8,23,12,22|29,1,27,24,2,19,3|6,31,13,28,30|16,7,10",2083,2083,True,True,shared_by_seed,shared_by_seed,80.181541,84.720123,0.281094,0.249083,1191,1221,True,True,True,True,True,4.538582000000005,-0.032011
A-n33-k5,7,"11,26,15,16,23,14,10,30|32,18,19,29,17,22,20,21|12,4,2,1,5,25,24,28|8,9,13,6,31|27,3,7","11,26,15,16,23,14,10,30|32,18,19,29,17,22,20,21|12,4,2,1,5,25,24,28|8,9,13,6,31|27,3,7",1812,1812,True,True,shared_by_seed,shared_by_seed,68.835098,68.986389,0.267089,0.216072,1116,1117,True,True,True,True,True,0.1512910000000005,-0.051017
A-n33-k5,8,"1,32,26,20,23,24,25,29,16,5,19|31,28,22,3,14,7|12,15,18,13,11,21,10|8,30,2,17,27|4,6,9","1,32,26,20,23,24,25,29,16,5,19|31,28,22,3,14,7|12,15,18,13,11,21,10|8,30,2,17,27|4,6,9",1960,1960,True,True,shared_by_seed,shared_by_seed,75.79425,97.730705,0.3021,0.298097,1162,1307,True,True,True,True,True,21.936454999999995,-0.0040029999999999
A-n33-k5,9,"26,11,24,22,13,31,3|32,12,2,21,5,25,19,9|8,15,27,4,28,6|17,16,10,29,1,7,23|18,14,20,30","26,11,24,22,13,31,3|32,12,2,21,5,25,19,9|8,15,27,4,28,6|17,16,10,29,1,7,23|18,14,20,30",1904,1904,True,True,shared_by_seed,shared_by_seed,63.388805,77.458397,0.349114,0.191062,1080,1173,True,True,True,True,True,14.069592000000007,-0.1580519999999999
A-n33-k5,10,"32,11,26,27,5,24,14,1,19,3|7,29,6,25,23,28,21|9,13,22,17,18|4,10,8,15,12,20,30|31,2,16","32,11,26,27,5,24,14,1,19,3|7,29,6,25,23,28,21|9,13,22,17,18|4,10,8,15,12,20,30|31,2,16",1730,1730,True,True,shared_by_seed,shared_by_seed,47.50378,85.930405,0.346111,0.301097,975,1229,True,True,True,True,True,38.426625,-0.045014
A-n33-k5,11,"24,1,10,15,23,12,30|26,2,20,28,16,9,27|32,29,5,11,25,3,21,31,19|18,22,8,17,4,7|13,6,14","24,1,10,15,23,12,30|26,2,20,28,16,9,27|32,29,5,11,25,3,21,31,19|18,22,8,17,4,7|13,6,14",1753,1753,True,True,shared_by_seed,shared_by_seed,46.596066,70.801819,0.345111,0.262083,969,1129,True,True,True,True,True,24.205752999999994,-0.0830279999999999
A-n33-k5,12,"26,21,12,19,3,5,16,13,20|11,27,10,31,1,14,25|32,29,28,15,4,7,22|6,8,17,23,24,9|2,30,18","26,21,12,19,3,5,16,13,20|11,27,10,31,1,14,25|32,29,28,15,4,7,22|6,8,17,23,24,9|2,30,18",1873,1873,True,True,shared_by_seed,shared_by_seed,48.411499,71.255669,0.328103,0.28709,981,1132,True,True,True,True,True,22.84417,-0.0410129999999999
A-n33-k5,13,"26,32,18,29,25,21,27,2|11,20,5,15,6,24,8,7|14,23,22,1,16,17,9|31,4,3,28,30,19|10,13,12","26,32,18,29,25,21,27,2|11,20,5,15,6,24,8,7|14,23,22,1,16,17,9|31,4,3,28,30,19|10,13,12",1738,1738,True,True,shared_by_seed,shared_by_seed,53.857792,48.714069,0.282089,0.232072,1017,983,True,True,True,True,True,-5.143723000000001,-0.0500169999999999
A-n33-k5,14,"28,26,6,11,9,5,23,30|1,17,18,7,15,22|32,4,27,20,10,13,12|8,24,19,31,25,16,3|2,29,21,14","28,26,6,11,9,5,23,30|1,17,18,7,15,22|32,4,27,20,10,13,12|8,24,19,31,25,16,3|2,29,21,14",1705,1705,True,True,shared_by_seed,shared_by_seed,53.706505,43.570347,0.321099,0.168052,1016,949,True,True,True,True,True,-10.136158000000002,-0.153047
A-n33-k5,15,"26,32,30,21,15,29,31,19|1,11,6,4,8,25,9,14,5|3,23,12,10,16,27,20|13,22,18,24,17|7,2,28","26,32,30,21,15,29,31,19|1,11,6,4,8,25,9,14,5|3,23,12,10,16,27,20|13,22,18,24,17|7,2,28",1722,1722,True,True,shared_by_seed,shared_by_seed,53.252647,65.960663,0.299092,0.279085,1013,1097,True,True,True,True,True,12.708015999999994,-0.0200069999999999
A-n33-k5,16,"26,32,16,23,6,13,30,29|2,21,4,28,17,18|7,8,12,27,31,19|11,15,9,1,25,24,20,14,5|10,22,3","26,32,16,23,6,13,30,29|2,21,4,28,17,18|7,8,12,27,31,19|11,15,9,1,25,24,20,14,5|10,22,3",1896,1896,True,True,shared_by_seed,shared_by_seed,69.288956,63.388805,0.272084,0.294089,1119,1080,True,True,True,True,True,-5.900151000000001,0.0220049999999999
A-n33-k5,17,"16,20,18,22,26,9,11,31|32,4,25,14,19,12,15,8,29|1,21,7,5,13,17|28,23,2,10,24,3|30,6,27","16,20,18,22,26,9,11,31|32,4,25,14,19,12,15,8,29|1,21,7,5,13,17|28,23,2,10,24,3|30,6,27",1841,1841,True,True,shared_by_seed,shared_by_seed,56.883507,66.111954,0.264079,0.195059,1037,1098,True,True,True,True,True,9.228446999999996,-0.06902
A-n33-k5,18,"32,8,26,3,31,22,1,24,29|16,23,20,5,7,15,13|11,21,18,28,10,4,19,12|14,27,9,6,2|30,17,25","32,8,26,3,31,22,1,24,29|16,23,20,5,7,15,13|11,21,18,28,10,4,19,12|14,27,9,6,2|30,17,25",1602,1602,True,True,shared_by_seed,shared_by_seed,47.806355,69.440239,0.314094,0.23207,977,1120,True,True,True,True,True,21.633884,-0.0820239999999999
A-n33-k5,19,"24,28,4,17,19,10|1,32,26,20,7,8,11,6,3,5,29|18,16,9,30,2,14|12,15,22,23,21,27|25,13,31","24,28,4,17,19,10|1,32,26,20,7,8,11,6,3,5,29|18,16,9,30,2,14|12,15,22,23,21,27|25,13,31",1747,1747,True,True,shared_by_seed,shared_by_seed,63.388805,63.691376,0.329098,0.220065,1080,1082,True,True,True,True,True,0.3025710000000003,-0.1090329999999999
A-n33-k5,20,"25,18,9,30,12,27,32|26,1,24,21,8,14,7,4,11,19|23,16,28,3,5,22,15|2,10,20,17,6|31,13,29","25,18,9,30,12,27,32|26,1,24,21,8,14,7,4,11,19|23,16,28,3,5,22,15|2,10,20,17,6|31,13,29",1878,1878,True,True,shared_by_seed,shared_by_seed,36.913769,71.40696,0.317093,0.254075,905,1133,True,True,True,True,True,34.493191,-0.063018
A-n33-k5,21,"26,16,22,13,2,21,24|7,23,15,28,6,25|8,5,29,11,4,18,30,27|12,32,17,20,1,31,14,3|19,9,10","26,16,22,13,2,21,24|7,23,15,28,6,25|8,5,29,11,4,18,30,27|12,32,17,20,1,31,14,3|19,9,10",1824,1824,True,True,shared_by_seed,shared_by_seed,54.311649,68.229958,0.292085,0.163047,1020,1112,True,True,True,True,True,13.918308999999994,-0.1290379999999999
A-n33-k5,22,"26,14,29,17,1,19,21,15,16|32,5,23,22,27,11,18,8|20,2,28,6,4,7|10,12,25,30,24,9|31,3,13","26,14,29,17,1,19,21,15,16|32,5,23,22,27,11,18,8|20,2,28,6,4,7|10,12,25,30,24,9|31,3,13",1759,1759,True,True,shared_by_seed,shared_by_seed,34.947048,53.706505,0.319093,0.260075,892,1016,True,True,True,True,True,18.759457,-0.059018
A-n33-k5,23,"32,28,24,26,20,23,14,6,29,12|15,7,9,18,22,5,1|16,19,27,30,10,8|13,2,21,11,17,3|4,31,25","32,28,24,26,20,23,14,6,29,12|15,7,9,18,22,5,1|16,19,27,30,10,8|13,2,21,11,17,3|4,31,25",1813,1813,True,True,shared_by_seed,shared_by_seed,80.332825,63.842659,0.265075,0.188054,1192,1083,True,True,True,True,True,-16.490166000000002,-0.077021
A-n33-k5,24,"25,30,4,15,6,23,26|1,14,20,31,7,2,16|28,17,9,22,21,11,5|32,13,27,8,12,29,3|19,24,18,10","25,30,4,15,6,23,26|1,14,20,31,7,2,16|28,17,9,22,21,11,5|32,13,27,8,12,29,3|19,24,18,10",1633,1633,True,True,shared_by_seed,shared_by_seed,43.872921,55.068081,0.338096,0.196055,951,1025,True,True,True,True,True,11.19516,-0.142041
A-n33-k5,25,"11,21,7,31,24,25,19|32,26,23,3,27,10,4,14|15,6,28,2,16,18|1,13,5,29,12,9,8,20|17,30,22","11,21,7,31,24,25,19|32,26,23,3,27,10,4,14|15,6,28,2,16,18|1,13,5,29,12,9,8,20|17,30,22",1772,1772,True,True,shared_by_seed,shared_by_seed,41.149773,63.99395,0.295083,0.133037,933,1084,True,True,True,True,True,22.844176999999995,-0.162046
A-n33-k5,26,"32,26,19,15,12,17,21,30|1,18,8,9,6,10,25|20,5,2,23,28,14,16,4|29,11,24,13,3,27|7,31,22","32,26,19,15,12,17,21,30|1,18,8,9,6,10,25|20,5,2,23,28,14,16,4|29,11,24,13,3,27|7,31,22",1879,1879,True,True,shared_by_seed,shared_by_seed,67.170952,72.919815,0.331093,0.21606,1105,1143,True,True,True,True,True,5.748863,-0.115033
A-n33-k5,27,"32,7,20,12,25,13,4,16|26,21,27,15,14,2,23|3,29,6,30,11,1,17|5,22,10,18,8,28,24|31,19,9","32,7,20,12,25,13,4,16|26,21,27,15,14,2,23|3,29,6,30,11,1,17|5,22,10,18,8,28,24|31,19,9",1878,1878,True,True,shared_by_seed,shared_by_seed,59.606659,65.80938,0.315087,0.203056,1055,1096,True,True,True,True,True,6.202721000000004,-0.112031
A-n33-k5,28,"9,30,23,14,18,10,1|11,26,7,3,2,25,27|32,24,31,17,13,21|29,20,5,4,6,16,22,28|19,12,15,8","9,30,23,14,18,10,1|11,26,7,3,2,25,27|32,24,31,17,13,21|29,20,5,4,6,16,22,28|19,12,15,8",1798,1798,True,True,shared_by_seed,shared_by_seed,70.196671,68.381241,0.29108,0.14804,1125,1113,True,True,True,True,True,-1.815429999999992,-0.14304
A-n33-k5,29,"26,4,18,16,11,15,17,28|8,10,20,29,30,31,21|5,3,2,19,6,13|32,23,14,27,1,12,24,25|7,22,9","26,4,18,16,11,15,17,28|8,10,20,29,30,31,21|5,3,2,19,6,13|32,23,14,27,1,12,24,25|7,22,9",2042,2042,True,True,shared_by_seed,shared_by_seed,77.760971,78.971252,0.300082,0.211057,1175,1183,True,True,True,True,True,1.210281000000009,-0.089025
A-n33-k5,30,"15,16,6,22,26,9,23|14,19,5,24,11,21,29,4,3,1|18,32,7,13,12,20,8,25|27,31,28,10|17,2,30","15,16,6,22,26,9,23|14,19,5,24,11,21,29,4,3,1|18,32,7,13,12,20,8,25|27,31,28,10|17,2,30",1703,1703,True,True,shared_by_seed,shared_by_seed,45.537067,62.027233,0.341093,0.26307,962,1071,True,True,True,True,True,16.490166000000002,-0.0780229999999999
A-n65-k9,1,"32,46,48,4,52,22,40,61,41,7,36,38|26,19,28,25,59,35,47,57,39,24|51,11,42,3,53,17,56|45,20,63,60,9|43,23,8,29,58|18,5,44,1,31,16,21|10,33,2,14,54,50|27,13,12,30,55,62|34,6,64,49,15,37","32,46,48,4,52,22,40,61,41,7,36,38|26,19,28,25,59,35,47,57,39,24|51,11,42,3,53,17,56|45,20,63,60,9|43,23,8,29,58|18,5,44,1,31,16,21|10,33,2,14,54,50|27,13,12,30,55,62|34,6,64,49,15,37",3944,3944,True,True,shared_by_seed,shared_by_seed,141.737656,157.325394,0.304081,0.348092,2838,3021,True,True,True,True,True,15.587738000000002,0.044011
A-n65-k9,2,"19,16,56,2,26,3,4,1,61|57,41,37,35,48,62,39,31,49,32|11,45,10,27,46,29,36,24|50,13,14,43,12,22,23|47,60,42,54,15,20|34,53,58,6,8|21,18,44,40,33,55,51,52|7,28,9,38,17,5|30,64,63,25,59","19,16,56,2,26,3,4,1,61|57,41,37,35,48,62,39,31,49,32|11,45,10,27,46,29,36,24|50,13,14,43,12,22,23|47,60,42,54,15,20|34,53,58,6,8|21,18,44,40,33,55,51,52|7,28,9,38,17,5|30,64,63,25,59",4016,4016,True,True,shared_by_seed,shared_by_seed,145.911423,174.190796,0.281074,0.351092,2887,3219,True,True,True,True,True,28.279372999999996,0.070018
A-n65-k9,3,"26,48,42,10,7,9,23,29,61|15,19,59,51,11,4,24,5,56,57|20,33,37,43,30|38,54,41,2,12,32,55|45,60,35,47,39,49,58,27|50,18,40,17,21,16,52,25|46,22,31,36,63,28|8,44,64,62,13,3|1,34,53,6,14","26,48,42,10,7,9,23,29,61|15,19,59,51,11,4,24,5,56,57|20,33,37,43,30|38,54,41,2,12,32,55|45,60,35,47,39,49,58,27|50,18,40,17,21,16,52,25|46,22,31,36,63,28|8,44,64,62,13,3|1,34,53,6,14",3938,3938,True,True,shared_by_seed,shared_by_seed,148.89267,163.373093,0.310082,0.468121,2922,3092,True,True,True,True,True,14.480423000000002,0.1580389999999999
A-n65-k9,4,"10,63,31,1,29,7|19,48,39,45,11,42,41,59,58,37,24|49,28,52,12,54,51,62,32,38|22,46,34,47,23,50,8|26,57,61,14,21,44,55,30|3,35,56,9,5,25|17,13,6,53,33,16|2,15,60,36,18,4|40,64,20,27,43","10,63,31,1,29,7|19,48,39,45,11,42,41,59,58,37,24|49,28,52,12,54,51,62,32,38|22,46,34,47,23,50,8|26,57,61,14,21,44,55,30|3,35,56,9,5,25|17,13,6,53,33,16|2,15,60,36,18,4|40,64,20,27,43",3815,3815,True,True,shared_by_seed,shared_by_seed,142.163544,144.037476,0.298077,0.31208,2843,2865,True,True,True,True,True,1.8739319999999964,0.014003
A-n65-k9,5,"19,26,41,7,31,60,46,39,49|48,51,42,8,56,24,53|38,4,32,15,10,52,13,22,55,12|33,5,61,36,62,17,40,57|47,35,58,54,29,44,45|11,25,34,9,43,21|18,1,63,16,28,2|64,3,14,50,6,23|59,20,27,37,30","19,26,41,7,31,60,46,39,49|48,51,42,8,56,24,53|38,4,32,15,10,52,13,22,55,12|33,5,61,36,62,17,40,57|47,35,58,54,29,44,45|11,25,34,9,43,21|18,1,63,16,28,2|64,3,14,50,6,23|59,20,27,37,30",3646,3646,True,True,shared_by_seed,shared_by_seed,131.856888,144.20784,0.290074,0.35709,2722,2867,True,True,True,True,True,12.350952000000008,0.067016
A-n65-k9,6,"19,22,8,59,6,16,20|32,21,23,50,31,9,35|57,54,18,12,37,39,4,40,29|11,38,28,44,61,55,48,56|26,58,15,34,1,60,64|7,43,53,49,33,3|42,46,51,36,10,17,25,45|27,13,14,5,30,47,62|41,63,24,52,2","19,22,8,59,6,16,20|32,21,23,50,31,9,35|57,54,18,12,37,39,4,40,29|11,38,28,44,61,55,48,56|26,58,15,34,1,60,64|7,43,53,49,33,3|42,46,51,36,10,17,25,45|27,13,14,5,30,47,62|41,63,24,52,2",4093,4093,True,True,shared_by_seed,shared_by_seed,141.396927,150.340714,0.299075,0.216053,2834,2939,True,True,True,True,True,8.943786999999986,-0.0830219999999999
A-n65-k9,7,"61,19,22,32,29,51,30,2,26,3|7,50,12,33,41,53,38,46,57|45,11,16,15,14,5,9,48,36,42|63,49,55,34,21,18,39|35,6,4,47,52,24,13,25|10,64,31,8,43|58,54,44,28,27|40,20,37,60,59|56,1,17,23,62","61,19,22,32,29,51,30,2,26,3|7,50,12,33,41,53,38,46,57|45,11,16,15,14,5,9,48,36,42|63,49,55,34,21,18,39|35,6,4,47,52,24,13,25|10,64,31,8,43|58,54,44,28,27|40,20,37,60,59|56,1,17,23,62",3893,3893,True,True,shared_by_seed,shared_by_seed,131.771713,139.693359,0.31808,0.262065,2721,2814,True,True,True,True,True,7.921645999999981,-0.0560149999999999
A-n65-k9,8,"45,61,19,32,36,58,14,47,26,35,59,52,11|41,6,4,44,17,16|48,57,56,21,39,13,29,18,30|37,7,43,46,42,51,3,33|24,15,9,63,40|38,5,20,2,27,8|50,10,31,25,1,22,12|64,62,34,54,28,49|60,23,55,53","45,61,19,32,36,58,14,47,26,35,59,52,11|41,6,4,44,17,16|48,57,56,21,39,13,29,18,30|37,7,43,46,42,51,3,33|24,15,9,63,40|38,5,20,2,27,8|50,10,31,25,1,22,12|64,62,34,54,28,49|60,23,55,53",3962,3962,True,True,shared_by_seed,shared_by_seed,111.925041,164.991486,0.302075,0.380093,2488,3111,True,True,True,True,True,53.066445000000016,0.078018
A-n65-k9,9,"48,36,16,35,58,18,17,49|26,23,50,8,45,1,14,19,54|51,6,44,10,42,4,15,46|21,3,24,27,59,63|11,9,34,55,52,32,12,47|39,62,56,33,37,20|61,41,57,13,29,30,43,38|5,40,2,7,60,25|53,64,22,28,31","48,36,16,35,58,18,17,49|26,23,50,8,45,1,14,19,54|51,6,44,10,42,4,15,46|21,3,24,27,59,63|11,9,34,55,52,32,12,47|39,62,56,33,37,20|61,41,57,13,29,30,43,38|5,40,2,7,60,25|53,64,22,28,31",3767,3767,True,True,shared_by_seed,shared_by_seed,132.53833,154.599655,0.321079,0.32808,2730,2989,True,True,True,True,True,22.06132500000001,0.0070009999999999
A-n65-k9,10,"26,11,37,58,21,4,9,36|61,45,19,34,49,13,39,56,15,59|52,51,42,18,62,44,50,32,14,7|10,6,63,16,3,12|48,20,57,55,54,40,33|22,25,53,35,29,30,46|5,38,43,1,47,8,41|24,28,31,23,64|60,2,17,27","26,11,37,58,21,4,9,36|61,45,19,34,49,13,39,56,15,59|52,51,42,18,62,44,50,32,14,7|10,6,63,16,3,12|48,20,57,55,54,40,33|22,25,53,35,29,30,46|5,38,43,1,47,8,41|24,28,31,23,64|60,2,17,27",4181,4181,True,True,shared_by_seed,shared_by_seed,178.194214,167.802383,0.33308,0.277067,3266,3144,True,True,True,True,True,-10.391830999999996,-0.0560129999999999
A-n65-k9,11,"11,32,19,55,23,54,1,26,49,42|61,48,39,45,53,13,63,46,31|57,24,60,51,47,8,15|18,35,41,38,10,27,50,44|17,4,9,6,29,21|52,16,58,36,34,7,3|22,14,40,30,59,33,12|43,62,5,2,37|64,20,56,28,25","11,32,19,55,23,54,1,26,49,42|61,48,39,45,53,13,63,46,31|57,24,60,51,47,8,15|18,35,41,38,10,27,50,44|17,4,9,6,29,21|52,16,58,36,34,7,3|22,14,40,30,59,33,12|43,62,5,2,37|64,20,56,28,25",3459,3459,True,True,shared_by_seed,shared_by_seed,112.862015,124.105621,0.314076,0.232055,2499,2631,True,True,True,True,True,11.243606,-0.082021
A-n65-k9,12,"46,10,57,1,51,40,44,64|14,47,28,25,20,19,59|26,48,7,55,3,62,27,36|45,32,38,60,24,23,37,18|61,49,11,33,54,50,8,42,52,12|35,39,43,53,16,4,13,22|15,41,56,5,58,21,29|6,17,34,2|9,31,30,63","46,10,57,1,51,40,44,64|14,47,28,25,20,19,59|26,48,7,55,3,62,27,36|45,32,38,60,24,23,37,18|61,49,11,33,54,50,8,42,52,12|35,39,43,53,16,4,13,22|15,41,56,5,58,21,29|6,17,34,2|9,31,30,63",3538,3538,True,True,shared_by_seed,shared_by_seed,116.183983,125.298134,0.292069,0.325077,2538,2645,True,True,True,True,True,9.114151000000009,0.0330079999999999
A-n65-k9,13,"34,24,53,41,48,23|19,26,32,11,54,8,9,39,50,14|45,42,22,61,38,5,15,49,56,27|18,7,37,4,29,63,1,13|35,31,57,2,40,33,62|30,16,36,58,17|20,6,59,3,25,52|21,51,28,12,47,60,55|43,64,44,46,10","34,24,53,41,48,23|19,26,32,11,54,8,9,39,50,14|45,42,22,61,38,5,15,49,56,27|18,7,37,4,29,63,1,13|35,31,57,2,40,33,62|30,16,36,58,17|20,6,59,3,25,52|21,51,28,12,47,60,55|43,64,44,46,10",3845,3845,True,True,shared_by_seed,shared_by_seed,129.897781,154.77002,0.309072,0.311073,2699,2991,True,True,True,True,True,24.87223899999998,0.0020009999999999
