"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"vns_A-n33-k5_31","vns","A-n33-k5",31,661,10,2,5,5,0,first,3,2,300,"max_iter",1763,"26,5,27,15,6,17,11|32,8,14,10,16,13,28,1|25,7,21,4,12,3,19|20,23,24,31,9,30|22,18,2,29","true","shared_by_seed",1113,1113,68.381241,10,10,0,0,0,30,0,0.415001,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_31","ivns","A-n33-k5",31,661,10,2,5,5,50,first,3,2,300,"max_iter",1763,"26,5,27,15,6,17,11|32,8,14,10,16,13,28,1|25,7,21,4,12,3,19|20,23,24,31,9,30|22,18,2,29","true","shared_by_seed",1120,1120,69.440239,10,10,0,0,0,10,18,0.279002,10,0,"true","ok","",3.400000,9.500000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_32","vns","A-n33-k5",32,661,10,2,5,5,0,first,3,2,300,"max_iter",1743,"26,32,21,19,13,18,31,16|11,5,17,28,8,20,25,3|12,10,22,29,1,23,6|9,14,27,24,2,4|7,30,15","true","shared_by_seed",992,992,50.075645,10,10,0,0,0,30,0,0.376001,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_32","ivns","A-n33-k5",32,661,10,2,5,5,50,first,3,2,300,"max_iter",1743,"26,32,21,19,13,18,31,16|11,5,17,28,8,20,25,3|12,10,22,29,1,23,6|9,14,27,24,2,4|7,30,15","true","shared_by_seed",990,990,49.773071,10,10,0,0,0,10,16,0.319001,10,0,"true","ok","",4.300000,12.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_33","vns","A-n33-k5",33,661,10,2,5,5,0,first,3,2,300,"max_iter",1914,"24,30,10,16,11,15,19|26,22,28,17,5,12,2|32,29,21,13,9,6,1,4|27,20,14,18,8,23,25|31,7,3","true","shared_by_seed",1110,1110,67.927383,10,10,0,0,0,30,0,0.440003,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_33","ivns","A-n33-k5",33,661,10,2,5,5,50,first,3,2,300,"max_iter",1914,"24,30,10,16,11,15,19|26,22,28,17,5,12,2|32,29,21,13,9,6,1,4|27,20,14,18,8,23,25|31,7,3","true","shared_by_seed",1115,1115,68.683815,10,10,0,0,0,10,15,0.306000,10,0,"true","ok","",4,11.500000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_34","vns","A-n33-k5",34,661,10,2,5,5,0,first,3,2,300,"max_iter",1658,"26,32,3,7,13,4,12,28|11,1,10,19,14,27,2|24,17,30,20,6,8|31,29,9,16,5,22,21|18,25,15,23","true","shared_by_seed",1045,1045,58.093800,10,10,0,0,0,30,0,0.394001,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_34","ivns","A-n33-k5",34,661,10,2,5,5,50,first,3,2,300,"max_iter",1658,"26,32,3,7,13,4,12,28|11,1,10,19,14,27,2|24,17,30,20,6,8|31,29,9,16,5,22,21|18,25,15,23","true","shared_by_seed",946,946,43.116489,10,10,0,0,0,10,16,0.236002,10,0,"true","ok","",3.800000,10.600000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_35","vns","A-n33-k5",35,661,10,2,5,5,0,first,3,2,300,"max_iter",1791,"18,16,19,7,10,2|1,8,9,3,28,25,17|32,24,12,14,4,26,22,13,5|31,23,21,20,15,11,29|6,30,27","true","shared_by_seed",996,996,50.680786,10,10,0,0,0,30,0,0.402001,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_35","ivns","A-n33-k5",35,661,10,2,5,5,50,first,3,2,300,"max_iter",1791,"18,16,19,7,10,2|1,8,9,3,28,25,17|32,24,12,14,4,26,22,13,5|31,23,21,20,15,11,29|6,30,27","true","shared_by_seed",1005,1005,52.042358,10,10,0,0,0,10,16,0.842003,10,0,"true","ok","",4.100000,11.100000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,7,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_36","vns","A-n33-k5",36,661,10,2,5,5,0,first,3,2,300,"max_iter",1968,"32,14,31,7,10,1,26,12,29|9,24,15,18,23,21,8|20,22,3,16,5,4,11,27|13,28,2,19,25|6,30,17","true","shared_by_seed",1364,1364,106.354012,10,10,0,0,0,30,0,0.372001,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_36","ivns","A-n33-k5",36,661,10,2,5,5,50,first,3,2,300,"max_iter",1968,"32,14,31,7,10,1,26,12,29|9,24,15,18,23,21,8|20,22,3,16,5,4,11,27|13,28,2,19,25|6,30,17","true","shared_by_seed",1118,1118,69.137665,10,10,0,0,0,10,17,0.669002,10,0,"true","ok","",4,11,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,10,10,10,7,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_37","vns","A-n33-k5",37,661,10,2,5,5,0,first,3,2,300,"max_iter",1766,"26,8,23,31,5,19,24,28|1,4,22,29,20,6,3,25|32,30,11,21,14,16,2,12|27,10,18,15,9|17,7,13","true","shared_by_seed",1104,1104,67.019669,10,10,0,0,0,30,0,0.350002,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_37","ivns","A-n33-k5",37,661,10,2,5,5,50,first,3,2,300,"max_iter",1766,"26,8,23,31,5,19,24,28|1,4,22,29,20,6,3,25|32,30,11,21,14,16,2,12|27,10,18,15,9|17,7,13","true","shared_by_seed",995,995,50.529499,10,10,0,0,0,10,15,0.360002,10,0,"true","ok","",3.600000,9.800000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,10,10,10,4,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_38","vns","A-n33-k5",38,661,10,2,5,5,0,first,3,2,300,"max_iter",1924,"21,4,11,10,24,22,1,25|8,23,28,2,3,27|32,12,9,13,15,16,6|14,19,17,20,5,18,26,7|29,31,30","true","shared_by_seed",1121,1121,69.591530,10,10,0,0,0,30,0,0.335000,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_38","ivns","A-n33-k5",38,661,10,2,5,5,50,first,3,2,300,"max_iter",1924,"21,4,11,10,24,22,1,25|8,23,28,2,3,27|32,12,9,13,15,16,6|14,19,17,20,5,18,26,7|29,31,30","true","shared_by_seed",1170,1170,77.004539,10,10,0,0,0,10,14,0.319001,10,0,"true","ok","",3.700000,10.900000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_39","vns","A-n33-k5",39,661,10,2,5,5,0,first,3,2,300,"max_iter",1655,"32,2,3,6,26,13,4|12,21,11,9,30,22,1,19|16,28,24,15,14,27,29|20,25,5,8,10,17,23|31,7,18","true","shared_by_seed",1093,1093,65.355522,10,10,0,0,0,30,0,0.382003,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_39","ivns","A-n33-k5",39,661,10,2,5,5,50,first,3,2,300,"max_iter",1655,"32,2,3,6,26,13,4|12,21,11,9,30,22,1,19|16,28,24,15,14,27,29|20,25,5,8,10,17,23|31,7,18","true","shared_by_seed",1021,1021,54.462933,10,10,0,0,0,10,19,0.676001,10,0,"true","ok","",4,12.400000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_40","vns","A-n33-k5",40,661,10,2,5,5,0,first,3,2,300,"max_iter",1830,"8,12,11,30,18,26,5,3,7|32,21,20,14,28,29,1,22,2|16,15,9,17,13|6,27,19,4,25,24|23,31,10","true","shared_by_seed",999,999,51.134647,10,10,0,0,0,30,0,0.408002,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_40","ivns","A-n33-k5",40,661,10,2,5,5,50,first,3,2,300,"max_iter",1830,"8,12,11,30,18,26,5,3,7|32,21,20,14,28,29,1,22,2|16,15,9,17,13|6,27,19,4,25,24|23,31,10","true","shared_by_seed",979,979,48.108925,10,10,0,0,0,10,18,0.290001,10,0,"true","ok","",4,11.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,10,10,10,6,0,0,0,0,0,0,0,0,0,0
