"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"vns_A-n33-k5_31","vns","A-n33-k5",31,1,1,1690,1690,-73,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.075000,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,2,1,1504,1504,-186,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.116000,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,3,1,1456,1456,-48,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.149000,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,4,1,1276,1276,-180,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.182001,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,5,1,1248,1248,-28,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.217001,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,6,1,1212,1212,-36,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.258001,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,7,1,1163,1163,-49,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.293001,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,8,1,1150,1150,-13,"true","true",1,0,3,2,3,"",0,0,0,0,0,0,0,0,0,0,"",0.341001,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,9,1,1143,1143,-7,"true","true",1,0,3,1,3,"",0,0,0,0,0,0,0,0,0,0,"",0.378001,"ok",""
"vns_A-n33-k5_31","vns","A-n33-k5",31,10,1,1113,1113,-30,"true","true",1,0,3,2,3,"",0,0,0,0,0,0,0,0,0,0,"",0.415001,"ok",""
