"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"vns_A-n33-k5_1","vns","A-n33-k5",1,661,10,2,5,5,0,random,3,2,60,"max_iter",1708,"24,26,14,19,29,18,20,27,21|17,7,23,16,9,3|32,11,31,28,12,8,22,25|15,6,2,4,10,5|1,30,13","true","shared_by_seed",872,872,31.921329,10,10,0,0,0,30,0,0.373972,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,60,"max_iter",1708,"24,26,14,19,29,18,20,27,21|17,7,23,16,9,3|32,11,31,28,12,8,22,25|15,6,2,4,10,5|1,30,13","true","shared_by_seed",966,966,46.142208,10,9,0,0,1,9,20,0.350986,10,0,"true","ok","",4.100000,11.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,9,10,9,6,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_2","vns","A-n33-k5",2,661,10,2,5,5,0,random,3,2,60,"max_iter",1956,"26,1,17,10,24,6,15|32,9,14,28,11,25,27,12|30,23,20,18,3,19,8|5,22,2,4,13,29|16,21,7,31","true","shared_by_seed",1128,1128,70.650528,10,10,0,0,0,30,0,0.287988,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,60,"max_iter",1956,"26,1,17,10,24,6,15|32,9,14,28,11,25,27,12|30,23,20,18,3,19,8|5,22,2,4,13,29|16,21,7,31","true","shared_by_seed",1192,1192,80.332825,10,10,0,0,0,10,13,0.144014,10,0,"true","ok","",3.700000,10.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_3","vns","A-n33-k5",3,661,10,2,5,5,0,random,3,2,60,"max_iter",1649,"26,32,5,14,13,6,27,25|11,1,17,3,28,18,2|19,30,10,7,8,16|21,4,22,15,20,12,29,24|31,9,23","true","shared_by_seed",855,855,29.349470,10,10,0,0,0,30,0,0.372129,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,60,"max_iter",1649,"26,32,5,14,13,6,27,25|11,1,17,3,28,18,2|19,30,10,7,8,16|21,4,22,15,20,12,29,24|31,9,23","true","shared_by_seed",1034,1034,56.429653,10,8,0,0,2,8,15,0.251086,10,0,"true","ok","",3.600000,9.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,8,10,8,5,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_4","vns","A-n33-k5",4,661,10,2,5,5,0,random,3,2,60,"max_iter",1905,"29,11,16,2,24,15,26,10|32,25,31,5,20,17,6|12,21,4,9,18,22,1,8|19,27,28,23,3,14|30,7,13","true","shared_by_seed",1132,1132,71.255669,10,10,0,0,0,30,0,0.267092,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,60,"max_iter",1905,"29,11,16,2,24,15,26,10|32,25,31,5,20,17,6|12,21,4,9,18,22,1,8|19,27,28,23,3,14|30,7,13","true","shared_by_seed",1094,1094,65.506813,10,9,0,0,1,9,15,0.296100,10,0,"true","ok","",4.500000,12.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,9,10,9,4,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_5","vns","A-n33-k5",5,661,10,2,5,5,0,random,3,2,60,"max_iter",1947,"32,31,13,6,17,29|12,18,25,19,1,24,23,26,28|14,8,27,10,20,16,7|11,5,4,15,22,30,3|21,2,9","true","shared_by_seed",1009,1009,52.647503,10,10,0,0,0,30,0,0.336114,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,60,"max_iter",1947,"32,31,13,6,17,29|12,18,25,19,1,24,23,26,28|14,8,27,10,20,16,7|11,5,4,15,22,30,3|21,2,9","true","shared_by_seed",1125,1125,70.196671,10,9,0,0,1,9,16,0.247084,10,0,"true","ok","",4.100000,11.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,9,10,9,7,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_6","vns","A-n33-k5",6,661,10,2,5,5,0,random,3,2,60,"max_iter",2083,"26,9,4,11,25,20,18,15,5|32,21,17,14,8,23,12,22|29,1,27,24,2,19,3|6,31,13,28,30|16,7,10","true","shared_by_seed",1191,1191,80.181541,10,10,0,0,0,30,0,0.281094,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,60,"max_iter",2083,"26,9,4,11,25,20,18,15,5|32,21,17,14,8,23,12,22|29,1,27,24,2,19,3|6,31,13,28,30|16,7,10","true","shared_by_seed",1221,1221,84.720123,10,8,0,0,2,8,26,0.249083,10,0,"true","ok","",4.100000,10.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,26,10,16,8,10,8,8,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_7","vns","A-n33-k5",7,661,10,2,5,5,0,random,3,2,60,"max_iter",1812,"11,26,15,16,23,14,10,30|32,18,19,29,17,22,20,21|12,4,2,1,5,25,24,28|8,9,13,6,31|27,3,7","true","shared_by_seed",1116,1116,68.835098,10,10,0,0,0,30,0,0.267089,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,60,"max_iter",1812,"11,26,15,16,23,14,10,30|32,18,19,29,17,22,20,21|12,4,2,1,5,25,24,28|8,9,13,6,31|27,3,7","true","shared_by_seed",1117,1117,68.986389,10,9,0,0,1,9,16,0.216072,10,0,"true","ok","",3.700000,9.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,9,10,9,4,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_8","vns","A-n33-k5",8,661,10,2,5,5,0,random,3,2,60,"max_iter",1960,"1,32,26,20,23,24,25,29,16,5,19|31,28,22,3,14,7|12,15,18,13,11,21,10|8,30,2,17,27|4,6,9","true","shared_by_seed",1162,1162,75.794250,10,10,0,0,0,30,0,0.302100,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,60,"max_iter",1960,"1,32,26,20,23,24,25,29,16,5,19|31,28,22,3,14,7|12,15,18,13,11,21,10|8,30,2,17,27|4,6,9","true","shared_by_seed",1307,1307,97.730705,10,6,0,0,4,6,15,0.298097,9,0,"true","ok","",4.300000,11.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,6,10,6,8,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_9","vns","A-n33-k5",9,661,10,2,5,5,0,random,3,2,60,"max_iter",1904,"26,11,24,22,13,31,3|32,12,2,21,5,25,19,9|8,15,27,4,28,6|17,16,10,29,1,7,23|18,14,20,30","true","shared_by_seed",1080,1080,63.388805,10,10,0,0,0,30,0,0.349114,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,60,"max_iter",1904,"26,11,24,22,13,31,3|32,12,2,21,5,25,19,9|8,15,27,4,28,6|17,16,10,29,1,7,23|18,14,20,30","true","shared_by_seed",1173,1173,77.458397,10,10,0,0,0,10,13,0.191062,10,0,"true","ok","",3.800000,10.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"vns_A-n33-k5_10","vns","A-n33-k5",10,661,10,2,5,5,0,random,3,2,60,"max_iter",1730,"32,11,26,27,5,24,14,1,19,3|7,29,6,25,23,28,21|9,13,22,17,18|4,10,8,15,12,20,30|31,2,16","true","shared_by_seed",975,975,47.503780,10,10,0,0,0,30,0,0.346111,10,0,"true","ok","",0,0,0.000000,"false",0,"none",0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
