"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"vns_A-n33-k5_1","vns","A-n33-k5",1,1,1,1619,1619,-89,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.080992,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,2,1,1468,1468,-151,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.119989,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,3,1,1337,1337,-131,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.153985,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,4,1,1248,1248,-89,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.184982,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,5,1,1223,1223,-25,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.222980,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,6,1,1063,1063,-160,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.250978,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,7,1,999,999,-64,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.277976,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,8,1,930,930,-69,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.307975,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,9,1,890,890,-40,"true","true",1,0,3,2,3,"",0,0,0,0,0,0,0,0,0,0,"",0.336974,"ok",""
"vns_A-n33-k5_1","vns","A-n33-k5",1,10,1,872,872,-18,"true","true",2,0,3,2,3,"",0,0,0,0,0,0,0,0,0,0,"",0.373972,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1512,1512,-196,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,1,"",0.048998,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1364,1364,-148,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,2,"",0.061998,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1364,1364,0,"false","false",,,,,0,"raabb",5,11,5,5,1,4,0,1,0,3,"Complejidad excesiva: 17 > 14.",0.126995,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1257,1257,-107,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,3,"",0.183993,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1209,1209,-48,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,4,"",0.190992,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1176,1176,-33,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,4,"",0.243990,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1081,1081,-95,"true","false",,,,,1,"rfrg",4,12,2,2,1,1,1,1,1,5,"Complejidad excesiva: 17 > 14.",0.299988,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1038,1038,-43,"true","false",,,,,1,"rarb",4,10,4,4,1,3,1,1,1,6,"Complejidad excesiva: 21 > 14.",0.309988,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,992,992,-46,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,6,"",0.341986,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,966,966,-26,"true","false",,,,,1,"rab",3,7,3,3,1,2,1,1,1,6,"Complejidad excesiva: 17 > 14.",0.350986,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,1,1,1709,1709,-247,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.037998,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,2,1,1580,1580,-129,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.072997,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,3,1,1522,1522,-58,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.104995,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,4,1,1467,1467,-55,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.129994,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,5,1,1423,1423,-44,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.154993,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,6,1,1345,1345,-78,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.182992,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,7,1,1302,1302,-43,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.206991,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,8,1,1239,1239,-63,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.232990,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,9,1,1163,1163,-76,"true","true",1,0,3,3,3,"",0,0,0,0,0,0,0,0,0,0,"",0.261989,"ok",""
"vns_A-n33-k5_2","vns","A-n33-k5",2,10,1,1128,1128,-35,"true","true",1,0,3,2,3,"",0,0,0,0,0,0,0,0,0,0,"",0.287988,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1855,1855,-101,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,1,"",0.010999,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1730,1730,-125,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,2,"",0.019999,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1620,1620,-110,"true","false",,,,,1,"rfrg",4,12,2,2,1,1,1,1,1,3,"Complejidad excesiva: 18 > 14.",0.063997,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1529,1529,-91,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.073997,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1467,1467,-62,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,4,"",0.079996,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1383,1383,-84,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,4,"Complejidad excesiva: 17 > 14.",0.089997,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1307,1307,-76,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,5,"",0.105002,"ok",""
