"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,first,3,2,60,"max_iter",1929,"32,21,4,29,30,27,9,1|26,23,24,28,5,14,10,15|8,12,22,16,11,2,25,20|31,17,13,3,19|7,6,18","false","generated_inside_algorithm",1209,1209,82.904694,10,9,0,0,1,9,12,0.250013,10,0,"true","ok","",3.900000,10.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,9,10,9,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,first,3,2,60,"max_iter",1753,"26,6,17,14,20,31,19|2,11,18,29,16,4,9,8|3,7,23,15,28,24,32|5,12,21,1,25,10,22|30,13,27","false","generated_inside_algorithm",1110,1110,67.927383,10,8,0,0,2,8,19,0.262013,8,0,"true","ok","",3.800000,10.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,8,10,8,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,first,3,2,60,"max_iter",1727,"32,16,6,28,24,27,15|26,14,23,21,17,29,2,20|1,19,18,22,30,11,13|8,10,12,25,9,7,5|31,3,4","false","generated_inside_algorithm",1106,1106,67.322235,10,9,0,0,1,9,16,0.200010,10,0,"true","ok","",3.700000,10.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,9,10,9,4,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,first,3,2,60,"max_iter",1699,"20,4,13,26,16,27,22|8,2,12,18,1,7,10|32,19,31,14,29,6,11,15|17,25,21,23,5,9|3,24,28,30","false","generated_inside_algorithm",1200,1200,81.543121,10,6,0,0,4,6,21,0.380017,9,0,"true","ok","",3.900000,11.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,6,10,6,4,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,first,3,2,60,"max_iter",1725,"14,7,8,23,11,22,17|26,5,21,28,15,12,10,9|29,30,20,27,3,16,32,18|1,24,6,4,2,19,25|13,31","false","generated_inside_algorithm",1109,1109,67.776093,10,9,0,0,1,9,16,0.197011,10,0,"true","ok","",3.800000,10.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,9,10,9,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,first,3,2,60,"max_iter",1957,"1,14,5,18,27,4,25,19|20,28,17,3,6,30|26,29,31,24,15,21,13|32,2,10,7,11,12,9|16,23,22,8","false","generated_inside_algorithm",1217,1217,84.114975,10,6,0,0,4,6,15,0.416020,9,0,"true","ok","",4,11.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,6,10,6,3,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,first,3,2,60,"max_iter",1847,"9,7,15,17,30|16,28,29,18,25,3,11,10|31,22,14,6,23,1,8|5,13,21,27,32,26,2,20|4,19,24,12","false","generated_inside_algorithm",1101,1101,66.565811,10,7,0,0,3,7,15,0.313014,10,0,"true","ok","",4.100000,11.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,first,3,2,60,"max_iter",1697,"26,32,18,9,13,11,23,30|22,21,14,12,3,27,4|20,5,2,25,7,28,24|1,31,19,29,10,16,6|17,15,8","false","generated_inside_algorithm",1125,1125,70.196671,10,7,0,0,3,7,19,0.326017,9,0,"true","ok","",3.900000,10.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,first,3,2,60,"max_iter",2027,"29,20,8,18,2,31,4|28,7,1,9,12,13,16|26,32,6,11,25,3,14,21,5,24|10,22,27,19,17|15,23,30","false","generated_inside_algorithm",1267,1267,91.679276,10,6,0,0,4,6,22,0.360017,9,0,"true","ok","",3.900000,11.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,6,10,6,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,first,3,2,60,"max_iter",1742,"23,14,28,9,30,1,15|29,6,27,31,21,5,26,11|32,20,3,18,10,13,22|19,12,17,8,2,7|4,25,16,24","false","generated_inside_algorithm",1224,1224,85.173973,10,9,0,0,1,9,18,0.180009,10,0,"true","ok","",3.300000,8.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,9,10,9,4,0,0,0,0,0,0,0,0,0,0
