"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,60,"max_iter",1838,"26,32,30,31,17,29,9|1,2,22,23,18,6,20|14,16,21,25,24,5,11,28,3|4,8,15,10,12,7|27,13,19","false","generated_inside_algorithm",1207,1207,82.602119,10,7,0,0,3,7,12,0.336016,9,0,"true","ok","",4,11.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,60,"max_iter",1966,"23,8,17,18,21,10,12|28,3,4,26,19,5,15,25|30,6,9,13,22|29,32,14,16,1,11,2,20,27|24,7,31","false","generated_inside_algorithm",1114,1114,68.532524,10,8,0,0,2,8,16,0.250012,10,0,"true","ok","",3.900000,11.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,8,10,8,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,60,"max_iter",1824,"32,2,17,6,4,21,14|1,26,25,3,5,11,20,10,12,16|24,15,29,9,18,30,8|19,23,7,22,13|28,31,27","false","generated_inside_algorithm",1263,1263,91.074135,10,7,0,0,3,7,15,0.281014,9,0,"true","ok","",3.700000,10.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,60,"max_iter",2127,"26,21,7,18,3,6,25,8|32,29,13,24,30,20,22,11|27,16,14,10,2,23|17,5,28,1,4,19,15|12,31,9","false","generated_inside_algorithm",1319,1319,99.546143,10,7,0,0,3,7,14,0.320015,10,0,"true","ok","",4,10.200000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,60,"max_iter",1807,"32,26,30,25,12,11,4,10,24|21,28,13,23,7,15|14,16,1,17,22,19,29,20|5,9,27,18,8,6|31,2,3","false","generated_inside_algorithm",1231,1231,86.232979,10,7,0,0,3,7,16,0.270013,10,0,"true","ok","",3.900000,10.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,7,10,7,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,60,"max_iter",1615,"32,20,7,27,31,11,6|29,16,4,8,25,18,12,14,23|1,21,10,22,26,15,17|30,5,3,19,9,28|24,13,2","false","generated_inside_algorithm",1117,1117,68.986389,10,7,0,0,3,7,21,0.299015,10,0,"true","ok","",4.100000,11.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,60,"max_iter",1818,"26,21,29,2,4,7,16,28|11,18,27,3,6,9,20|12,13,31,14,1,8,22|32,15,10,5,19,25,23|17,30,24","false","generated_inside_algorithm",1171,1171,77.155823,10,8,0,0,2,8,13,0.275013,10,0,"true","ok","",3.800000,10.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,8,10,8,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,60,"max_iter",1757,"26,14,29,10,11,17,2,12|28,25,5,13,30,3,1|32,16,15,27,18,19,24|8,4,6,7,9,23,20|31,21,22","false","generated_inside_algorithm",1139,1139,72.314674,10,8,0,0,2,8,18,0.279014,10,0,"true","ok","",4,11.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,8,10,8,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,60,"max_iter",1799,"26,11,20,31,19,7,21,6|16,3,10,2,4,22|1,29,18,9,12,28,14,27|15,32,17,8,5,30,24|25,23,13","false","generated_inside_algorithm",1103,1103,66.868385,10,8,0,0,2,8,18,0.340016,9,0,"true","ok","",4,12.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,8,10,8,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,random,3,2,60,"max_iter",2283,"26,14,4,15,13,28,9|27,23,20,29,8,2,25|21,16,19,30,6,5,32,18|3,12,1,7,11,22,24|10,31,17","false","generated_inside_algorithm",1170,1170,77.004539,10,10,0,0,0,10,21,0.140007,10,0,"true","ok","",3.700000,9.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,10,10,10,4,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_11","ivns","A-n33-k5",11,661,10,2,5,5,50,random,3,2,60,"max_iter",1865,"25,31,22,23,20,21,16|32,11,6,12,7,9,29,30|26,14,1,5,24,13,2,4|28,19,3,8,10,15|18,17,27","false","generated_inside_algorithm",1297,1297,96.217850,10,6,0,0,4,6,17,0.337016,9,0,"true","ok","",4.200000,12,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,6,10,6,6,0,0,0,0,0,0,0,0,0,0
