"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,best,3,2,60,"max_iter",2021,"19,27,30,14,22,25|32,11,21,18,24,3,5,2,20,26|29,7,16,28,13,23,8|4,1,10,15,17,6|9,31,12","false","generated_inside_algorithm",1845,1845,179.122543,10,1,0,0,9,1,16,0.713034,4,0,"true","ok","",6.400000,20.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,1,10,1,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,best,3,2,60,"max_iter",1889,"26,18,21,3,12,29,25,10,20|1,15,11,31,7,28,19|14,13,8,23,5,24,27|30,22,4,17,32,6|9,16,2","false","generated_inside_algorithm",1632,1632,146.898636,10,2,0,0,8,2,15,0.647031,9,0,"true","ok","",6.400000,21.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,2,10,2,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,best,3,2,60,"max_iter",1586,"15,30,5,9,10,28|26,32,8,27,23,11,24,21,16,14|1,6,29,12,19,25,7,18|22,17,20,13,4|31,2,3","false","generated_inside_algorithm",1586,1586,139.939484,10,0,0,0,10,0,24,0.760037,0,0,"true","ok","",6.600000,20.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,24,10,14,0,10,0,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,best,3,2,60,"max_iter",1668,"2,3,27,26,5,25,14,32|24,28,21,10,19,4,20,11|1,12,23,18,22,7,8,29|16,17,6,15,31|9,30,13","false","generated_inside_algorithm",1197,1197,81.089256,10,4,0,0,6,4,19,0.567028,9,0,"true","ok","",6.100000,19.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,best,3,2,60,"max_iter",1694,"26,1,23,11,15,3,5,25,10|29,14,21,27,12,13,20,8|28,32,31,16,24,4,7|17,18,9,6,2|30,19,22","false","generated_inside_algorithm",1571,1571,137.670197,10,1,0,0,9,1,13,0.783037,2,0,"true","ok","",7.400000,23.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,1,10,1,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,best,3,2,60,"max_iter",1766,"32,26,29,3,23,25,27,24,14|2,4,10,15,19,20|9,18,8,30,11,5,28,16|22,21,6,13,12,7|17,1,31","false","generated_inside_algorithm",1501,1501,127.080177,10,2,0,0,8,2,22,0.673032,9,0,"true","ok","",6,18.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,best,3,2,60,"max_iter",1912,"26,16,8,19,20,27,31,12|14,13,3,10,15,23|32,18,21,24,17,6,7|30,29,4,25,5,9,22|28,2,11,1","false","generated_inside_algorithm",1789,1789,170.650528,10,1,0,0,9,1,13,0.692035,8,0,"true","ok","",6.900000,22.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,1,10,1,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,best,3,2,60,"max_iter",1879,"32,26,29,10,1,16,18,23,28,14|20,2,8,5,4,11,25,9|22,6,30,21,12,17|7,19,3,13,24|15,27,31","false","generated_inside_algorithm",1501,1501,127.080177,10,2,0,0,8,2,16,0.723034,10,0,"true","ok","",7,21.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,2,10,2,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,best,3,2,60,"max_iter",1751,"26,12,23,14,11,22,9,31|1,32,25,16,20,8,24,21,3,5|29,4,2,7,18,28|17,13,27,6|19,30,10,15","false","generated_inside_algorithm",1643,1643,148.562790,10,1,0,0,9,1,24,0.812039,8,0,"true","ok","",6.800000,21.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,24,10,14,1,10,1,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,best,3,2,60,"max_iter",1917,"11,9,20,7,21,22,30|19,23,12,4,14,27,6|26,29,31,16,18,15,8,28|32,10,17,1,13,5,3|25,24,2","false","generated_inside_algorithm",1917,1917,190.015121,10,0,0,0,10,0,13,0.868042,0,0,"true","ok","",7.900000,25.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,0,10,0,10,0,0,0,0,0,0,0,0,0,0
