"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,first,3,2,60,"max_iter",1826,"26,32,18,9,10,30,2|1,16,23,21,20,27,5,15|24,3,6,8,31,22|11,19,17,4,14,7,28|25,29,13,12","false","generated_inside_algorithm",1687,1687,155.219360,10,1,0,0,9,1,12,0.779038,5,0,"true","ok","",7.600000,24.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,1,10,1,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,first,3,2,60,"max_iter",1837,"32,29,18,16,4,2,28,23|8,13,25,10,19,22|26,6,30,9,14,15,3|1,24,20,17,21,7,12,11|5,31,27","false","generated_inside_algorithm",1695,1695,156.429642,10,1,0,0,9,1,17,0.765037,9,0,"true","ok","",6.800000,20.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,1,10,1,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,first,3,2,60,"max_iter",1696,"26,9,31,19,30,23,5|11,12,10,27,20,2,21|1,17,24,6,14,28,3|8,32,18,29,4,15,16,25|13,7,22","false","generated_inside_algorithm",1287,1287,94.704994,10,3,0,0,7,3,18,0.663031,7,0,"true","ok","",5.800000,18.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,3,10,3,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,first,3,2,60,"max_iter",1833,"32,11,3,4,17,23,14,6|26,19,27,13,2,18|28,12,24,15,7,20,25|9,1,29,31,21,8,10|16,30,22,5","false","generated_inside_algorithm",1483,1483,124.357033,10,3,0,0,7,3,13,0.676034,8,0,"true","ok","",6.500000,20.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,3,10,3,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,first,3,2,60,"max_iter",1837,"32,24,22,29,9,13,26,23|6,12,4,19,8,20,17|18,28,2,11,3,14,5,16|25,1,27,15,10,30|7,31,21","false","generated_inside_algorithm",1421,1421,114.977310,10,3,0,0,7,3,13,0.650031,8,0,"true","ok","",6.400000,19.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,3,10,3,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,first,3,2,60,"max_iter",1757,"26,11,6,7,5,12,4,15,20|32,3,16,17,1,10,31|27,21,28,23,24,30|29,22,19,14,2,18,8|9,25,13","false","generated_inside_algorithm",1492,1492,125.718605,10,2,0,0,8,2,17,0.626030,8,0,"true","ok","",6.500000,20.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,first,3,2,60,"max_iter",1705,"26,4,30,7,1,6,13|32,23,31,3,20,8,21,11,14|5,17,15,12,9,27|24,16,19,25,18,28,22|29,10,2","false","generated_inside_algorithm",1705,1705,157.942505,10,0,0,0,10,0,21,0.816040,0,0,"true","ok","",7.800000,25.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,0,10,0,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,first,3,2,60,"max_iter",1812,"26,32,31,1,15,28,10,24|4,23,20,14,18,6,25,16|8,17,7,3,5,19,21|22,27,29,13,2|11,30,9,12","false","generated_inside_algorithm",1812,1812,174.130112,10,0,0,0,10,0,24,0.875042,0,0,"true","ok","",8.300000,26.200000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,24,10,14,0,10,0,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,first,3,2,60,"max_iter",1919,"32,26,21,31,4,25,29,23,20|24,28,27,16,8,6,5|11,18,22,12,15,7,3|1,30,9,19,2,10|14,17,13","false","generated_inside_algorithm",1919,1919,190.317703,10,0,0,0,10,0,21,0.802039,0,0,"true","ok","",7.600000,25.200000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,0,10,0,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,first,3,2,60,"max_iter",1758,"32,16,10,3,29,24,9,19|26,18,22,20,15,12,5,11,23|1,30,8,4,21,13,7|25,27,14,28,6|2,31,17","false","generated_inside_algorithm",1635,1635,147.352493,10,1,0,0,9,1,18,0.669032,8,0,"true","ok","",6.400000,20.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,1,10,1,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_11","ivns","A-n33-k5",11,661,10,2,5,5,50,first,3,2,60,"max_iter",1968,"11,9,6,31,10,28|32,26,1,25,17,4,30,14,8|3,19,23,24,27,20,5|12,21,2,16,13,22|7,15,18,29","false","generated_inside_algorithm",1968,1968,197.730713,10,0,0,0,10,0,18,0.777038,0,0,"true","ok","",7.300000,23.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,0,10,0,10,0,0,0,0,0,0,0,0,0,0
