"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,60,"max_iter",1943,"26,14,32,2,12,6,11,28,3|20,23,9,15,7,10|22,24,17,21,8,5,18|1,25,30,16,4,29,27|31,13,19","false","generated_inside_algorithm",1802,1802,172.617249,10,1,0,0,9,1,16,0.734035,10,0,"true","ok","",7,22.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,1,10,1,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,60,"max_iter",1748,"32,20,26,16,17,7,12,8,19|27,14,9,11,13,15|18,10,4,25,1,6,28|31,24,3,5,21,29,30|22,23,2","false","generated_inside_algorithm",1647,1647,149.167938,10,1,0,0,9,1,10,0.744036,8,0,"true","ok","",7.200000,22.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,10,10,0,1,10,1,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,60,"max_iter",1954,"17,6,13,30,3|26,32,1,23,16,28,15,11,4,25|7,10,14,8,24,22,5|12,21,2,27,20,18,29|9,31,19","false","generated_inside_algorithm",1689,1689,155.521942,10,2,0,0,8,2,14,0.686033,9,0,"true","ok","",6.800000,20.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,60,"max_iter",1942,"26,1,5,8,4,21,30,15,25|32,7,22,3,29,18,13|23,14,9,6,20,10,11|28,17,19,27,16,12|31,2,24","false","generated_inside_algorithm",1555,1555,135.249634,10,2,0,0,8,2,18,0.619030,8,0,"true","ok","",6.200000,19.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,2,10,2,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,60,"max_iter",1626,"26,15,5,29,14,9,6,23,11|1,18,30,17,13,4|12,2,28,31,7,8|16,21,3,10,27,20,25|22,24,19,32","false","generated_inside_algorithm",1350,1350,104.236008,10,3,0,0,7,3,19,0.639031,6,0,"true","ok","",6.100000,19.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,3,10,3,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,60,"max_iter",1702,"32,26,9,17,29,7,15,5|11,20,23,24,1,30,21,3,14|22,28,12,8,25,16,19|2,18,27,10,4|31,6,13","false","generated_inside_algorithm",1702,1702,157.488663,10,0,0,0,10,0,26,0.904044,0,0,"true","ok","",8,25.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,26,10,16,0,10,0,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,60,"max_iter",1671,"32,5,26,30,28,8,7,20,11,21|14,13,9,16,6,19,29|17,18,25,2,27|24,22,12,10,31,4|3,15,23,1","false","generated_inside_algorithm",1449,1449,119.213318,10,2,0,0,8,2,13,0.703034,10,0,"true","ok","",7.400000,22.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,2,10,2,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,60,"max_iter",1836,"26,32,7,17,12,2,9|11,10,20,24,5,16,27,21|1,18,14,6,28,4,29,22|8,19,13,15,3,30|31,23,25","false","generated_inside_algorithm",1498,1498,126.626328,10,3,0,0,7,3,11,0.585028,7,0,"true","ok","",6.200000,19.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,11,10,1,3,10,3,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,60,"max_iter",1909,"32,26,4,12,22,3,9,15|23,19,29,30,28,17,11|1,7,21,25,5,2,6|27,14,10,24,18,16,8|13,31,20","false","generated_inside_algorithm",1722,1722,160.514374,10,1,0,0,9,1,19,0.739036,8,0,"true","ok","",7.100000,22.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,1,10,1,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,random,3,2,60,"max_iter",1846,"7,23,15,30,31,1|14,19,9,11,18,29,8,3,20|26,21,12,22,25,27,2|32,10,24,13,17,16|6,4,5,28","false","generated_inside_algorithm",1618,1618,144.780640,10,2,0,0,8,2,13,0.691033,9,0,"true","ok","",6.400000,20.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,2,10,2,9,0,0,0,0,0,0,0,0,0,0
