"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,best,3,2,60,"max_iter",1879,"29,7,11,1,12,21,17,22|32,13,27,3,8,24,19|10,15,23,9,30,14|6,26,28,16,5,20,18,2|31,25,4","false","generated_inside_algorithm",1248,1248,88.804840,10,6,0,0,4,6,16,0.470022,9,0,"true","ok","",4.200000,12.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,6,10,6,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,best,3,2,60,"max_iter",1838,"26,15,23,10,3,11,7,1,32|21,9,8,22,28,17|4,13,25,29,20,19,16,12|6,18,14,5,30,27|31,2,24","false","generated_inside_algorithm",1341,1341,102.874435,10,4,0,0,6,4,18,0.478024,6,0,"true","ok","",5,15.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,4,10,4,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,best,3,2,60,"max_iter",1690,"26,32,5,9,15,23,10,24|1,11,16,13,4,20,30,19|28,14,7,2,18,6|29,12,8,17,21,27,25|31,3,22","false","generated_inside_algorithm",1413,1413,113.767014,10,3,0,0,7,3,31,0.553025,10,0,"true","ok","",5.300000,16,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,31,10,21,3,10,3,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,best,3,2,60,"max_iter",1849,"32,4,26,7,29,10,28,21,16|6,30,24,17,8,19|12,13,2,15,18,3|27,5,22,25,14,9,11|31,23,20,1","false","generated_inside_algorithm",1151,1151,74.130104,10,7,0,0,3,7,18,0.365019,10,0,"true","ok","",4.900000,14.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,7,10,7,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,best,3,2,60,"max_iter",1760,"14,31,9,20,26,15,10|32,24,6,30,4,8,27|28,5,19,12,18,22,11,23|1,17,7,2,25,3|13,29,16,21","false","generated_inside_algorithm",1130,1130,70.953102,10,8,0,0,2,8,16,0.376017,10,0,"true","ok","",4.300000,12.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,8,10,8,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,best,3,2,60,"max_iter",1621,"11,5,26,7,30,8,29,1,20,12,32|27,2,6,23,22|21,16,15,10,18,9,14|24,25,4,3,13,28|17,31,19","false","generated_inside_algorithm",1249,1249,88.956131,10,4,0,0,6,4,22,0.507025,7,0,"true","ok","",4.700000,14.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,4,10,4,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,best,3,2,60,"max_iter",1975,"8,30,9,19,21,7,29|32,11,24,2,20,31,26,14,4|1,12,6,17,25,15,5|3,13,23,10,16,28|22,27,18","false","generated_inside_algorithm",1576,1576,138.426620,10,3,0,0,7,3,19,0.522024,9,0,"true","ok","",4.900000,14.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,3,10,3,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,best,3,2,60,"max_iter",1999,"29,1,12,28,26,11,13,27,16|32,8,14,30,19,10,2|9,22,18,3,7,23|4,17,25,15,6,5|31,20,24,21","false","generated_inside_algorithm",1408,1408,113.010582,10,4,0,0,6,4,12,0.550028,6,0,"true","ok","",5.100000,15.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,4,10,4,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,best,3,2,60,"max_iter",1822,"32,17,20,23,12,27,22|1,24,4,10,5,13,18,11|25,26,15,21,30,14,19,16|8,6,7,29,2,3|9,28,31","false","generated_inside_algorithm",1488,1488,125.113464,10,2,0,0,8,2,21,0.646030,7,0,"true","ok","",5.600000,16.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,2,10,2,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,best,3,2,60,"max_iter",1840,"32,4,10,14,9,20,1,17|29,15,19,3,18,13,8|5,23,16,26,25,21,27,6|28,22,30,7,12,11,24|2,31","false","generated_inside_algorithm",1425,1425,115.582451,10,2,0,0,8,2,29,0.597030,10,0,"true","ok","",5.300000,16.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,29,10,19,2,10,2,9,0,0,0,0,0,0,0,0,0,0
