"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,first,3,2,60,"max_iter",1708,"21,20,9,17,31,1,8|15,2,4,22,18,23|26,29,6,24,12,3,5,25,19|32,10,13,16,7,11,28|30,27,14","false","generated_inside_algorithm",1443,1443,118.305603,10,2,0,0,8,2,23,0.632030,10,0,"true","ok","",5.700000,17.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,23,10,13,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,first,3,2,60,"max_iter",1821,"23,25,26,19,22,9,16,5|1,7,17,31,11,2|12,29,18,20,6,32,27,28|24,21,10,13,4,15|30,3,14,8","false","generated_inside_algorithm",1226,1226,85.476555,10,7,0,0,3,7,20,0.498024,10,0,"true","ok","",4.200000,13.600000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,first,3,2,60,"max_iter",1975,"17,27,4,28,8,11,21|32,12,18,20,9,26,14,15,30|23,5,24,16,19,25,7,1|31,13,29,6,22|2,10,3","false","generated_inside_algorithm",1683,1683,154.614227,10,2,0,0,8,2,20,0.550027,8,0,"true","ok","",5.200000,15.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,2,10,2,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,first,3,2,60,"max_iter",1816,"20,11,8,30,29,12,1,26,14,31|6,21,16,13,24,17|5,23,3,7,4,25,9|32,10,27,22,15,19|28,18,2","false","generated_inside_algorithm",1219,1219,84.417549,10,5,0,0,5,5,24,0.394019,8,0,"true","ok","",4,12.300000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,24,10,14,5,10,5,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,first,3,2,60,"max_iter",1990,"16,32,17,26,7,21,25,19|1,10,9,23,13,11,3|8,24,18,27,6,30|4,2,15,29,14,28,12|31,22,20,5","false","generated_inside_algorithm",1190,1190,80.030258,10,7,0,0,3,7,22,0.360017,9,0,"true","ok","",4.800000,13.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,7,10,7,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,first,3,2,60,"max_iter",1716,"24,19,1,21,30,27,3|26,17,6,14,16,25,18,8|32,23,29,11,5,10,28,20,7|13,9,15,4,31|12,22,2","false","generated_inside_algorithm",1525,1525,130.711044,10,2,0,0,8,2,11,0.570028,8,0,"true","ok","",5.100000,15.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,11,10,1,2,10,2,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,first,3,2,60,"max_iter",2129,"32,9,22,15,21,13,29|26,11,27,23,28,20,3,6|14,4,5,1,25,24,16,12,7|18,30,2,17,10|31,8,19","false","generated_inside_algorithm",1669,1669,152.496216,10,3,0,0,7,3,16,0.499024,10,0,"true","ok","",4.900000,14.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,3,10,3,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,first,3,2,60,"max_iter",1897,"26,1,20,17,25,7,19,12,11|32,28,16,10,31,5,30|22,14,8,2,23,15|13,9,4,21,3,29,18|6,27,24","false","generated_inside_algorithm",1518,1518,129.652054,10,2,0,0,8,2,29,0.575028,9,0,"true","ok","",5.200000,15.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,29,10,19,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,first,3,2,60,"max_iter",1830,"26,17,18,28,29,10,9|5,3,20,24,23,6,14,25|11,27,7,2,16,1,32,21|19,4,8,15,31,30|12,13,22","false","generated_inside_algorithm",1461,1461,121.028748,10,3,0,0,7,3,20,0.517025,7,0,"true","ok","",4.800000,14.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,3,10,3,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,first,3,2,60,"max_iter",1656,"28,3,30,17,12,8,20|1,22,29,5,24,25,23,7|32,26,2,9,15,18,13|11,16,4,10,27,14,21|31,6,19","false","generated_inside_algorithm",1408,1408,113.010582,10,2,0,0,8,2,13,0.578027,8,0,"true","ok","",5,15.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,2,10,2,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_11","ivns","A-n33-k5",11,661,10,2,5,5,50,first,3,2,60,"max_iter",2001,"18,31,17,29,30,8|12,21,20,26,25,24,5,1,7,16|27,6,15,2,4,11|14,32,22,10,3,19,28|9,23,13","false","generated_inside_algorithm",1775,1775,168.532532,10,1,0,0,9,1,19,0.633032,6,0,"true","ok","",5.400000,16.500000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,1,10,1,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_12","ivns","A-n33-k5",12,661,10,2,5,5,50,first,3,2,60,"max_iter",1523,"32,30,4,17,9,29,25|22,14,11,19,13,8,7|1,26,20,12,28,15,21,27,5|3,16,23,10,6,24|31,2,18","false","generated_inside_algorithm",1146,1146,73.373672,10,4,0,0,6,4,20,0.456022,10,0,"true","ok","",4.600000,13.200000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,4,10,4,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_13","ivns","A-n33-k5",13,661,10,2,5,5,50,first,3,2,60,"max_iter",1775,"26,21,30,27,6,17,32|5,11,16,10,18,24,19,14,29|20,15,22,4,25,7,12|23,2,28,8,3,9,1|31,13","false","generated_inside_algorithm",1439,1439,117.700455,10,2,0,0,8,2,26,0.574027,6,0,"true","ok","",5.400000,16.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,26,10,16,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_14","ivns","A-n33-k5",14,661,10,2,5,5,50,first,3,2,60,"max_iter",2000,"32,5,19,26,3,11,4,30,8,16|17,18,15,6,2|1,27,23,9,21,28,25|14,13,29,24,12,7,20|31,10,22","false","generated_inside_algorithm",1618,1618,144.780640,10,2,0,0,8,2,20,0.610030,10,0,"true","ok","",5.100000,16,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,2,10,2,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_15","ivns","A-n33-k5",15,661,10,2,5,5,50,first,3,2,60,"max_iter",1731,"26,13,27,23,5,30,16|20,32,17,12,28,18,19,3|1,14,29,22,15,11,8,2|21,24,4,9,6,10|25,31,7","false","generated_inside_algorithm",1498,1498,126.626328,10,2,0,0,8,2,16,0.567027,7,0,"true","ok","",5,14.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,2,10,2,8,0,0,0,0,0,0,0,0,0,0
