"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,60,"max_iter",1667,"26,18,25,19,21,24,4,30|32,5,29,12,7,10,27,14|11,15,2,1,16,3,23,20|22,6,8,13,28|17,9,31","false","generated_inside_algorithm",1297,1297,96.217850,10,3,0,0,7,3,18,0.547026,6,0,"true","ok","",4.700000,14.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,3,10,3,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,60,"max_iter",1857,"26,18,1,24,10,8,5,11,14,25|32,6,4,13,28,20,19|2,12,7,23,22,16|30,9,29,17,21,15|3,27,31","false","generated_inside_algorithm",1319,1319,99.546143,10,5,0,0,5,5,22,0.449023,9,0,"true","ok","",5,14.700000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,5,10,5,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,60,"max_iter",1670,"26,20,1,8,9,17,11,23,25|32,14,21,24,16,18,28,3,4|5,7,29,19,27,30|22,12,10,15,31|13,2,6","false","generated_inside_algorithm",1325,1325,100.453857,10,3,0,0,7,3,18,0.590027,7,0,"true","ok","",5.500000,17,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,3,10,3,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,60,"max_iter",1918,"32,2,7,29,10,19,18|11,1,5,17,28,20,6,26,4|3,24,23,25,22,9|31,14,13,12,27,21|16,8,15,30","false","generated_inside_algorithm",1447,1447,118.910744,10,4,0,0,6,4,23,0.577028,8,0,"true","ok","",5,15.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,23,10,13,4,10,4,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,60,"max_iter",1630,"26,19,21,15,13,8,2|20,32,16,27,6,31,24|22,3,4,17,1,18,14|12,25,11,28,5,29,9,10|7,30,23","false","generated_inside_algorithm",1225,1225,85.325264,10,4,0,0,6,4,19,0.518025,10,0,"true","ok","",5.100000,16.200000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,4,10,4,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,60,"max_iter",1758,"11,24,3,23,10,17,16|32,27,12,26,31,7,1,4|5,6,15,14,21,20,8,25|29,28,18,9,2,22|19,30,13","false","generated_inside_algorithm",1270,1270,92.133125,10,5,0,0,5,5,15,0.399020,8,0,"true","ok","",4.400000,13.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,5,10,5,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,60,"max_iter",1815,"32,22,10,27,17,8|26,23,5,20,4,14,21,2,18|11,3,9,28,25,15,24|7,1,12,19,6,13,29|31,16,30","false","generated_inside_algorithm",1374,1374,107.866875,10,3,0,0,7,3,16,0.513024,9,0,"true","ok","",4.900000,15.100000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,3,10,3,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,60,"max_iter",1786,"1,29,31,4,13,16,5,12|26,19,22,28,20,11,21,25,18|32,27,15,8,6,14,24|30,23,10,9,17|7,3,2","false","generated_inside_algorithm",1474,1474,122.995461,10,3,0,0,7,3,33,0.510026,7,0,"true","ok","",4.900000,14.800000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,33,10,23,3,10,3,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,60,"max_iter",1766,"26,14,11,24,3,17,10,4|32,27,7,23,28,31|8,15,5,19,2,20,9|1,22,12,25,6,13,16|30,21,29,18","false","generated_inside_algorithm",1215,1215,83.812401,10,6,0,0,4,6,17,0.566026,10,0,"true","ok","",5.100000,15.900000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,6,10,6,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,random,3,2,60,"max_iter",1836,"32,26,22,17,1,15,24,23|11,14,4,9,25,20,3,5,8|12,2,10,28,7,19|13,16,29,21,6,18|30,31,27","false","generated_inside_algorithm",1500,1500,126.928886,10,2,0,0,8,2,20,0.601029,9,0,"true","ok","",5.700000,17.400000,0.050000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,2,10,2,8,0,0,0,0,0,0,0,0,0,0
