"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1653,1653,-163,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,1,"",0.042002,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1509,1509,-144,"true","false",,,,,1,"rfrg",4,12,4,4,1,3,1,1,1,2,"Complejidad excesiva: 31 > 14.",0.100004,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1382,1382,-127,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,3,"",0.106005,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1382,1382,0,"false","false",,,,,0,"rfrg",4,12,2,2,1,1,0,1,0,3,"Complejidad excesiva: 21 > 14.",0.163006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1382,1382,0,"false","false",,,,,0,"raarbb",6,14,1,1,1,0,0,1,0,4,"",0.226009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1341,1341,-41,"true","false",,,,,1,"raac",4,11,2,2,1,1,1,1,1,5,"Cadena desbalanceada por frecuencia de símbolos.",0.237010,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1281,1281,-60,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,6,"",0.250011,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1245,1245,-36,"true","false",,,,,1,"raac",4,11,2,2,1,1,1,1,1,6,"Complejidad excesiva: 18 > 14.",0.258011,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1195,1195,-50,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,6,"",0.264011,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1156,1156,-39,"true","false",,,,,1,"rarac",5,14,2,2,1,1,1,1,1,7,"Complejidad excesiva: 25 > 14.",0.278012,"ok",""
