"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1794,1794,-135,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,1,"",0.056003,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1662,1662,-132,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,2,"",0.077004,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1568,1568,-94,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,2,"",0.090004,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1465,1465,-103,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.108005,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1390,1390,-75,"true","false",,,,,1,"rarb",4,10,3,3,1,2,1,1,1,3,"Complejidad excesiva: 21 > 14.",0.131007,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1344,1344,-46,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,4,"",0.151008,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1287,1287,-57,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,4,"",0.160009,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1249,1249,-38,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,4,"",0.169009,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1249,1249,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,5,"",0.228012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1209,1209,-40,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,5,"",0.250013,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1592,1592,-161,"true","false",,,,,1,"raac",4,11,3,3,1,2,1,1,1,1,"Complejidad excesiva: 18 > 14.",0.012001,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1495,1495,-97,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,2,"",0.029002,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1392,1392,-103,"true","false",,,,,1,"rarb",4,10,3,3,1,2,1,1,1,3,"Cadena desbalanceada por frecuencia de símbolos.",0.044002,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1318,1318,-74,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.058003,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1256,1256,-62,"true","false",,,,,1,"rfg",3,9,3,3,1,2,1,1,1,3,"Complejidad excesiva: 18 > 14.",0.075004,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1214,1214,-42,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,3,"Complejidad excesiva: 25 > 14.",0.096005,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1174,1174,-40,"true","false",,,,,1,"rfg",3,9,3,3,1,2,1,1,1,3,"Complejidad excesiva: 17 > 14.",0.111006,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,1110,1110,-64,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,4,"",0.131007,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,1110,1110,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,5,"",0.191009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,1110,1110,0,"false","false",,,,,0,"raabb",5,11,1,1,1,0,0,1,0,6,"",0.262013,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,1617,1617,-110,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,1,"",0.017001,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1526,1526,-91,"true","false",,,,,1,"raac",4,11,2,2,1,1,1,1,1,2,"Complejidad excesiva: 18 > 14.",0.029001,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1416,1416,-110,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.050002,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1332,1332,-84,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,3,"",0.068003,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,5,1,1272,1272,-60,"true","false",,,,,1,"rarb",4,10,4,4,1,3,1,1,1,3,"Complejidad excesiva: 17 > 14.",0.082004,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,6,1,1272,1272,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,4,"",0.145007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,7,1,1223,1223,-49,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,4,"",0.159008,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,8,1,1172,1172,-51,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,4,"",0.175008,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,9,1,1126,1126,-46,"true","false",,,,,1,"rarb",4,10,3,3,1,2,1,1,1,4,"Longitud excesiva: 14 > 10.",0.189009,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,10,1,1106,1106,-20,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,4,"",0.200010,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,1,1,1599,1599,-100,"true","false",,,,,1,"rab",3,7,4,4,1,3,1,1,1,1,"Complejidad excesiva: 25 > 14.",0.009000,"ok",""
