"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1649,1649,-189,"true","false",,,,,1,"rarac",5,14,2,2,1,1,1,1,1,1,"Complejidad excesiva: 16 > 14.",0.064004,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1485,1485,-164,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,2,"",0.082005,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1419,1419,-66,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.098006,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1419,1419,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,4,"",0.165008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1359,1359,-60,"true","false",,,,,1,"rab",3,7,2,2,1,1,1,1,1,5,"Complejidad excesiva: 18 > 14.",0.174008,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1359,1359,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,5,"",0.235011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1304,1304,-55,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,5,"",0.252012,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1244,1244,-60,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,5,"",0.265013,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1207,1207,-37,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,5,"",0.275013,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1207,1207,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,5,"",0.336016,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
