"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1943,1943,0,"false","false",,,,,0,"rfrfrarbe",9,27,1,1,1,0,0,1,0,1,"",0.094004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1943,1943,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,2,"",0.166008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1943,1943,0,"false","false",,,,,0,"rfffrge",7,23,1,1,1,0,0,1,0,3,"",0.243010,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1943,1943,0,"false","false",,,,,0,"rffrgrg",7,21,2,2,1,1,0,1,0,4,"duplicated-string",0.313015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1943,1943,0,"false","false",,,,,0,"raaaffecb",9,26,3,3,1,2,0,1,0,5,"Complejidad excesiva: 37 > 36.",0.409019,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1943,1943,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,6,"",0.471022,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1943,1943,0,"false","false",,,,,0,"rffffee",7,25,1,1,1,0,0,1,0,7,"",0.549026,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1943,1943,0,"false","false",,,,,0,"rfrfffee",8,28,3,3,1,2,0,1,0,8,"duplicated-string",0.629030,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1943,1943,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,9,"",0.715034,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1802,1802,-141,"true","false",,,,,1,"raac",4,11,2,2,1,1,1,1,1,10,"Cadena desbalanceada por frecuencia de símbolos.",0.734035,"ok",""
