"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1879,1879,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,1,"",0.064003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1879,1879,0,"false","false",,,,,0,"rffrgg",6,18,1,1,1,0,0,1,0,2,"",0.133006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1678,1678,-201,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,3,"",0.150007,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1547,1547,-131,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,4,"",0.210009,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1469,1469,-78,"true","false",,,,,1,"rab",3,7,3,3,1,2,1,1,1,5,"Complejidad excesiva: 42 > 24.",0.237010,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1360,1360,-109,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,6,"Cadena desbalanceada por frecuencia de símbolos.",0.258011,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1360,1360,0,"false","false",,,,,0,"rfabg",5,13,2,2,1,1,0,1,0,7,"Complejidad excesiva: 32 > 24.",0.331015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1304,1304,-56,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,7,"",0.342015,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1248,1248,-56,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,7,"Complejidad excesiva: 42 > 24.",0.408019,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1248,1248,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,7,"Complejidad excesiva: 28 > 24.",0.470022,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
