"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1708,1708,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,1,"Complejidad excesiva: 26 > 24.",0.067003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1708,1708,0,"false","false",,,,,0,"rafferb",7,21,1,1,1,0,0,1,0,2,"",0.152007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1570,1570,-138,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,3,"",0.169007,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1570,1570,0,"false","false",,,,,0,"rafrgrb",7,19,2,2,1,1,0,1,0,4,"Cadena desbalanceada por frecuencia de símbolos.",0.242011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1570,1570,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,4,"Complejidad excesiva: 28 > 24.",0.303014,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1570,1570,0,"false","false",,,,,0,"rfaffebg",8,24,2,2,1,1,0,1,0,5,"Complejidad excesiva: 25 > 24.",0.406019,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1570,1570,0,"false","false",,,,,0,"rfaacrg",7,20,1,1,1,0,0,1,0,6,"",0.480023,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1570,1570,0,"false","false",,,,,0,"rfrg",4,12,5,5,1,4,0,1,0,7,"Complejidad excesiva: 28 > 24.",0.539026,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1570,1570,0,"false","false",,,,,0,"rffrgrg",7,21,3,3,1,2,0,1,0,8,"Complejidad excesiva: 31 > 24.",0.615029,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1443,1443,-127,"true","false",,,,,1,"rfg",3,9,3,3,1,2,1,1,1,9,"Complejidad excesiva: 25 > 24.",0.632030,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1635,1635,-186,"true","false",,,,,1,"rarac",5,14,3,3,1,2,1,1,1,1,"Complejidad excesiva: 34 > 24.",0.024001,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1510,1510,-125,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,2,"Complejidad excesiva: 31 > 24.",0.077004,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1510,1510,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,3,"",0.136007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1393,1393,-117,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,3,"",0.190009,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1328,1328,-65,"true","false",,,,,1,"rffe",4,14,3,3,1,2,1,1,1,3,"Complejidad excesiva: 25 > 24.",0.244012,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1257,1257,-71,"true","false",,,,,1,"rarac",5,14,4,4,1,3,1,1,1,3,"Complejidad excesiva: 28 > 24.",0.291014,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1257,1257,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,4,"",0.355017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,1257,1257,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,4,"",0.419021,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,1241,1241,-16,"true","false",,,,,1,"rfg",3,9,3,3,1,2,1,1,1,5,"Complejidad excesiva: 31 > 24.",0.442022,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,1226,1226,-15,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,5,"",0.498024,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,1975,1975,0,"false","false",,,,,0,"rfrfe",5,17,4,4,1,3,0,1,0,1,"Complejidad excesiva: 28 > 24.",0.063002,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1975,1975,0,"false","false",,,,,0,"rfraracg",8,23,3,3,1,2,0,1,0,2,"duplicated-string",0.138007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1975,1975,0,"false","false",,,,,0,"rfrfrgg",7,21,3,3,1,2,0,1,0,3,"Complejidad excesiva: 42 > 24.",0.209011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1800,1800,-175,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,4,"",0.227011,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,5,1,1800,1800,0,"false","false",,,,,0,"raaaacc",7,19,1,1,1,0,0,1,0,5,"",0.293015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,6,1,1800,1800,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,5,"Complejidad excesiva: 31 > 24.",0.355018,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,7,1,1800,1800,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,6,"",0.416021,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,8,1,1683,1683,-117,"true","false",,,,,1,"rarb",4,10,3,3,1,2,1,1,1,7,"Complejidad excesiva: 26 > 24.",0.430021,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,9,1,1683,1683,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,8,"",0.489024,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,10,1,1683,1683,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,8,"",0.550027,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,1,1,1617,1617,-199,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,1,"",0.018001,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,2,1,1502,1502,-115,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,2,"",0.032002,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,3,1,1351,1351,-151,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,3,"",0.043002,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,4,1,1248,1248,-103,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,3,"",0.061003,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,5,1,1248,1248,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,4,"Complejidad excesiva: 39 > 24.",0.126006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,6,1,1248,1248,0,"false","false",,,,,0,"rffe",4,14,5,5,1,4,0,1,0,5,"Complejidad excesiva: 34 > 24.",0.188009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,7,1,1248,1248,0,"false","false",,,,,0,"rfrg",4,12,4,4,1,3,0,1,0,6,"Cadena desbalanceada por frecuencia de símbolos.",0.247012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,8,1,1219,1219,-29,"true","false",,,,,1,"rarb",4,10,4,4,1,3,1,1,1,6,"Complejidad excesiva: 40 > 24.",0.265013,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,9,1,1219,1219,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,6,"Complejidad excesiva: 34 > 24.",0.330016,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,10,1,1219,1219,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,6,"",0.394019,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
