"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1667,1667,0,"false","false",,,,,0,"rfrg",4,12,3,3,1,2,0,1,0,1,"Complejidad excesiva: 25 > 24.",0.061003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1524,1524,-143,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,2,"Complejidad excesiva: 28 > 24.",0.089005,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1400,1400,-124,"true","false",,,,,1,"rfg",3,9,3,3,1,2,1,1,1,2,"Complejidad excesiva: 36 > 24.",0.114006,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1400,1400,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,3,"Cadena desbalanceada por frecuencia de símbolos.",0.176008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1400,1400,0,"false","false",,,,,0,"rfrffeg",7,23,1,1,1,0,0,1,0,4,"",0.250011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1297,1297,-103,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,4,"",0.271012,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1297,1297,0,"false","false",,,,,0,"rffferg",7,23,2,2,1,1,0,1,0,5,"Complejidad excesiva: 25 > 24.",0.349016,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1297,1297,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,6,"",0.416019,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1297,1297,0,"false","false",,,,,0,"rfarbrg",7,19,2,2,1,1,0,1,0,7,"Complejidad excesiva: 32 > 24.",0.489023,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1297,1297,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,7,"",0.547026,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
