"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,1,1,6504,6504,-322,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,1,"",0.220000,"ok",""
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,2,1,6504,6504,0,"false","false",,,,,0,"rffferg",7,23,3,3,1,2,0,1,0,2,"Complejidad excesiva: 42 > 36.",1.747006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,3,1,6184,6184,-320,"true","false",,,,,1,"rarb",4,10,2,2,1,1,1,1,1,2,"Complejidad excesiva: 40 > 36.",1.920007,"ok",""
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,4,1,6184,6184,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,3,"",3.456012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,5,1,6184,6184,0,"false","false",,,,,0,"rffferg",7,23,1,1,1,0,0,1,0,3,"",4.981018,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,6,1,6184,6184,0,"false","false",,,,,0,"rafrffrfeeb",11,35,1,1,1,0,0,1,0,4,"",6.551023,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,7,1,6184,6184,0,"false","false",,,,,0,"rararffec",9,28,1,1,1,0,0,1,0,5,"",8.081030,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,8,1,6184,6184,0,"false","false",,,,,0,"rffrfrge",8,26,1,1,1,0,0,1,0,6,"",9.607034,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,9,1,6184,6184,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,7,"",11.115041,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,10,1,6184,6184,0,"false","false",,,,,0,"rfrfrgg",7,21,1,1,1,0,0,1,0,8,"",12.643046,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,1,1,6067,6067,-325,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,1,"",0.042000,"ok",""
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,2,1,6067,6067,0,"false","false",,,,,0,"rfrffrfee",9,31,1,1,1,0,0,1,0,2,"",1.593006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,3,1,6067,6067,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,3,"",3.105012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,4,1,6067,6067,0,"false","false",,,,,0,"rfrffffeeg",10,34,1,1,1,0,0,1,0,4,"",4.658017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,5,1,6067,6067,0,"false","false",,,,,0,"rffe",4,14,2,2,1,1,0,1,0,5,"Complejidad excesiva: 42 > 36.",6.174024,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,6,1,6067,6067,0,"false","false",,,,,0,"raaracrb",8,21,2,2,1,1,0,1,0,6,"Cadena desbalanceada por frecuencia de símbolos.",7.692028,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,7,1,6067,6067,0,"false","false",,,,,0,"rfrg",4,12,2,2,1,1,0,1,0,7,"duplicated-string",9.201035,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,8,1,6067,6067,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,8,"",10.739040,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,9,1,6067,6067,0,"false","false",,,,,0,"rffrgg",6,18,5,5,1,4,0,1,0,9,"Complejidad excesiva: 46 > 36.",12.258046,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,10,1,6067,6067,0,"false","false",,,,,0,"rararafrfecb",12,35,1,1,1,0,0,1,0,10,"",13.813051,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,1,1,6518,6518,0,"false","false",,,,,0,"rfrfrferg",9,29,2,2,1,1,0,1,0,1,"Complejidad excesiva: 40 > 36.",1.533007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,2,1,6518,6518,0,"false","false",,,,,0,"rffrfrfrgeg",11,35,1,1,1,0,0,1,0,2,"",3.090011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,3,1,6518,6518,0,"false","false",,,,,0,"rarfrferb",9,27,1,1,1,0,0,1,0,3,"",4.623018,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,4,1,6518,6518,0,"false","false",,,,,0,"rffrfrfee",9,31,3,3,1,2,0,1,0,4,"Complejidad excesiva: 56 > 36.",6.161023,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,5,1,6518,6518,0,"false","false",,,,,0,"rfffrfee",8,28,1,1,1,0,0,1,0,5,"",7.705028,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
