"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,1,1,7067,7067,0,"false","false",,,,,0,"rffrfrge",8,26,1,1,1,0,0,1,0,1,"",1.529005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,2,1,7067,7067,0,"false","false",,,,,0,"rfffrfee",8,28,4,4,1,3,0,1,0,2,"Cadena desbalanceada por frecuencia de símbolos.",3.063011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,3,1,7067,7067,0,"false","false",,,,,0,"rffrfrgrgg",10,30,3,3,1,2,0,1,0,3,"duplicated-string",4.610017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,4,1,7067,7067,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,4,"",6.156022,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,5,1,7067,7067,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,5,"",7.665029,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,6,1,7067,7067,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,6,"",9.181034,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,7,1,7067,7067,0,"false","false",,,,,0,"rffrgg",6,18,1,1,1,0,0,1,0,7,"",10.699040,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,8,1,7067,7067,0,"false","false",,,,,0,"rffffraacee",11,36,6,6,1,5,0,1,0,8,"duplicated-string",12.280045,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,9,1,7067,7067,0,"false","false",,,,,0,"rffe",4,14,3,3,1,2,0,1,0,9,"duplicated-string",13.792052,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,10,1,7067,7067,0,"false","false",,,,,0,"rfarfrgrbg",10,28,3,3,1,2,0,1,0,10,"Cadena desbalanceada por frecuencia de símbolos.",15.344056,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
