"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,1,1,6934,6934,0,"false","false",,,,,0,"rarac",5,14,3,3,1,2,0,1,0,1,"Complejidad excesiva: 23 > 14.",0.073001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,2,1,6934,6934,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,2,"",0.146003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,3,1,6934,6934,0,"false","false",,,,,0,"rfg",3,9,7,7,1,6,0,1,0,3,"Complejidad excesiva: 28 > 14.",0.212004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,4,1,6934,6934,0,"false","false",,,,,0,"raac",4,11,1,1,1,0,0,1,0,4,"",0.280005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,5,1,6934,6934,0,"false","false",,,,,0,"rab",3,7,5,5,1,4,0,1,0,5,"duplicated-string",0.344007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,6,1,6934,6934,0,"false","false",,,,,0,"rarb",4,10,12,12,1,11,0,1,0,6,"duplicated-string",0.415008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,7,1,6934,6934,0,"false","false",,,,,0,"rffe",4,14,15,15,1,14,0,1,0,7,"Complejidad excesiva: 17 > 14.",0.493009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,8,1,6934,6934,0,"false","false",,,,,0,"raarbb",6,14,39,39,1,38,0,1,0,8,"Complejidad excesiva: 17 > 14.",0.581011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,9,1,6934,6934,0,"false","false",,,,,0,"rarabb",6,14,30,30,1,29,0,1,0,9,"Complejidad excesiva: 17 > 14.",0.662012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,10,2,6934,6934,0,"false","false",,,,,0,,0,0,50,50,0,50,0,0,0,9,"duplicated-string",0.663012,"none_valid","duplicated-string"
