"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,1,1,6536,6536,0,"false","false",,,,,0,"rfrg",4,12,2,2,1,1,0,1,0,1,"Complejidad excesiva: 28 > 24.",0.073001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,2,1,6536,6536,0,"false","false",,,,,0,"rarac",5,14,3,3,1,2,0,1,0,2,"duplicated-string",0.147003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,3,1,6536,6536,0,"false","false",,,,,0,"rfffeg",6,20,1,1,1,0,0,1,0,3,"",0.255005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,4,1,6536,6536,0,"false","false",,,,,0,"rffe",4,14,2,2,1,1,0,1,0,4,"Complejidad excesiva: 31 > 24.",0.328006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,5,1,6536,6536,0,"false","false",,,,,0,"rarb",4,10,4,4,1,3,0,1,0,5,"duplicated-string",0.395007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,6,1,6536,6536,0,"false","false",,,,,0,"rfrffeg",7,23,1,1,1,0,0,1,0,6,"",0.505010,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,7,1,6536,6536,0,"false","false",,,,,0,"rffabe",6,18,4,4,1,3,0,1,0,7,"Complejidad excesiva: 26 > 24.",0.631013,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,8,1,6536,6536,0,"false","false",,,,,0,"raaacrb",7,18,2,2,1,1,0,1,0,8,"duplicated-string",0.714014,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,9,1,6536,6536,0,"false","false",,,,,0,"rfg",3,9,1,1,1,0,0,1,0,9,"",0.780015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,10,1,6536,6536,0,"false","false",,,,,0,"rfffrge",7,23,1,1,1,0,0,1,0,10,"",0.879017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,1,1,6515,6515,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,1,"Cadena desbalanceada por frecuencia de símbolos.",0.081002,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,2,1,6515,6515,0,"false","false",,,,,0,"rfffrge",7,23,1,1,1,0,0,1,0,2,"",0.182003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,3,1,6515,6515,0,"false","false",,,,,0,"rffrgrg",7,21,3,3,1,2,0,1,0,3,"Complejidad excesiva: 26 > 24.",0.274004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,4,1,6515,6515,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,4,"",0.349006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,5,1,6515,6515,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,5,"",0.416007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,6,1,6515,6515,0,"false","false",,,,,0,"raac",4,11,3,3,1,2,0,1,0,6,"duplicated-string",0.486008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,7,1,6515,6515,0,"false","false",,,,,0,"rfg",3,9,2,2,1,1,0,1,0,7,"Complejidad excesiva: 42 > 24.",0.553010,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,8,1,6515,6515,0,"false","false",,,,,0,"rarb",4,10,1,1,1,0,0,1,0,8,"",0.619012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,9,1,6515,6515,0,"false","false",,,,,0,"rarac",5,14,1,1,1,0,0,1,0,9,"",0.688013,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,10,1,6515,6515,0,"false","false",,,,,0,"rfrfarbe",8,24,1,1,1,0,0,1,0,10,"",0.813015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,1,1,7111,7111,0,"false","false",,,,,0,"rffrfeg",7,23,2,2,1,1,0,1,0,1,"Complejidad excesiva: 26 > 24.",0.121003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,2,1,7111,7111,0,"false","false",,,,,0,"rffe",4,14,3,3,1,2,0,1,0,2,"Complejidad excesiva: 34 > 24.",0.201004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,3,1,7111,7111,0,"false","false",,,,,0,"raabrb",6,14,10,10,1,9,0,1,0,3,"duplicated-string",0.290006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,4,1,7111,7111,0,"false","false",,,,,0,"rfffrge",7,23,2,2,1,1,0,1,0,4,"Longitud excesiva: 18 > 16.",0.400007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,5,1,7111,7111,0,"false","false",,,,,0,"rffferg",7,23,1,1,1,0,0,1,0,5,"",0.497009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,6,1,7111,7111,0,"false","false",,,,,0,"rarffeb",7,21,1,1,1,0,0,1,0,6,"",0.611011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,7,1,7111,7111,0,"false","false",,,,,0,"rfrfe",5,17,5,5,1,4,0,1,0,7,"Complejidad excesiva: 36 > 24.",0.689012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,8,1,7111,7111,0,"false","false",,,,,0,"raarfrgc",8,23,5,5,1,4,0,1,0,8,"Complejidad excesiva: 32 > 24.",0.799015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,9,1,7111,7111,0,"false","false",,,,,0,"rfrg",4,12,5,5,1,4,0,1,0,9,"duplicated-string",0.875017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,10,1,7111,7111,0,"false","false",,,,,0,"rfaracg",7,20,8,8,1,7,0,1,0,10,"Cadena desbalanceada por frecuencia de símbolos.",0.976018,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,1,1,6380,6380,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,1,"",0.073001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,2,1,6380,6380,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,2,"Complejidad excesiva: 28 > 24.",0.153002,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,3,1,6380,6380,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,3,"",0.223004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,4,1,6380,6380,0,"false","false",,,,,0,"rarac",5,14,6,6,1,5,0,1,0,4,"Cadena desbalanceada por frecuencia de símbolos.",0.300005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,5,1,6380,6380,0,"false","false",,,,,0,"rab",3,7,1,1,1,0,0,1,0,5,"",0.368005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,6,1,6380,6380,0,"false","false",,,,,0,"rffarbe",7,21,6,6,1,5,0,1,0,6,"duplicated-string",0.482007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,7,1,6380,6380,0,"false","false",,,,,0,"rarafrgc",8,23,7,7,1,6,0,1,0,7,"duplicated-string",0.581009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,8,1,6380,6380,0,"false","false",,,,,0,"rffrgrg",7,21,2,2,1,1,0,1,0,8,"duplicated-string",0.680011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,9,1,6380,6380,0,"false","false",,,,,0,"rafferb",7,21,1,1,1,0,0,1,0,9,"",0.799014,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,10,1,6380,6380,0,"false","false",,,,,0,"rfg",3,9,1,1,1,0,0,1,0,10,"",0.866015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,1,1,6344,6344,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,1,"Complejidad excesiva: 26 > 24.",0.080001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,2,1,6344,6344,0,"false","false",,,,,0,"rfrg",4,12,2,2,1,1,0,1,0,2,"Complejidad excesiva: 26 > 24.",0.156002,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,3,1,6344,6344,0,"false","false",,,,,0,"rarac",5,14,1,1,1,0,0,1,0,3,"",0.225004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,4,1,6344,6344,0,"false","false",,,,,0,"rffarbe",7,21,2,2,1,1,0,1,0,4,"Complejidad excesiva: 31 > 24.",0.343006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
