"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,1,1,6981,6981,0,"false","false",,,,,0,"rfaracg",7,20,5,5,1,4,0,1,0,1,"Cadena desbalanceada por frecuencia de símbolos.",0.106001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,2,1,6981,6981,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,2,"Complejidad excesiva: 34 > 24.",0.185002,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,3,1,6981,6981,0,"false","false",,,,,0,"rafrferb",8,24,1,1,1,0,0,1,0,3,"",0.308004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,4,1,6981,6981,0,"false","false",,,,,0,"rfg",3,9,3,3,1,2,0,1,0,4,"Cadena desbalanceada por frecuencia de símbolos.",0.385006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,5,1,6981,6981,0,"false","false",,,,,0,"rfrffeg",7,23,2,2,1,1,0,1,0,5,"Cadena desbalanceada por frecuencia de símbolos.",0.498008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,6,1,6981,6981,0,"false","false",,,,,0,"raraaacc",8,22,2,2,1,1,0,1,0,6,"duplicated-string",0.591009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,7,1,6981,6981,0,"false","false",,,,,0,"rffe",4,14,5,5,1,4,0,1,0,7,"Complejidad excesiva: 35 > 24.",0.685011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,8,1,6981,6981,0,"false","false",,,,,0,"rfffrge",7,23,1,1,1,0,0,1,0,8,"",0.783013,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,9,1,6981,6981,0,"false","false",,,,,0,"rfraacrg",8,23,1,1,1,0,0,1,0,9,"",0.901015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_1","ivns","F-n135-k7",1,10,1,6981,6981,0,"false","false",,,,,0,"rarb",4,10,1,1,1,0,0,1,0,10,"",0.967017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,1,1,6554,6554,0,"false","false",,,,,0,"rfg",3,9,1,1,1,0,0,1,0,1,"",0.068001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,2,1,6554,6554,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,2,"",0.135001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,3,1,6554,6554,0,"false","false",,,,,0,"rffrgg",6,18,2,2,1,1,0,1,0,3,"Complejidad excesiva: 26 > 24.",0.222003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,4,1,6554,6554,0,"false","false",,,,,0,"rab",3,7,1,1,1,0,0,1,0,4,"",0.287004,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,5,1,6554,6554,0,"false","false",,,,,0,"raaaracc",8,22,2,2,1,1,0,1,0,5,"Complejidad excesiva: 30 > 24.",0.375005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,6,1,6554,6554,0,"false","false",,,,,0,"rfrffeg",7,23,1,1,1,0,0,1,0,6,"",0.472007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,7,1,6554,6554,0,"false","false",,,,,0,"rffe",4,14,2,2,1,1,0,1,0,7,"duplicated-string",0.545009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,8,1,6554,6554,0,"false","false",,,,,0,"rfrarbg",7,19,3,3,1,2,0,1,0,8,"Complejidad excesiva: 31 > 24.",0.641010,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,9,1,6554,6554,0,"false","false",,,,,0,"rfffrge",7,23,2,2,1,1,0,1,0,9,"Complejidad excesiva: 30 > 24.",0.740012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_2","ivns","F-n135-k7",2,10,1,6554,6554,0,"false","false",,,,,0,"rffrgrg",7,21,4,4,1,3,0,1,0,10,"duplicated-string",0.833014,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,1,1,6393,6393,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,1,"",0.078001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,2,1,6393,6393,0,"false","false",,,,,0,"rarffeb",7,21,1,1,1,0,0,1,0,2,"",0.195005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,3,1,6393,6393,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,3,"duplicated-string",0.275005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,4,1,6393,6393,0,"false","false",,,,,0,"rarac",5,14,1,1,1,0,0,1,0,4,"",0.343006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,5,1,6393,6393,0,"false","false",,,,,0,"rab",3,7,5,5,1,4,0,1,0,5,"Complejidad excesiva: 25 > 24.",0.410008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,6,1,6393,6393,0,"false","false",,,,,0,"rafferb",7,21,1,1,1,0,0,1,0,6,"",0.518010,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,7,1,6393,6393,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,7,"",0.587011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,8,1,6393,6393,0,"false","false",,,,,0,"rfrffeg",7,23,3,3,1,2,0,1,0,8,"duplicated-string",0.685013,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,9,1,6393,6393,0,"false","false",,,,,0,"rfrabg",6,16,2,2,1,1,0,1,0,9,"duplicated-string",0.792015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_3","ivns","F-n135-k7",3,10,1,6393,6393,0,"false","false",,,,,0,"raac",4,11,6,6,1,5,0,1,0,10,"duplicated-string",0.864016,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,1,1,6635,6635,0,"false","false",,,,,0,"rfrfe",5,17,2,2,1,1,0,1,0,1,"Complejidad excesiva: 26 > 24.",0.075001,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,2,1,6635,6635,0,"false","false",,,,,0,"rffferg",7,23,3,3,1,2,0,1,0,2,"Cadena desbalanceada por frecuencia de símbolos.",0.174003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,3,1,6635,6635,0,"false","false",,,,,0,"rfrg",4,12,3,3,1,2,0,1,0,3,"Complejidad excesiva: 25 > 24.",0.262005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,4,1,6635,6635,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,4,"",0.336007,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,5,1,6635,6635,0,"false","false",,,,,0,"rfabrg",6,16,1,1,1,0,0,1,0,5,"",0.438008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,6,1,6635,6635,0,"false","false",,,,,0,"rffrfeg",7,23,2,2,1,1,0,1,0,6,"Cadena desbalanceada por frecuencia de símbolos.",0.539010,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,7,1,6635,6635,0,"false","false",,,,,0,"rfarbg",6,16,1,1,1,0,0,1,0,7,"",0.644012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,8,1,6635,6635,0,"false","false",,,,,0,"rfafrgbg",8,22,1,1,1,0,0,1,0,8,"",0.793015,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,9,1,6635,6635,0,"false","false",,,,,0,"rfg",3,9,2,2,1,1,0,1,0,9,"duplicated-string",0.860016,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_4","ivns","F-n135-k7",4,10,1,6635,6635,0,"false","false",,,,,0,"rab",3,7,5,5,1,4,0,1,0,10,"duplicated-string",0.926017,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,1,1,6914,6914,0,"false","false",,,,,0,"rffferg",7,23,6,6,1,5,0,1,0,1,"Complejidad excesiva: 31 > 24.",0.101002,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,2,1,6914,6914,0,"false","false",,,,,0,"rab",3,7,1,1,1,0,0,1,0,2,"",0.171003,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,3,1,6914,6914,0,"false","false",,,,,0,"rfrg",4,12,1,1,1,0,0,1,0,3,"",0.238005,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,4,1,6914,6914,0,"false","false",,,,,0,"rffe",4,14,1,1,1,0,0,1,0,4,"",0.311006,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,5,1,6914,6914,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,5,"Complejidad excesiva: 31 > 24.",0.387008,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,6,1,6914,6914,0,"false","false",,,,,0,"rarfferb",8,24,1,1,1,0,0,1,0,6,"",0.504009,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,7,1,6914,6914,0,"false","false",,,,,0,"rfg",3,9,5,5,1,4,0,1,0,7,"duplicated-string",0.571011,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,8,1,6914,6914,0,"false","false",,,,,0,"rarb",4,10,6,6,1,5,0,1,0,8,"duplicated-string",0.639012,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,9,1,6914,6914,0,"false","false",,,,,0,"raaacrb",7,18,1,1,1,0,0,1,0,9,"",0.723013,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
"ivns_F-n135-k7_5","ivns","F-n135-k7",5,10,1,6914,6914,0,"false","false",,,,,0,"rafrferb",8,24,3,3,1,2,0,1,0,10,"duplicated-string",0.835016,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.05 segundos."
