"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,300,"max_iter",1663,"24,21,29,20,6,25,7,12|26,14,17,28,5,2,22|32,8,13,4,10,18,1,11|16,23,27,3,15,19|31,9,30","false","generated_inside_algorithm",1092,1092,65.204239,10,10,0,0,0,10,23,0.314938,10,0,"true","ok","",3.800000,10.500000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,23,10,13,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,300,"max_iter",1872,"26,32,11,3,15,6,29,5,21,4|1,10,24,16,23,22,7|14,8,13,25,19,28,18|30,20,17,27,31|2,12,9","false","generated_inside_algorithm",1163,1163,75.945541,10,8,0,0,2,8,14,0.723861,10,0,"true","ok","",4.300000,11.700000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,8,10,8,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,300,"max_iter",1818,"1,5,29,8,28,23,10,7|32,11,12,14,9,31,6,20,26|21,24,4,13,3,15|22,18,17,27,25|2,30,16,19","false","generated_inside_algorithm",1217,1217,84.114975,10,9,0,0,1,9,18,0.370927,10,0,"true","ok","",3.800000,10.200000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,9,10,9,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,300,"max_iter",1858,"32,10,24,6,16,27,20,26|23,13,30,19,29,7|1,14,4,28,12,21,22,25,11|5,2,3,17,8,15|9,31,18","false","generated_inside_algorithm",1084,1084,63.993950,10,10,0,0,0,10,16,0.217958,10,0,"true","ok","",3.800000,10.700000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,300,"max_iter",1761,"32,11,14,18,20,8,21,6,27|1,26,12,24,5,13,10,22|3,7,30,23,29,17|19,31,9,16,4,28|25,2,15","false","generated_inside_algorithm",1076,1076,62.783657,10,9,0,0,1,9,18,0.402923,10,0,"true","ok","",4,10.900000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,9,10,9,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,300,"max_iter",1787,"5,21,30,19,26,24,14,17|22,3,16,31,8,13|11,29,28,18,23,9,12,15|32,1,2,27,25,20,10|4,7,6","false","generated_inside_algorithm",1105,1105,67.170952,10,10,0,0,0,10,15,0.322937,10,0,"true","ok","",3.700000,11.100000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,300,"max_iter",1811,"5,15,4,11,7,25,13|26,16,18,30,1,21,31,28|32,19,22,3,8,24,2|29,9,20,10,14,12,27|6,17,23","false","generated_inside_algorithm",1117,1117,68.986389,10,10,0,0,0,10,14,0.117977,10,0,"true","ok","",3.300000,8.300000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,10,10,10,3,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,300,"max_iter",1611,"11,8,18,13,26,4,14,2|20,1,24,6,29,5,30,7|9,31,27,28,15|32,25,10,12,16,22,21,19|23,17,3","false","generated_inside_algorithm",981,981,48.411499,10,10,0,0,0,10,18,0.494905,10,0,"true","ok","",3.900000,11.300000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,300,"max_iter",1896,"11,20,30,21,17,18,8,12|26,32,27,28,29,5,7,1,25|14,10,4,6,19,23,16|24,9,22,2,13|31,3,15","false","generated_inside_algorithm",1028,1028,55.521935,10,10,0,0,0,10,25,0.311938,10,0,"true","ok","",4.100000,11.700000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,25,10,15,10,10,10,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,random,3,2,300,"max_iter",1860,"26,6,18,12,5,24,15,3,11|28,25,7,8,23,30,29|32,19,9,16,27,13,14|2,20,21,17,1,10|31,4,22","false","generated_inside_algorithm",1018,1018,54.009079,10,10,0,0,0,10,17,0.321938,10,0,"true","ok","",3.800000,10.700000,0.200000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,10,10,10,4,0,0,0,0,0,0,0,0,0,0
