"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1566,1566,-299,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,1,"Complejidad excesiva: 25 > 24.",0.102979,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1566,1566,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,2,"",0.322936,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.2 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1431,1431,-135,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,3,"",0.342932,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1357,1357,-74,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,3,"",0.363928,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1300,1300,-57,"true","false",,,,,1,"rfg",3,9,5,5,1,4,1,1,1,3,"Complejidad excesiva: 39 > 24.",0.384923,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1270,1270,-30,"true","false",,,,,1,"rffe",4,14,3,3,1,2,1,1,1,3,"Complejidad excesiva: 30 > 24.",0.456909,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1240,1240,-30,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,3,"Complejidad excesiva: 30 > 24.",0.521898,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1187,1187,-53,"true","false",,,,,1,"rarb",4,10,2,2,1,1,1,1,1,4,"Complejidad excesiva: 28 > 24.",0.535895,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1187,1187,0,"false","false",,,,,0,"rfrfe",5,17,3,3,1,2,0,1,0,4,"Complejidad excesiva: 31 > 24.",0.756852,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.2 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1187,1187,0,"false","false",,,,,0,"rfrffeg",7,23,1,1,1,0,0,1,0,5,"",0.980808,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.2 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1852,1852,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,1,"",0.213958,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.2 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1661,1661,-191,"true","false",,,,,1,"rfrg",4,12,3,3,1,2,1,1,1,2,"Complejidad excesiva: 31 > 24.",0.283944,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1661,1661,0,"false","false",,,,,0,"rfrfe",5,17,1,1,1,0,0,1,0,2,"",0.496902,"timeout","Tiempo límite agotado aplicando criterio IVNS: 0.2 segundos."
