"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,first,3,2,600,"max_iter",1873,"25,4,19,22,10,1,26,11,32|24,30,7,29,13,8|20,17,9,3,6,15|18,27,2,21,23,28|31,5,14,16,12","false","generated_inside_algorithm",920,920,39.183056,10,10,0,0,0,10,17,0.429020,10,0,"true","ok","",4.300000,11.900000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,first,3,2,600,"max_iter",1817,"15,16,28,13,19,30|32,26,9,7,3,12,6,18|22,1,27,4,11,5,2|29,14,24,21,31,20,23,25|8,17,10","false","generated_inside_algorithm",1058,1058,60.060513,10,10,0,0,0,10,13,0.989046,10,0,"true","ok","",4.200000,13.200000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,10,10,10,4,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,first,3,2,600,"max_iter",1835,"26,7,14,2,22,23,25|16,15,9,19,10,24,11|20,13,6,29,3,32,27|1,18,21,5,28,17,8,12|30,4,31","false","generated_inside_algorithm",1081,1081,63.540089,10,10,0,0,0,10,16,0.491023,10,0,"true","ok","",4,12.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,first,3,2,600,"max_iter",1977,"3,26,18,10,29,6,20,28|32,1,4,24,31,13,7|17,27,19,5,9,14|15,30,16,25,11,12,21,23|2,8,22","false","generated_inside_algorithm",939,939,42.057487,10,10,0,0,0,10,18,0.918043,10,0,"true","ok","",4.400000,12.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,first,3,2,600,"max_iter",1993,"32,3,12,5,1,13,10,6|20,9,26,29,4,14,11,2,19|7,21,17,28,27|16,23,8,18,22,25,30|15,31,24","false","generated_inside_algorithm",1149,1149,73.827538,10,10,0,0,0,10,16,0.426020,10,0,"true","ok","",3.900000,11.800000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,first,3,2,600,"max_iter",1922,"11,25,17,26,27,29,28,5|32,24,22,23,3,21,1,30|12,16,8,19,10,15,7|4,31,2,9,20,18|14,13,6","false","generated_inside_algorithm",1097,1097,65.960663,10,10,0,0,0,10,19,0.609029,10,0,"true","ok","",4,10.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,first,3,2,600,"max_iter",2066,"26,29,5,19,20,11,7,18,16,24|10,3,22,31,12,25|32,14,13,27,8,21,30|9,2,15,1,23,6|17,4,28","false","generated_inside_algorithm",1065,1065,61.119514,10,10,0,0,0,10,16,0.300014,10,0,"true","ok","",4,11.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,first,3,2,600,"max_iter",1960,"5,19,20,27,1,15,8,24|26,32,9,23,29,11,10,16,7|12,17,3,2,14,30|22,21,18,13,25,28|31,4,6","false","generated_inside_algorithm",1125,1125,70.196671,10,10,0,0,0,10,16,0.300015,10,0,"true","ok","",3.800000,11.300000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,first,3,2,600,"max_iter",1849,"32,5,18,30,26,29,16,24,27|22,10,9,2,6|23,17,3,21,13,28|7,11,25,19,15,12,20,8|1,14,31,4","false","generated_inside_algorithm",1069,1069,61.724655,10,10,0,0,0,10,19,0.439019,10,0,"true","ok","",3.900000,11.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,10,10,10,4,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,first,3,2,600,"max_iter",1766,"32,13,14,16,26,8,10,21,4|11,1,30,5,23,25,6,19|3,27,17,28,29,20|12,15,7,18,2,9|22,31,24","false","generated_inside_algorithm",958,958,44.931923,10,10,0,0,0,10,19,0.626030,10,0,"true","ok","",4.100000,11.900000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,10,10,10,7,0,0,0,0,0,0,0,0,0,0
