"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,first,3,2,600,"max_iter",1604,"26,5,28,22,10,11,24,6|21,19,14,30,31,2|23,32,1,8,20,25,3,16,7|15,4,13,9,17|29,18,27,12","false","generated_inside_algorithm",1112,1112,68.229958,10,4,0,0,6,4,11,3.651926,8,0,"true","ok","",6.700000,21.200000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,11,10,1,4,10,4,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,first,3,2,600,"max_iter",1551,"29,4,18,1,28,20,17,23|32,9,3,25,26,15,16,19,11|5,10,21,14,12,30,8,24|31,6,13,22|2,7,27","false","generated_inside_algorithm",1155,1155,74.735245,10,4,0,0,6,4,12,3.658927,10,0,"true","ok","",6.600000,21.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,first,3,2,600,"max_iter",1766,"29,28,11,12,15,3,26,16,18,1|8,14,17,13,7,24|32,22,10,2,9,25|31,4,27,20,6,23|21,5,30,19","false","generated_inside_algorithm",1384,1384,109.379730,10,4,0,0,6,4,15,3.258933,10,0,"true","ok","",6.500000,20.300000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,first,3,2,600,"max_iter",1628,"11,1,31,10,12,30,18,26|32,13,2,29,5,24,22|20,7,8,14,23,25,17|21,6,27,4,9,19|16,15,3,28","false","generated_inside_algorithm",958,958,44.931923,10,8,0,0,2,8,16,2.248954,10,0,"true","ok","",5.300000,17.300000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,8,10,8,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,first,3,2,600,"max_iter",1808,"26,1,17,3,14,6,21,29,8|16,25,10,23,7,13|32,2,11,4,20,31,19,5|22,27,24,15,30|18,12,9,28","false","generated_inside_algorithm",1482,1482,124.205742,10,2,0,0,8,2,12,4.290914,4,0,"true","ok","",8,25.500000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,2,10,2,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,first,3,2,600,"max_iter",1785,"32,23,12,6,15,26,18,27|11,30,8,4,22,20,17|10,21,3,9,2,28|14,29,1,19,24,16,25,13|7,5,31","false","generated_inside_algorithm",1153,1153,74.432678,10,6,0,0,4,6,14,2.885940,9,0,"true","ok","",6.500000,20.100000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,6,10,6,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,first,3,2,600,"max_iter",1900,"26,1,7,11,28,30,14,27|32,9,25,5,12,10,31|8,2,23,21,6,13|4,22,18,24,3,15,16|29,19,20,17","false","generated_inside_algorithm",1339,1339,102.571854,10,3,0,0,7,3,14,4.100918,9,0,"true","ok","",7.300000,23.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,3,10,3,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,first,3,2,600,"max_iter",1851,"11,23,19,26,30,10,29,3,32|12,13,28,4,22,8,5|20,21,17,16,25,1,15,14|24,9,18,27,6|31,2,7","false","generated_inside_algorithm",1305,1305,97.428139,10,4,0,0,6,4,12,3.592925,6,0,"true","ok","",6.400000,20.200000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,4,10,4,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,first,3,2,600,"max_iter",1946,"11,3,21,26,1,8,29,16,9,15|32,7,6,19,28,23,4|5,27,17,2,30|22,20,14,13,24,10|31,12,18,25","false","generated_inside_algorithm",1168,1168,76.701965,10,4,0,0,6,4,15,3.705925,9,0,"true","ok","",7.400000,22.500000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,first,3,2,600,"max_iter",1538,"26,8,13,11,29,27,25,28|21,14,15,9,31,7|6,1,17,30,16,2|32,10,3,22,5,20,19,24|23,12,4,18","false","generated_inside_algorithm",1095,1095,65.658096,10,6,0,0,4,6,12,2.640946,10,0,"true","ok","",6.200000,19.500000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,6,10,6,9,0,0,0,0,0,0,0,0,0,0
