"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,600,"max_iter",1856,"32,1,11,8,20,18,22,15,16,14|26,28,23,10,30,19,3|29,5,21,17,7,6,24|4,31,27,12,13|2,9,25","false","generated_inside_algorithm",1431,1431,116.490158,10,3,0,0,7,3,14,4.223905,7,0,"true","ok","",7.800000,24.500000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,3,10,3,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,600,"max_iter",1742,"32,24,10,6,30,26,21,29,1|11,3,15,20,22,18,14,25|7,27,13,8,28,16|5,23,9,12,4,19,31|17,2","false","generated_inside_algorithm",1006,1006,52.193649,10,9,0,0,1,9,14,1.308970,10,0,"true","ok","",4.600000,14.900000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,9,10,9,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,600,"max_iter",2130,"4,23,15,2,13,12|31,24,5,3,26,28,25,14|21,8,19,10,1,30,7|29,32,16,27,22,20,11,17|6,9,18","false","generated_inside_algorithm",1088,1088,64.599091,10,7,0,0,3,7,13,3.251928,9,0,"true","ok","",5.100000,16.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,600,"max_iter",1732,"26,32,9,19,27,17,25|21,5,8,29,7,12,15,28|23,18,14,30,4,11,2|1,6,16,24,13,20,22|3,10,31","false","generated_inside_algorithm",1128,1128,70.650528,10,7,0,0,3,7,16,1.866958,10,0,"true","ok","",5.500000,18.200000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,600,"max_iter",1899,"32,19,16,3,8,20,9,13|5,21,15,23,26,2,17|14,27,7,11,4,12,30|1,22,6,29,18,24,25|28,31,10","false","generated_inside_algorithm",1439,1439,117.700455,10,2,0,0,8,2,13,4.663895,7,0,"true","ok","",7.600000,24.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,2,10,2,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,600,"max_iter",1786,"5,30,10,12,14,22,1,8|32,26,23,29,24,18,17,13|7,4,28,27,11,2|15,25,6,21,19,9,20|3,31,16","false","generated_inside_algorithm",1309,1309,98.033287,10,5,0,0,5,5,17,3.118931,9,0,"true","ok","",6.200000,19.300000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,5,10,5,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,600,"max_iter",1676,"25,19,28,1,23,6,9,26|12,32,18,4,2,5,20,13|15,10,27,7,22|21,17,8,3,31,29,14|16,30,24,11","false","generated_inside_algorithm",1244,1244,88.199699,10,4,0,0,6,4,15,3.675918,8,0,"true","ok","",7.100000,22.900000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,600,"max_iter",1904,"26,11,4,22,29,17,1,2|32,20,12,16,31,13,27|8,24,14,9,28,7,18|21,6,23,3,5,19,10|15,30,25","false","generated_inside_algorithm",1072,1072,62.178516,10,7,0,0,3,7,14,2.615941,10,0,"true","ok","",5.400000,17.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,600,"max_iter",1818,"32,10,2,31,8,30|14,27,17,24,5,18,12|20,26,9,7,13,28,4|11,16,19,22,29,21,23,6|1,25,3,15","false","generated_inside_algorithm",1227,1227,85.627838,10,5,0,0,5,5,15,3.389925,10,0,"true","ok","",6.100000,19.600000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,5,10,5,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,random,3,2,600,"max_iter",1825,"26,20,7,5,25,1,30,17|32,16,21,15,18,24,13,14|8,3,22,29,27,2|23,28,19,6,4,11,10|12,31,9","false","generated_inside_algorithm",1390,1390,110.287437,10,3,0,0,7,3,13,4.187905,5,0,"true","ok","",7.700000,23.200000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,3,10,3,9,0,0,0,0,0,0,0,0,0,0
