"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,first,3,2,600,"max_iter",1652,"26,4,5,10,29,24,13,18|32,1,16,14,19,31,9,12,20|8,6,27,3,11,23,28|30,17,25,15,22|2,21,7","false","generated_inside_algorithm",1236,1236,86.989410,10,5,0,0,5,5,21,2.997011,7,0,"true","ok","",5.300000,17.400000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,5,10,5,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,first,3,2,600,"max_iter",1805,"30,12,9,31,7,16|32,17,29,25,20,1,2,26,8|5,3,22,10,13,14,11|28,19,24,4,21,23,15|18,6,27","false","generated_inside_algorithm",1436,1436,117.246590,10,3,0,0,7,3,25,3.752013,8,0,"true","ok","",5.500000,17.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,25,10,15,3,10,3,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,first,3,2,600,"max_iter",1892,"26,32,12,14,4,16,29,6,23,3|8,19,20,2,5,27,24|15,21,25,11,10,9,28|1,31,22,30,17|7,18,13","false","generated_inside_algorithm",1214,1214,83.661118,10,7,0,0,3,7,15,2.030006,10,0,"true","ok","",4.500000,14.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,first,3,2,600,"max_iter",1777,"26,23,19,1,4,6,9,5,20|32,11,29,31,25,12,7,18|14,24,22,28,10,2|21,8,17,16,15,13|27,3,30","false","generated_inside_algorithm",1328,1328,100.907722,10,4,0,0,6,4,15,3.240011,9,0,"true","ok","",5.500000,16.100000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,first,3,2,600,"max_iter",1861,"32,26,19,30,8,11,23,14,28,29|18,25,6,9,22,15|5,12,2,20,3,1,16,27|17,24,7,21,31|4,10,13","false","generated_inside_algorithm",1086,1086,64.296516,10,8,0,0,2,8,13,1.912006,10,0,"true","ok","",4.800000,14.200000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,8,10,8,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,first,3,2,600,"max_iter",1786,"32,28,20,5,15,22,18,16,1|12,4,10,3,6,17,26|11,8,25,23,30,9,7|24,27,2,29,13,21|14,31,19","false","generated_inside_algorithm",1120,1120,69.440239,10,7,0,0,3,7,18,1.825005,9,0,"true","ok","",4.300000,13.700000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,first,3,2,600,"max_iter",1932,"5,8,6,24,27,12,22|21,15,26,14,10,4,28,1,20|32,11,30,31,16,13,18|2,17,7,23,25|3,29,9,19","false","generated_inside_algorithm",1018,1018,54.009079,10,7,0,0,3,7,14,3.179009,10,0,"true","ok","",4.600000,14.800000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,first,3,2,600,"max_iter",1850,"11,6,7,9,27,28,26|18,14,2,31,16,5,4|22,12,24,17,10,3|32,21,19,20,13,23,30,1|8,29,25,15","false","generated_inside_algorithm",1310,1310,98.184570,10,5,0,0,5,5,11,2.783007,9,0,"true","ok","",5.200000,15.600000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,11,10,1,5,10,5,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,first,3,2,600,"max_iter",1977,"26,32,18,16,20,29,22,28,24,5|12,7,1,8,14,19,25,6|4,3,10,17,2,11|31,27,21,15,13|9,30,23","false","generated_inside_algorithm",1226,1226,85.476555,10,6,0,0,4,6,15,2.408005,9,0,"true","ok","",4.300000,13.900000,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,6,10,6,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,first,3,2,600,"max_iter",1816,"14,16,5,27,11,10,1,22|19,29,7,15,6,13|26,9,12,24,17,8,25,21|23,20,2,28,32,30,4|18,31,3","false","generated_inside_algorithm",1265,1265,91.376701,10,5,0,0,5,5,14,2.775008,10,0,"true","ok","",5.200000,16,0.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,5,10,5,8,0,0,0,0,0,0,0,0,0,0
