"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,best,3,2,600,"max_iter",1725,"4,5,21,12,25,19,24,7|32,8,27,23,28,26,31,11|14,9,29,2,1,15,3|10,30,16,18,6,22|20,13,17","false","generated_inside_algorithm",1025,1025,55.068081,10,7,0,0,3,7,15,4.523993,10,0,"true","ok","",5.100000,16.800000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,best,3,2,600,"max_iter",1671,"25,5,9,13,16,3,4|1,7,19,12,20,31,6,26|32,10,27,15,2,24|18,23,28,8,22,14,21,29|17,30,11","false","generated_inside_algorithm",1042,1042,57.639938,10,6,0,0,4,6,17,4.810991,10,0,"true","ok","",5,15.100000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,17,10,7,6,10,6,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,best,3,2,600,"max_iter",1724,"26,29,5,21,15,31,25,19|32,20,18,22,17,14,3,1,11|24,12,27,8,7,16,23|2,6,28,10,4|9,30,13","false","generated_inside_algorithm",1049,1049,58.698940,10,8,0,0,2,8,19,3.048995,10,0,"true","ok","",4.700000,14.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,8,10,8,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,best,3,2,600,"max_iter",1786,"1,24,14,26,10,5,11,6,15|32,18,7,29,25,9,31|13,4,28,19,20,2|3,16,17,22,12,27|30,21,23,8","false","generated_inside_algorithm",986,986,49.167927,10,7,0,0,3,7,20,3.886994,10,0,"true","ok","",4.800000,14.400000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,7,10,7,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,best,3,2,600,"max_iter",2031,"26,32,25,14,13,10,2,1|11,21,15,5,28,3,29,20,23|12,24,4,19,17,9|7,18,16,8,31,27|30,6,22","false","generated_inside_algorithm",1111,1111,68.078667,10,8,0,0,2,8,15,2.914995,10,0,"true","ok","",4.700000,14.600000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,8,10,8,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,best,3,2,600,"max_iter",1779,"32,21,9,26,20,10,7,15|11,6,2,19,25,27|14,23,1,22,17,5,16,8|29,28,13,31,4,24|30,3,18,12","false","generated_inside_algorithm",1150,1150,73.978821,10,7,0,0,3,7,12,3.443996,10,0,"true","ok","",5,15.200000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,7,10,7,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,best,3,2,600,"max_iter",1809,"26,9,7,5,30,22,18|32,31,16,8,12,15,20,6|1,14,28,10,23,27,21|3,13,11,17,29,25|24,4,19,2","false","generated_inside_algorithm",976,976,47.655067,10,9,0,0,1,9,15,2.307996,10,0,"true","ok","",4.200000,12.800000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,9,10,9,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,best,3,2,600,"max_iter",1940,"5,18,10,29,13,21,8,20|28,7,2,17,22|32,14,11,27,16,26,3,1,25,12|24,30,4,9,23,15|31,6,19","false","generated_inside_algorithm",1114,1114,68.532524,10,7,0,0,3,7,11,4.222993,10,0,"true","ok","",4.800000,15.200000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,11,10,1,7,10,7,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,best,3,2,600,"max_iter",1897,"26,4,9,3,25,15,7|21,6,1,30,19,5,31|32,29,28,20,23,14,17,12,16|2,8,18,13,10,11|27,22,24","false","generated_inside_algorithm",1066,1066,61.270802,10,6,0,0,4,6,22,5.521993,7,0,"true","ok","",5.400000,16.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,6,10,6,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,best,3,2,600,"max_iter",1763,"26,32,14,31,9,23,21,12,8|18,6,2,17,7|24,25,20,15,4,5,22,11|27,16,3,28,19,10|29,30,13,1","false","generated_inside_algorithm",1219,1219,84.417549,10,7,0,0,3,7,13,3.712994,8,0,"true","ok","",5,15.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,7,10,7,6,0,0,0,0,0,0,0,0,0,0
