"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,random,3,2,600,"max_iter",2113,"27,2,30,28,22|4,6,8,29,20,14,11,9,16|26,21,17,12,25,1,13,18|5,24,19,7,23,32,10|3,31,15","false","generated_inside_algorithm",1137,1137,72.012100,10,8,0,0,2,8,18,2.808004,10,0,"true","ok","",4.400000,13.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,8,10,8,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,random,3,2,600,"max_iter",1760,"1,17,26,12,25,27,14,4|21,13,30,2,3,8|32,11,31,15,28,19,7|22,18,6,29,24,10,20|23,16,5,9","false","generated_inside_algorithm",1027,1027,55.370651,10,10,0,0,0,10,16,1.160002,10,0,"true","ok","",4.100000,12.500000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,random,3,2,600,"max_iter",1728,"26,20,29,7,30,2,9|5,8,12,10,21,14,6,3|32,23,11,17,15,18,22|31,16,4,27,1,19|28,13,24,25","false","generated_inside_algorithm",1042,1042,57.639938,10,7,0,0,3,7,15,3.750005,10,0,"true","ok","",5.400000,16.500000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,random,3,2,600,"max_iter",1759,"26,32,30,7,18,9,16,11,21|24,23,19,17,15,28|1,10,20,6,3,8,5,12,29|31,25,14,4,13|22,2,27","false","generated_inside_algorithm",1107,1107,67.473526,10,8,0,0,2,8,14,3.082004,10,0,"true","ok","",4.700000,14.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,8,10,8,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,random,3,2,600,"max_iter",1763,"20,11,17,27,6,9,26|32,1,8,30,22,24,18,3|29,4,5,25,13,23,7|14,31,2,12,16,21,19|28,15,10","false","generated_inside_algorithm",1193,1193,80.484116,10,5,0,0,5,5,19,5.709008,8,0,"true","ok","",5.800000,16.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,5,10,5,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,random,3,2,600,"max_iter",1847,"5,32,26,6,9,29,17,14,21|12,18,28,11,7,22,15|24,3,23,4,1,27,19|10,13,8,20,16,25|30,31,2","false","generated_inside_algorithm",926,926,40.090771,10,9,0,0,1,9,18,2.858004,10,0,"true","ok","",4.400000,14.100000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,9,10,9,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,random,3,2,600,"max_iter",1549,"32,26,20,9,4,5,17,19,14|11,18,21,6,2,8,30|1,24,3,29,27,7,25|16,13,28,15,23,12|31,10,22","false","generated_inside_algorithm",1012,1012,53.101360,10,7,0,0,3,7,24,4.232006,10,0,"true","ok","",4.900000,15.200000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,24,10,14,7,10,7,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,random,3,2,600,"max_iter",2048,"12,23,10,27,21,13|8,24,11,14,17,19,16,25|26,20,22,7,18,3,2|29,32,5,31,30,1,9,4|28,15,6","false","generated_inside_algorithm",1075,1075,62.632378,10,10,0,0,0,10,20,1.470003,10,0,"true","ok","",4,12.800000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,20,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,random,3,2,600,"max_iter",1643,"26,32,4,6,27,30,22|5,25,11,28,15,14,12,29,8|1,18,3,20,16,17,2|23,19,21,24,7,13|31,9,10","false","generated_inside_algorithm",1090,1090,64.901665,10,6,0,0,4,6,19,4.870007,8,0,"true","ok","",5.300000,16.400000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,6,10,6,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,random,3,2,600,"max_iter",1724,"32,15,1,11,19,10,12,26,24,5|9,30,25,3,20,22|29,13,2,6,28,21|14,4,17,18,23,7|16,27,8,31","false","generated_inside_algorithm",1200,1200,81.543121,10,6,0,0,4,6,21,4.432005,10,0,"true","ok","",5.200000,16,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,6,10,6,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_11","ivns","A-n33-k5",11,661,10,2,5,5,50,random,3,2,600,"max_iter",2104,"26,19,5,15,18,12,30,23|32,28,8,31,13,4,21|20,3,16,24,17,29,10|11,7,9,22,1,25,6|2,27,14","false","generated_inside_algorithm",1239,1239,87.443268,10,6,0,0,4,6,22,5.019008,10,0,"true","ok","",5.400000,15.800000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,6,10,6,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_12","ivns","A-n33-k5",12,661,10,2,5,5,50,random,3,2,600,"max_iter",1682,"32,26,30,2,29,17,1,12,11|10,24,22,20,5,14,6|4,28,15,19,21,13|8,27,25,7,23,18|9,31,16,3","false","generated_inside_algorithm",1083,1083,63.842659,10,7,0,0,3,7,25,3.421006,10,0,"true","ok","",5.100000,15.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,25,10,15,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_13","ivns","A-n33-k5",13,661,10,2,5,5,50,random,3,2,600,"max_iter",1737,"5,9,28,25,7,26,22,11|19,6,4,2,20,24,14|1,23,29,16,31,12,21,10|8,15,3,27,32,13|17,18,30","false","generated_inside_algorithm",1032,1032,56.127079,10,7,0,0,3,7,19,4.449005,10,0,"true","ok","",5.100000,15.500000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,7,10,7,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_14","ivns","A-n33-k5",14,661,10,2,5,5,50,random,3,2,600,"max_iter",1858,"26,31,11,10,30,28,4|32,24,17,5,19,12,6,8|9,1,13,18,14,7,20|21,29,27,25,3,16,23|22,2,15","false","generated_inside_algorithm",962,962,45.537067,10,7,0,0,3,7,18,5.295008,9,0,"true","ok","",4.900000,15.100000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,7,10,7,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_15","ivns","A-n33-k5",15,661,10,2,5,5,50,random,3,2,600,"max_iter",1483,"20,18,23,12,4,9,7,11|26,8,5,15,22,6,19,21|32,14,31,13,10,30|24,17,16,28,3,2|1,29,25,27","false","generated_inside_algorithm",927,927,40.242058,10,9,0,0,1,9,18,2.288005,10,0,"true","ok","",4.300000,13.600000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,18,10,8,9,10,9,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_16","ivns","A-n33-k5",16,661,10,2,5,5,50,random,3,2,600,"max_iter",1813,"29,26,6,18,30,14,15,16|12,19,28,3,7,27,11|1,21,2,20,24,23,17,32|8,25,13,22,4,10|31,5,9","false","generated_inside_algorithm",1014,1014,53.403931,10,9,0,0,1,9,15,2.956004,10,0,"true","ok","",4.800000,15.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,9,10,9,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_17","ivns","A-n33-k5",17,661,10,2,5,5,50,random,3,2,600,"max_iter",1955,"26,1,14,15,16,19,22,13|32,29,8,4,24,10,20,17|5,11,12,25,28,18,6,9|31,3,23,27,7|2,30,21","false","generated_inside_algorithm",1057,1057,59.909229,10,7,0,0,3,7,19,5.492007,10,0,"true","ok","",5.500000,17.400000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_18","ivns","A-n33-k5",18,661,10,2,5,5,50,random,3,2,600,"max_iter",1746,"26,9,3,5,25,18,29,12,23|11,20,1,2,28,21,14,17|16,32,19,8,15,22,4,24|6,30,7,13,10|27,31","false","generated_inside_algorithm",1091,1091,65.052948,10,7,0,0,3,7,21,4.558008,10,0,"true","ok","",5.300000,16.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,21,10,11,7,10,7,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_19","ivns","A-n33-k5",19,661,10,2,5,5,50,random,3,2,600,"max_iter",1939,"32,3,22,28,6,29,27|11,30,14,7,21,4,17|5,12,9,23,8,19,25,24|15,16,10,26,20,13,1,18|2,31","false","generated_inside_algorithm",1163,1163,75.945541,10,8,0,0,2,8,11,2.838004,10,0,"true","ok","",4.600000,13.600000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,11,10,1,8,10,8,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_20","ivns","A-n33-k5",20,661,10,2,5,5,50,random,3,2,600,"max_iter",1956,"14,16,24,31,20,19,29,23|12,21,17,6,13,28|26,27,1,10,11,5,7,15|22,8,9,25,32,4,18|3,2,30","false","generated_inside_algorithm",965,965,45.990925,10,9,0,0,1,9,13,3.521004,10,0,"true","ok","",5,15.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,9,10,9,5,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_21","ivns","A-n33-k5",21,661,10,2,5,5,50,random,3,2,600,"max_iter",1792,"32,28,9,1,3,24,5,19,14|26,8,27,7,13,10|6,30,23,4,15,18|12,21,22,25,20,11,2,29|16,31,17","false","generated_inside_algorithm",976,976,47.655067,10,9,0,0,1,9,15,2.987005,10,0,"true","ok","",5,15.300000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,9,10,9,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_22","ivns","A-n33-k5",22,661,10,2,5,5,50,random,3,2,600,"max_iter",1631,"4,14,12,30,20,6,8,18|21,13,26,25,17,5,7|11,29,10,1,23,19,28,22|32,16,3,27,24,15,9|31,2","false","generated_inside_algorithm",915,915,38.426624,10,10,0,0,0,10,16,2.523005,10,0,"true","ok","",4.500000,14.400000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,10,10,10,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_23","ivns","A-n33-k5",23,661,10,2,5,5,50,random,3,2,600,"max_iter",1848,"32,1,5,11,2,28,9,13|12,18,26,19,22,20,10,24|14,6,15,21,27,25,29|31,4,30,8,7,16|23,17,3","false","generated_inside_algorithm",1094,1094,65.506813,10,8,0,0,2,8,13,2.942004,10,0,"true","ok","",4.500000,14.700000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,8,10,8,6,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_24","ivns","A-n33-k5",24,661,10,2,5,5,50,random,3,2,600,"max_iter",1850,"32,26,29,19,4,17,24,27|22,11,15,23,3,16,20,12|1,30,13,2,8,9|7,21,28,14,5,10,6|31,18,25","false","generated_inside_algorithm",1166,1166,76.399391,10,7,0,0,3,7,15,3.370005,9,0,"true","ok","",4.700000,14.100000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_25","ivns","A-n33-k5",25,661,10,2,5,5,50,random,3,2,600,"max_iter",1860,"32,8,9,21,31,25,10|5,2,7,24,18,17|22,16,19,26,14,15,29,11,1,12|20,27,3,13,4,28|30,6,23","false","generated_inside_algorithm",984,984,48.865353,10,9,0,0,1,9,22,3.594005,10,0,"true","ok","",4.600000,14.800000,1.000000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,22,10,12,9,10,9,5,0,0,0,0,0,0,0,0,0,0
