"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1706,1706,-153,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,1,"",0.079960,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1544,1544,-162,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,2,"",0.097951,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1428,1428,-116,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,3,"Complejidad excesiva: 17 > 14.",0.109945,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1365,1365,-63,"true","false",,,,,1,"rarac",5,14,4,4,1,3,1,1,1,3,"Complejidad excesiva: 17 > 14.",0.123938,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1309,1309,-56,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,3,"Complejidad excesiva: 28 > 14.",0.135932,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1245,1245,-64,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,4,"",0.158920,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1138,1138,-107,"true","false",,,,,1,"rarac",5,14,6,6,1,5,1,1,1,4,"Complejidad excesiva: 26 > 14.",0.174912,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1098,1098,-40,"true","false",,,,,1,"rfrg",4,12,2,2,1,1,1,1,1,4,"Complejidad excesiva: 17 > 14.",0.227886,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1058,1058,-40,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,5,"",0.235882,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1030,1030,-28,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,6,"",0.245877,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1672,1672,-282,"true","false",,,,,1,"rarac",5,14,2,2,1,1,1,1,1,1,"Complejidad excesiva: 22 > 14.",0.012993,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1528,1528,-144,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,2,"",0.026986,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1422,1422,-106,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,2,"",0.040979,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1310,1310,-112,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,3,"",0.046977,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1241,1241,-69,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,3,"",0.052974,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1144,1144,-97,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,3,"",0.065967,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1091,1091,-53,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,4,"",0.079960,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,1019,1019,-72,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,5,"Complejidad excesiva: 17 > 14.",0.144928,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,1006,1006,-13,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,5,"Longitud excesiva: 14 > 10.",0.158921,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,975,975,-31,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,6,"",0.214893,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,1612,1612,-143,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,1,"",0.052974,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1502,1502,-110,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,2,"",0.064968,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1395,1395,-107,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,2,"",0.076962,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1288,1288,-107,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,2,"",0.125937,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,5,1,1235,1235,-53,"true","false",,,,,1,"rffe",4,14,3,3,1,2,1,1,1,3,"Complejidad excesiva: 17 > 14.",0.169915,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,6,1,1179,1179,-56,"true","false",,,,,1,"rarb",4,10,2,2,1,1,1,1,1,4,"Complejidad excesiva: 18 > 14.",0.179910,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,7,1,1124,1124,-55,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,5,"",0.196902,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,8,1,1092,1092,-32,"true","false",,,,,1,"rffe",4,14,4,4,1,3,1,1,1,5,"Complejidad excesiva: 18 > 14.",0.235882,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,9,1,1047,1047,-45,"true","false",,,,,1,"rarac",5,14,3,3,1,2,1,1,1,5,"Complejidad excesiva: 23 > 14.",0.249875,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,10,1,1037,1037,-10,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,6,"",0.255872,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,1,1,1891,1891,-138,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,1,"Longitud excesiva: 11 > 10.",0.011994,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,2,1,1756,1756,-135,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,1,"",0.028985,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,3,1,1624,1624,-132,"true","false",,,,,1,"rfg",3,9,2,2,1,1,1,1,1,1,"Complejidad excesiva: 17 > 14.",0.040979,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,4,1,1545,1545,-79,"true","false",,,,,1,"rab",3,7,2,2,1,1,1,1,1,2,"Complejidad excesiva: 17 > 14.",0.046976,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,5,1,1462,1462,-83,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.056971,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,6,1,1354,1354,-108,"true","false",,,,,1,"rfg",3,9,3,3,1,2,1,1,1,3,"Complejidad excesiva: 17 > 14.",0.069965,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,7,1,1288,1288,-66,"true","false",,,,,1,"rarb",4,10,3,3,1,2,1,1,1,3,"Complejidad excesiva: 20 > 14.",0.078960,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,8,1,1200,1200,-88,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,4,"",0.133933,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,9,1,1173,1173,-27,"true","false",,,,,1,"raac",4,11,2,2,1,1,1,1,1,5,"Complejidad excesiva: 17 > 14.",0.141929,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,10,1,1121,1121,-52,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,6,"",0.154922,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,1,1,1785,1785,-156,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,1,"",0.010994,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,2,1,1662,1662,-123,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,2,"",0.023988,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,3,1,1573,1573,-89,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,3,"",0.030984,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,4,1,1471,1471,-102,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,3,"",0.040979,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,5,1,1335,1335,-136,"true","false",,,,,1,"rarac",5,14,2,2,1,1,1,1,1,4,"Complejidad excesiva: 25 > 14.",0.054972,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,6,1,1305,1305,-30,"true","false",,,,,1,"raac",4,11,1,1,1,0,1,1,1,4,"",0.061969,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,7,1,1244,1244,-61,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,5,"",0.094952,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,8,1,1179,1179,-65,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,6,"",0.163918,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,9,1,1135,1135,-44,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,7,"",0.171914,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,10,1,1095,1095,-40,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,7,"",0.178910,"ok",""
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,1,1,1602,1602,-165,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,1,"",0.011994,"ok",""
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,2,1,1474,1474,-128,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,1,"",0.027986,"ok",""
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,3,1,1411,1411,-63,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,2,"",0.033983,"ok",""
