"run_id","algorithm","instance","seed","known_best","max_iter","kmax","max_no_improve","shake_max_tries","generation_max_tries","vnd_mode","vnd_max_rounds","vnd_max_no_improve","time_limit_seconds","termination_reason","initial_cost","initial_solution_signature","initial_solution_shared_p","initial_solution_source","best_cost","final_cost","gap_percent","iterations","accepted_improvements","invalid_neighbors","no_improvement_neighbors","timeout_neighbors","neighbors_evaluated","generation_tries","elapsed_time_seconds","best_iteration","stagnation_iterations","feasible","status","error","ivns_string_length_avg","ivns_complexity_avg","ivns_max_neighborhood_seconds","ivns_reset_strings_on_improvement","ivns_candidates_per_iteration","ivns_candidate_selection_mode","ivns_exploration_rate","ivns_candidates_generated","ivns_candidates_valid","ivns_candidates_timeout","ivns_candidates_invalid","ivns_candidates_no_improvement","ivns_candidates_selected","ivns_candidate_success_rate","ivns_strings_generated_total","ivns_strings_valid_total","ivns_strings_invalid_total","ivns_strings_evaluated_total","ivns_strings_selected_total","ivns_strings_accepted_total","ivns_unique_strings_total","ivns_reject_too_many_r","ivns_reject_too_short","ivns_reject_too_long","ivns_reject_unbalanced","ivns_reject_missing_required_symbol","ivns_reject_forbidden_expensive_pattern","ivns_reject_semantic_invalid","ivns_reject_duplicated_string","ivns_reject_generation_limit_reached","ivns_reject_unknown"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,661,10,2,5,5,50,best,3,2,900,"max_iter",1850,"32,3,4,21,10,23,26,27|8,17,30,14,7,25|24,20,28,11,29,2,19,18|1,13,6,22,31,16|5,9,12,15","false","generated_inside_algorithm",1511,1511,128.593033,10,2,0,0,8,2,12,12.286852,7,0,"true","ok","",8.400000,26.600000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,2,10,2,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,661,10,2,5,5,50,best,3,2,900,"max_iter",1316,"14,2,20,1,29,21,31,18|26,7,13,5,9,3,23|32,24,15,6,11,19,16,28|12,4,8,17,22,30|10,27,25","false","generated_inside_algorithm",877,877,32.677761,10,7,0,0,3,7,15,5.148425,9,0,"true","ok","",5.500000,16.600000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,7,10,7,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,661,10,2,5,5,50,best,3,2,900,"max_iter",2004,"32,29,9,6,26,2,14,21,5|11,12,7,24,8,17,30|16,15,19,25,1,23,27|13,31,20,22,18,4|3,10,28","false","generated_inside_algorithm",1610,1610,143.570358,10,2,0,0,8,2,13,12.676659,9,0,"true","ok","",8,26.500000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,2,10,2,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,661,10,2,5,5,50,best,3,2,900,"max_iter",1952,"26,6,1,9,12,28,13,21|11,32,25,3,7,24,16,19,5|23,2,14,15,29,17|20,30,8,18,31,27|22,4,10","false","generated_inside_algorithm",1286,1286,94.553711,10,4,0,0,6,4,19,9.774110,10,0,"true","ok","",7.300000,23.800000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,19,10,9,4,10,4,9,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,661,10,2,5,5,50,best,3,2,900,"max_iter",1787,"32,14,17,10,29,26,22,23|11,20,8,3,21,24,30,6|4,5,16,27,1,15,2|28,18,19,13,12,7|9,25,31","false","generated_inside_algorithm",1185,1185,79.273827,10,6,0,0,4,6,13,6.606695,10,0,"true","ok","",5.800000,18.200000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,13,10,3,6,10,6,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_6","ivns","A-n33-k5",6,661,10,2,5,5,50,best,3,2,900,"max_iter",1854,"26,32,18,7,19,2,17|4,20,12,8,28,23,21,9|3,29,6,1,24,14,15,25|5,16,10,11,31,27|13,30,22","false","generated_inside_algorithm",1324,1324,100.302574,10,3,0,0,7,3,15,11.140427,10,0,"true","ok","",7.300000,24.300000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,15,10,5,3,10,3,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_7","ivns","A-n33-k5",7,661,10,2,5,5,50,best,3,2,900,"max_iter",1751,"26,32,23,31,16,28,10,21|1,11,27,17,8,14,29,3|9,15,25,24,6,22|19,12,13,18,2,20,5|30,4,7","false","generated_inside_algorithm",1145,1145,73.222389,10,6,0,0,4,6,16,7.398300,10,0,"true","ok","",6.600000,19.600000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,16,10,6,6,10,6,10,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_8","ivns","A-n33-k5",8,661,10,2,5,5,50,best,3,2,900,"max_iter",1996,"32,14,13,11,8,15,25,9|18,10,17,2,22|26,20,1,5,21,16,6,12,27|4,24,29,3,7,23,19|31,28,30","false","generated_inside_algorithm",1151,1151,74.130104,10,5,0,0,5,5,14,8.985505,8,0,"true","ok","",6.300000,20.500000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,5,10,5,7,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_9","ivns","A-n33-k5",9,661,10,2,5,5,50,best,3,2,900,"max_iter",1742,"26,8,19,30,22,1,6,21|32,11,5,17,24,3,15,18|13,29,25,27,20,12,16|23,28,14,4,31,2|9,7,10","false","generated_inside_algorithm",1187,1187,79.576401,10,5,0,0,5,5,14,8.182906,10,0,"true","ok","",6.100000,20.400000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,14,10,4,5,10,5,8,0,0,0,0,0,0,0,0,0,0
"ivns_A-n33-k5_10","ivns","A-n33-k5",10,661,10,2,5,5,50,best,3,2,900,"max_iter",1867,"24,20,5,4,13,21,31|25,29,26,28,15,9,27|17,3,22,23,7,12|11,32,19,8,16,14,10,18,1|2,30,6","false","generated_inside_algorithm",1123,1123,69.894096,10,6,0,0,4,6,12,7.053471,10,0,"true","ok","",5.700000,18.400000,1.500000,"true",0,"none",0.000000,0,0,0,0,0,0,0.000000,12,10,2,6,10,6,7,0,0,0,0,0,0,0,0,0,0
