"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1850,1850,0,"false","false",,,,,0,"rfffrfrgrge",11,35,1,1,1,0,0,1,0,1,"",1.544226,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1850,1850,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,2,"",3.073462,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1850,1850,0,"false","false",,,,,0,"rfrfrfrge",9,29,1,1,1,0,0,1,0,3,"",4.593701,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1850,1850,0,"false","false",,,,,0,"rarafrgc",8,23,1,1,1,0,0,1,0,4,"",6.110943,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1694,1694,-156,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,5,"",6.126935,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1694,1694,0,"false","false",,,,,0,"rffrfrge",8,26,1,1,1,0,0,1,0,6,"",7.646174,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1511,1511,-183,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,7,"Complejidad excesiva: 39 > 36.",7.688153,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1511,1511,0,"false","false",,,,,0,"rfrfrferg",9,29,1,1,1,0,0,1,0,8,"",9.208393,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1511,1511,0,"false","false",,,,,0,"rfrfrffrgeg",11,35,2,2,1,1,0,1,0,9,"Complejidad excesiva: 37 > 36.",10.746623,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1511,1511,0,"false","false",,,,,0,"raarffarbec",11,32,1,1,1,0,0,1,0,10,"",12.286852,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1197,1197,-119,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,1,"",0.061969,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1089,1089,-108,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,2,"",0.077961,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1024,1024,-65,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,2,"",0.123938,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1024,1024,0,"false","false",,,,,0,"rffrgrg",7,21,3,3,1,2,0,1,0,3,"Cadena desbalanceada por frecuencia de símbolos.",1.639181,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,980,980,-44,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,3,"",1.687157,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,980,980,0,"false","false",,,,,0,"rfafrfrabebg",12,34,1,1,1,0,0,1,0,4,"",3.252373,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,951,951,-29,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,4,"",3.263368,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,906,906,-45,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,5,"Complejidad excesiva: 39 > 36.",3.595202,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,877,877,-29,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,6,"",3.630184,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,877,877,0,"false","false",,,,,0,"rararfrgc",9,26,3,3,1,2,0,1,0,7,"Complejidad excesiva: 39 > 36.",5.148425,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,2004,2004,0,"false","false",,,,,0,"raarffec",8,25,1,1,1,0,0,1,0,1,"",1.521240,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1763,1763,-241,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,2,"",1.925037,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1763,1763,0,"false","false",,,,,0,"rffffee",7,25,1,1,1,0,0,1,0,3,"",3.446276,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1763,1763,0,"false","false",,,,,0,"rfrfffee",8,28,1,1,1,0,0,1,0,4,"",4.968514,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,5,1,1763,1763,0,"false","false",,,,,0,"rfffrfrgrge",11,35,1,1,1,0,0,1,0,5,"",6.504747,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,6,1,1763,1763,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,6,"",8.032981,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
