"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1736,1736,-236,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,1,"",0.451818,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1736,1736,0,"false","false",,,,,0,"rfffrge",7,23,2,2,1,1,0,1,0,2,"Complejidad excesiva: 44 > 36.",1.971207,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1615,1615,-121,"true","false",,,,,1,"rfrg",4,12,2,2,1,1,1,1,1,3,"Complejidad excesiva: 37 > 36.",2.024185,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1508,1508,-107,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,4,"",2.075166,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1508,1508,0,"false","false",,,,,0,"rfffrge",7,23,1,1,1,0,0,1,0,4,"",3.598553,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1359,1359,-149,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,4,"Cadena desbalanceada por frecuencia de símbolos.",4.051371,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1182,1182,-177,"true","false",,,,,1,"rfrabg",6,16,1,1,1,0,1,1,1,5,"",5.559767,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1134,1134,-48,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,6,"",5.574761,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1057,1057,-77,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,6,"",5.973601,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,997,997,-60,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,7,"",5.990594,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1872,1872,0,"false","false",,,,,0,"rfrffrabrge",11,33,1,1,1,0,0,1,0,1,"",1.547381,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1687,1687,-185,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,2,"Complejidad excesiva: 37 > 36.",1.959217,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1498,1498,-189,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,2,"",2.298081,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1498,1498,0,"false","false",,,,,0,"rffffrgeg",9,29,1,1,1,0,0,1,0,3,"",3.829471,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1498,1498,0,"false","false",,,,,0,"rfrffrfee",9,31,1,1,1,0,0,1,0,4,"",5.357862,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1498,1498,0,"false","false",,,,,0,"rfrfrfrge",9,29,1,1,1,0,0,1,0,5,"",6.879257,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1498,1498,0,"false","false",,,,,0,"rffrfrfee",9,31,2,2,1,1,0,1,0,6,"Complejidad excesiva: 45 > 36.",8.404652,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,1410,1410,-88,"true","false",,,,,1,"rab",3,7,1,1,1,0,1,1,1,7,"",8.411649,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,1280,1280,-130,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,7,"",8.757512,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,1200,1200,-80,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,8,"Cadena desbalanceada por frecuencia de símbolos.",8.801495,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,1999,1999,0,"false","false",,,,,0,"rffrfrfee",9,31,1,1,1,0,0,1,0,1,"",1.525396,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1812,1812,-187,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,2,"",1.573377,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1569,1569,-243,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,3,"",1.621358,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1569,1569,0,"false","false",,,,,0,"rffrarbe",8,24,1,1,1,0,0,1,0,4,"",3.146754,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,5,1,1508,1508,-61,"true","false",,,,,1,"raac",4,11,2,2,1,1,1,1,1,5,"Complejidad excesiva: 37 > 36.",3.154751,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,6,1,1508,1508,0,"false","false",,,,,0,"rfrffrfee",9,31,1,1,1,0,0,1,0,6,"",4.679149,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,7,1,1295,1295,-213,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,7,"",5.082990,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,8,1,1295,1295,0,"false","false",,,,,0,"rfrffrfabee",11,35,1,1,1,0,0,1,0,8,"",6.638377,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,9,1,1295,1295,0,"false","false",,,,,0,"rffrarbe",8,24,3,3,1,2,0,1,0,8,"Cadena desbalanceada por frecuencia de símbolos.",8.165776,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,10,1,1134,1134,-161,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,8,"",8.531632,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,1,1,1443,1443,-232,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,1,"",0.393845,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,2,1,1300,1300,-143,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,1,"Complejidad excesiva: 56 > 36.",0.787692,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,3,1,1300,1300,0,"false","false",,,,,0,"rffrarace",9,28,3,3,1,2,0,1,0,2,"Cadena desbalanceada por frecuencia de símbolos.",2.317090,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,4,1,1300,1300,0,"false","false",,,,,0,"rfrffeg",7,23,3,3,1,2,0,1,0,3,"Complejidad excesiva: 39 > 36.",3.835496,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,5,1,1229,1229,-71,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,4,"",3.849491,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,6,1,1229,1229,0,"false","false",,,,,0,"rffrferg",8,26,1,1,1,0,0,1,0,5,"",5.368895,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,7,1,1140,1140,-89,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,5,"Cadena desbalanceada por frecuencia de símbolos.",5.762742,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,8,1,1140,1140,0,"false","false",,,,,0,"rfrafrferbg",11,33,2,2,1,1,0,1,0,6,"Complejidad excesiva: 37 > 36.",7.314134,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,9,1,1109,1109,-31,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,7,"",7.324130,"ok",""
"ivns_A-n33-k5_4","ivns","A-n33-k5",4,10,1,1046,1046,-63,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,7,"",7.717977,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,1,1,1487,1487,-182,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,1,"Complejidad excesiva: 40 > 36.",0.453822,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,2,1,1487,1487,0,"false","false",,,,,0,"rffrffee",8,28,1,1,1,0,0,1,0,2,"",1.985225,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,3,1,1324,1324,-163,"true","false",,,,,1,"rfrfe",5,17,3,3,1,2,1,1,1,2,"Cadena desbalanceada por frecuencia de símbolos.",2.437049,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,4,1,1324,1324,0,"false","false",,,,,0,"raafrfrgrgc",11,32,1,1,1,0,0,1,0,3,"",3.972451,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,5,1,1324,1324,0,"false","false",,,,,0,"rffferg",7,23,1,1,1,0,0,1,0,4,"",5.489860,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,6,1,1324,1324,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,5,"",7.016268,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,7,1,1324,1324,0,"false","false",,,,,0,"rfrfrfrge",9,29,1,1,1,0,0,1,0,6,"",8.536677,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,8,1,1229,1229,-95,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,7,"",8.552671,"ok",""
"ivns_A-n33-k5_5","ivns","A-n33-k5",5,9,1,1229,1229,0,"false","false",,,,,0,"rfrfrgrg",8,24,1,1,1,0,0,1,0,8,"",10.068084,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
