"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1566,1566,0,"false","false",,,,,0,"rfrfrfeg",8,26,2,2,1,1,0,1,0,1,"Complejidad excesiva: 45 > 36.",1.528434,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1322,1322,-244,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,2,"",2.061237,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1242,1242,-80,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,2,"",2.592040,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1178,1178,-64,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,3,"",2.655017,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1178,1178,0,"false","false",,,,,0,"rfarbrg",7,19,2,2,1,1,0,1,0,4,"Cadena desbalanceada por frecuencia de símbolos.",4.178451,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1178,1178,0,"false","false",,,,,0,"rararfrgc",9,26,1,1,1,0,0,1,0,5,"",5.701888,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1178,1178,0,"false","false",,,,,0,"rfffrge",7,23,1,1,1,0,0,1,0,6,"",7.229322,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1178,1178,0,"false","false",,,,,0,"rffrfrge",8,26,1,1,1,0,0,1,0,7,"",8.758756,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1108,1108,-70,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,7,"",9.300555,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1108,1108,0,"false","false",,,,,0,"rfrffrfee",9,31,1,1,1,0,0,1,0,8,"",10.836986,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1828,1828,0,"false","false",,,,,0,"rfrfrfrfee",10,34,1,1,1,0,0,1,0,1,"",1.535431,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1828,1828,0,"false","false",,,,,0,"rfaararaccrg",12,34,1,1,1,0,0,1,0,2,"",3.103850,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1828,1828,0,"false","false",,,,,0,"rararfrfec",10,31,1,1,1,0,0,1,0,3,"",4.637282,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1828,1828,0,"false","false",,,,,0,"rfrfarffebe",11,35,2,2,1,1,0,1,0,4,"Complejidad excesiva: 40 > 36.",6.213698,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1828,1828,0,"false","false",,,,,0,"raafrfec",8,25,1,1,1,0,0,1,0,5,"",7.741133,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1828,1828,0,"false","false",,,,,0,"rffarffebe",10,32,1,1,1,0,0,1,0,6,"",9.315550,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1828,1828,0,"false","false",,,,,0,"rfrfffee",8,28,1,1,1,0,0,1,0,7,"",10.845983,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,1503,1503,-325,"true","false",,,,,1,"rffaace",7,22,1,1,1,0,1,1,1,8,"",11.241836,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,1503,1503,0,"false","false",,,,,0,"rffraffebe",10,32,1,1,1,0,0,1,0,9,"",12.811255,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,1317,1317,-186,"true","false",,,,,1,"rarac",5,14,1,1,1,0,1,1,1,10,"",12.832247,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,1728,1728,0,"false","false",,,,,0,"rffrfeg",7,23,1,1,1,0,0,1,0,1,"",1.526434,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1728,1728,0,"false","false",,,,,0,"rarfrgb",7,19,3,3,1,2,0,1,0,2,"Complejidad excesiva: 56 > 36.",3.049870,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1728,1728,0,"false","false",,,,,0,"rfrffrge",8,26,1,1,1,0,0,1,0,3,"",4.579304,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1728,1728,0,"false","false",,,,,0,"rfffrfrgerg",11,35,3,3,1,2,0,1,0,4,"Cadena desbalanceada por frecuencia de símbolos.",6.129729,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,5,1,1728,1728,0,"false","false",,,,,0,"rfffrfergg",10,32,3,3,1,2,0,1,0,5,"Cadena desbalanceada por frecuencia de símbolos.",7.676157,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,6,1,1556,1556,-172,"true","false",,,,,1,"rffe",4,14,2,2,1,1,1,1,1,6,"duplicated-string",7.739133,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,7,1,1390,1390,-166,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,6,"",7.799111,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,8,1,1235,1235,-155,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,7,"",8.325916,"ok",""
