"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1516,1516,-151,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,1,"",0.092953,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1357,1357,-159,"true","false",,,,,1,"rfrfe",5,17,3,3,1,2,1,1,1,2,"Longitud excesiva: 18 > 16.",0.433783,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1207,1207,-150,"true","false",,,,,1,"rfrfe",5,17,3,3,1,2,1,1,1,2,"Complejidad excesiva: 34 > 24.",0.766616,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1130,1130,-77,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,2,"",1.099450,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1066,1066,-64,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,2,"",1.433283,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1066,1066,0,"false","false",,,,,0,"rfrffeg",7,23,2,2,1,1,0,1,0,3,"Cadena desbalanceada por frecuencia de símbolos.",2.950524,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,999,999,-67,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,3,"",2.996501,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,950,950,-49,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,3,"",3.325335,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,950,950,0,"false","false",,,,,0,"rfrffeg",7,23,1,1,1,0,0,1,0,3,"",4.843577,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,921,921,-29,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,3,"Complejidad excesiva: 25 > 24.",5.194401,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1555,1555,-281,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,1,"Complejidad excesiva: 31 > 24.",0.394802,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1366,1366,-189,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,1,"Complejidad excesiva: 28 > 24.",0.788605,"ok",""
