"run_id","algorithm","instance","seed","iter","k","current_cost","best_cost","delta","accepted","shake_applied","shake_tries","shake_invalid","vnd_rounds","vnd_improvements","neighbors_evaluated","ivns_string","ivns_string_length","ivns_complexity_score","ivns_generation_tries","ivns_strings_generated_iter","ivns_strings_valid_iter","ivns_strings_invalid_iter","ivns_strings_evaluated_iter","ivns_strings_selected_iter","ivns_strings_accepted_iter","ivns_unique_strings_iter","ivns_filter_reject_reason","elapsed_time_seconds","status","error"
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,1,1,1704,1704,-149,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,1,"",0.092953,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,2,1,1506,1506,-198,"true","false",,,,,1,"rfrfe",5,17,2,2,1,1,1,1,1,2,"Complejidad excesiva: 28 > 24.",0.659670,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,3,1,1409,1409,-97,"true","false",,,,,1,"rfg",3,9,1,1,1,0,1,1,1,3,"",0.672663,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,4,1,1409,1409,0,"false","false",,,,,0,"rffrfeg",7,23,1,1,1,0,0,1,0,4,"",2.192903,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,5,1,1409,1409,0,"false","false",,,,,0,"rfffeg",6,20,1,1,1,0,0,1,0,5,"",3.714142,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,6,1,1409,1409,0,"false","false",,,,,0,"rfffrge",7,23,2,2,1,1,0,1,0,6,"Complejidad excesiva: 27 > 24.",5.257370,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,7,1,1306,1306,-103,"true","false",,,,,1,"raffeb",6,18,2,2,1,1,1,1,1,7,"Complejidad excesiva: 28 > 24.",6.120938,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,8,1,1204,1204,-102,"true","false",,,,,1,"rfaacrg",7,20,2,2,1,1,1,1,1,8,"Complejidad excesiva: 30 > 24.",7.071462,"ok",""
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,9,1,1204,1204,0,"false","false",,,,,0,"rffrgrg",7,21,3,3,1,2,0,1,0,9,"Complejidad excesiva: 31 > 24.",8.602696,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_1","ivns","A-n33-k5",1,10,1,1128,1128,-76,"true","false",,,,,1,"rarb",4,10,1,1,1,0,1,1,1,10,"",8.615690,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,1,1,1577,1577,-167,"true","false",,,,,1,"rfrg",4,12,1,1,1,0,1,1,1,1,"",0.056972,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,2,1,1577,1577,0,"false","false",,,,,0,"raafrgc",7,20,1,1,1,0,0,1,0,2,"",1.588206,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,3,1,1426,1426,-151,"true","false",,,,,1,"rfrfe",5,17,3,3,1,2,1,1,1,3,"Complejidad excesiva: 42 > 24.",2.012993,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,4,1,1296,1296,-130,"true","false",,,,,1,"raaffec",7,22,1,1,1,0,1,1,1,4,"",2.847576,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,5,1,1215,1215,-81,"true","false",,,,,1,"raaacrb",7,18,1,1,1,0,1,1,1,5,"",3.235382,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,6,1,1160,1160,-55,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,6,"",3.283358,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,7,1,1104,1104,-56,"true","false",,,,,1,"rfrfe",5,17,3,3,1,2,1,1,1,6,"Complejidad excesiva: 32 > 24.",3.735132,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,8,1,1077,1077,-27,"true","false",,,,,1,"rffe",4,14,1,1,1,0,1,1,1,6,"",3.783108,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,9,1,1016,1016,-61,"true","false",,,,,1,"rfrfe",5,17,3,3,1,2,1,1,1,6,"Cadena desbalanceada por frecuencia de símbolos.",4.197900,"ok",""
"ivns_A-n33-k5_2","ivns","A-n33-k5",2,10,1,975,975,-41,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,6,"",4.628685,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,1,1,1597,1597,0,"false","false",,,,,0,"rffferg",7,23,1,1,1,0,0,1,0,1,"",1.526237,"timeout","Tiempo límite agotado aplicando criterio IVNS: 1.5 segundos."
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,2,1,1435,1435,-162,"true","false",,,,,1,"rarac",5,14,2,2,1,1,1,1,1,2,"Cadena desbalanceada por frecuencia de símbolos.",1.542229,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,3,1,1288,1288,-147,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,3,"",1.963019,"ok",""
"ivns_A-n33-k5_3","ivns","A-n33-k5",3,4,1,1155,1155,-133,"true","false",,,,,1,"rfrfe",5,17,1,1,1,0,1,1,1,3,"",2.374813,"ok",""
